,drug_a_name,drug_b_name,cell_line,synergy,fold
5-FU_ABT-888_A2058,5-FU,ABT-888,A2058,0.08365284377956583,2
5-FU_ABT-888_A2780,5-FU,ABT-888,A2780,0.10452139125067249,2
5-FU_ABT-888_A375,5-FU,ABT-888,A375,0.03220945581422931,2
5-FU_ABT-888_A427,5-FU,ABT-888,A427,-0.030104084810307654,2
5-FU_ABT-888_CAOV3,5-FU,ABT-888,CAOV3,0.0158284540188274,2
5-FU_ABT-888_COLO320DM,5-FU,ABT-888,COLO320DM,0.006345630936818822,2
5-FU_ABT-888_DLD1,5-FU,ABT-888,DLD1,0.006748784934057769,2
5-FU_ABT-888_EFM192B,5-FU,ABT-888,EFM192B,-0.03681261822165219,2
5-FU_ABT-888_ES2,5-FU,ABT-888,ES2,0.05325076472134281,2
5-FU_ABT-888_HCT116,5-FU,ABT-888,HCT116,0.029122031517914974,2
5-FU_ABT-888_HT144,5-FU,ABT-888,HT144,-0.019386600982534807,2
5-FU_ABT-888_HT29,5-FU,ABT-888,HT29,0.12809905845875272,2
5-FU_ABT-888_KPL1,5-FU,ABT-888,KPL1,-0.01177422292851633,2
5-FU_ABT-888_LNCAP,5-FU,ABT-888,LNCAP,-0.06387865232122017,2
5-FU_ABT-888_LOVO,5-FU,ABT-888,LOVO,-0.008561933525525929,2
5-FU_ABT-888_MDAMB436,5-FU,ABT-888,MDAMB436,-0.020956816109613148,2
5-FU_ABT-888_MSTO,5-FU,ABT-888,MSTO,-0.025646283398419095,2
5-FU_ABT-888_NCIH1650,5-FU,ABT-888,NCIH1650,-0.05805730095276209,2
5-FU_ABT-888_NCIH2122,5-FU,ABT-888,NCIH2122,0.009618273088002222,2
5-FU_ABT-888_NCIH23,5-FU,ABT-888,NCIH23,-0.038714185840277776,2
5-FU_ABT-888_NCIH460,5-FU,ABT-888,NCIH460,-0.017864771801569587,2
5-FU_ABT-888_NCIH520,5-FU,ABT-888,NCIH520,0.014385994091273224,2
5-FU_ABT-888_OCUBM,5-FU,ABT-888,OCUBM,-0.01603869638868234,2
5-FU_ABT-888_OV90,5-FU,ABT-888,OV90,-0.026213307794921176,2
5-FU_ABT-888_OVCAR3,5-FU,ABT-888,OVCAR3,0.05292092835819438,2
5-FU_ABT-888_PA1,5-FU,ABT-888,PA1,0.10956303418757643,2
5-FU_ABT-888_RKO,5-FU,ABT-888,RKO,-0.0008223774374295917,2
5-FU_ABT-888_RPMI7951,5-FU,ABT-888,RPMI7951,-0.0143976664787612,2
5-FU_ABT-888_SKMEL30,5-FU,ABT-888,SKMEL30,-0.15663828392558415,2
5-FU_ABT-888_SKMES1,5-FU,ABT-888,SKMES1,-0.0026387243772816316,2
5-FU_ABT-888_SKOV3,5-FU,ABT-888,SKOV3,0.02550987713235052,2
5-FU_ABT-888_SW620,5-FU,ABT-888,SW620,0.018142196567918552,2
5-FU_ABT-888_SW837,5-FU,ABT-888,SW837,-0.13231147796034892,2
5-FU_ABT-888_T47D,5-FU,ABT-888,T47D,0.07494373484377659,2
5-FU_ABT-888_UACC62,5-FU,ABT-888,UACC62,0.011058499170582117,2
5-FU_ABT-888_UWB1289BRCA1,5-FU,ABT-888,UWB1289BRCA1,0.03318537413373495,2
5-FU_ABT-888_UWB1289,5-FU,ABT-888,UWB1289,0.0310039580475514,2
5-FU_ABT-888_VCAP,5-FU,ABT-888,VCAP,0.11174959267153858,2
5-FU_ABT-888_ZR751,5-FU,ABT-888,ZR751,-0.1568294070923545,2
5-FU_AZD1775_A2058,5-FU,AZD1775,A2058,0.07666437746010979,1
5-FU_AZD1775_A2780,5-FU,AZD1775,A2780,0.14466911539236194,1
5-FU_AZD1775_A375,5-FU,AZD1775,A375,-0.0064078426855506306,1
5-FU_AZD1775_A427,5-FU,AZD1775,A427,0.045016193518046296,1
