Metrics,SANE,LOEWE,BLISS,HSA
SYN_MAX,0,82.4150906057976,87.9835823148293,87.9836436640603
SYN_SUM,0,69.8429606372572,75.3304204177901,81.3459906717131
SYN_SUM_WEIGHTED,0,34.0829087202462,36.1812442718718,39.8603567163097
SYN_SPREAD,0,0.920572400354672,0.925303863053099,0.961539444273418
SYN_AVERAGE_C1,0,0.00234722928884068,0.00233521727049715,0.00272553535907977
SYN_AVERAGE_C2,0,0.0142152729851988,0.0142389245235182,0.0147820354634752
ANT_MAX,0,-72208.8586434137,-72208.8586434137,-72208.8586434137
ANT_SUM,0,-6626.93458722942,-6628.24523408359,-6619.31283018983
ANT_SUM_WEIGHTED,0,-3671.56927258502,-3670.07169542993,-3666.44858987326
ANT_SPREAD,0,0.302943125435008,0.302973081353485,0.302768865138308
ANT_AVERAGE_C1,0,0.00039967240604297,0.000400592157865742,0.000398401630166233
ANT_AVERAGE_C2,0,0.120730337931232,0.120955765171482,0.121029382423035
SUM_SYN_ANT,0,-6557.09162659217,-6552.9148136658,-6537.96683951811
SUM_SYN_ANT_WEIGHTED,0,-3637.48636386477,-3633.89045115806,-3626.58823315695
