Metrics,SANE,LOEWE,BLISS,HSA
SYN_MAX,0,11.7491418561312,25.6319349505795,30.6152924338882
SYN_SUM,0,7.69274315182908,18.9910168998249,23.2229278422199
SYN_SUM_WEIGHTED,0,4.50644271956273,9.8962995213902,12.0646413044634
SYN_SPREAD,0,0.809165844241923,0.860762650140922,0.870942092232078
SYN_AVERAGE_C1,0,0.00191676475734828,0.00178091382111613,0.00170627249623652
SYN_AVERAGE_C2,0,0.0124284571214334,0.0215492401882529,0.0273695551593832
ANT_MAX,0,-24.8954297919519,-11.9753270084576,-11.9753269997022
ANT_SUM,0,-22.9660714526165,-9.39835082178016,-8.52109887481805
ANT_SUM_WEIGHTED,0,-20.1111346079776,-8.2622081998613,-8.02601432593773
ANT_SPREAD,0,0.960469419126441,0.88589476523274,0.843536951442691
ANT_AVERAGE_C1,0,0.000357623448719736,0.000301815202680277,0.000253198539926105
ANT_AVERAGE_C2,0,0.0203574500734834,0.00902556412536889,0.00684606674190433
SUM_SYN_ANT,0,-15.2733283007874,9.59266607804472,14.7018289674019
SUM_SYN_ANT_WEIGHTED,0,-15.6046918884149,1.6340913215289,4.03862697852569
