Metrics,SANE,LOEWE,BLISS,HSA
SYN_MAX,0,10.108851365931,33.5554463194761,39.0823392000881
SYN_SUM,0,3.87422383548512,14.7121081982917,19.146155020897
SYN_SUM_WEIGHTED,0,1.91556155095001,6.51505041985385,9.21504481941048
SYN_SPREAD,0,0.619072409251745,0.662149331978456,0.69992339586161
SYN_AVERAGE_C1,0,0.00936270870565545,0.00856265752664126,0.00901971341390099
SYN_AVERAGE_C2,0,0.00221997914699113,0.00623721983822144,0.00825237715672761
ANT_MAX,0,-26.593960911981,-7.82260202883695,-7.82260202883697
ANT_SUM,0,-21.3333369259639,-6.99698245659915,-6.66122819521716
ANT_SUM_WEIGHTED,0,-18.0243114820469,-6.21085387489452,-6.18016995751844
ANT_SPREAD,0,0.895649077978355,0.945757457245457,0.922787148779693
ANT_AVERAGE_C1,0,0.00237643640840702,0.00123368274625898,0.00107902499670413
ANT_AVERAGE_C2,0,0.00557092795881792,0.00202886327000085,0.00173900894394424
SUM_SYN_ANT,0,-17.4591130904788,7.7151257416925,12.4849268256798
SUM_SYN_ANT_WEIGHTED,0,-16.1087499310969,0.304196544959337,3.03487486189204
