Metrics,SANE,LOEWE,BLISS,HSA
SYN_MAX,0,66.64718,66.64718,66.64718
SYN_SUM,0,36.5098983243637,36.5098983243637,36.5098983243637
SYN_SUM_WEIGHTED,0,12.5660967238941,12.5660967238941,12.5660967238941
SYN_SPREAD,0,0.740140932065668,0.740140932065668,0.740140932065668
SYN_AVERAGE_C1,0,0.000575738622757042,0.000575738622757042,0.000575738622757042
SYN_AVERAGE_C2,0,0.0105768315778168,0.0105768315778168,0.0105768315778168
ANT_MAX,0,-96736.2600002364,-96736.2600002364,-96736.2600002364
ANT_SUM,0,-4669.01177252593,-4669.01177252593,-4669.01177252593
ANT_SUM_WEIGHTED,0,-4635.60083201562,-4635.60083201562,-4635.60083201562
ANT_SPREAD,0,0.21969381885699,0.21969381885699,0.21969381885699
ANT_AVERAGE_C1,0,0.000114493392389218,0.000114493392389218,0.000114493392389218
ANT_AVERAGE_C2,0,0.00309559600965847,0.00309559600965847,0.00309559600965847
SUM_SYN_ANT,0,-4632.50187420157,-4632.50187420157,-4632.50187420157
SUM_SYN_ANT_WEIGHTED,0,-4623.03473529172,-4623.03473529172,-4623.03473529172
