Metrics,SANE,LOEWE,BLISS,HSA
SYN_MAX,0,71.8648816991861,71.8648816991861,71.8648816991861
SYN_SUM,0,104.039556813713,104.039556813713,104.039556813713
SYN_SUM_WEIGHTED,0,42.2367333977108,42.2367333977108,42.2367333977108
SYN_SPREAD,0,1.20320849433793,1.20320849433793,1.20320849433793
SYN_AVERAGE_C1,0,0.00673524963225905,0.00673524963225905,0.00673524963225905
SYN_AVERAGE_C2,0,0.0119054896391763,0.0119054896391763,0.0119054896391763
ANT_MAX,0,-69748.9450003851,-69748.9450003851,-69748.9450003851
ANT_SUM,0,-6511.6906867439,-6511.6906867439,-6511.6906867439
ANT_SUM_WEIGHTED,0,-6036.87090046902,-6036.87090046902,-6036.87090046902
ANT_SPREAD,0,0.305547025293587,0.305547025293587,0.305547025293587
ANT_AVERAGE_C1,0,0.00304274961251053,0.00304274961251053,0.00304274961251053
ANT_AVERAGE_C2,0,0.011750496780309,0.011750496780309,0.011750496780309
SUM_SYN_ANT,0,-6407.65112993019,-6407.65112993019,-6407.65112993019
SUM_SYN_ANT_WEIGHTED,0,-5994.63416707131,-5994.63416707131,-5994.63416707131
