BlockId,Replicate,mqcClass,mqcConfidence,MedianExcess,NumExcess,ExcessHSA,ExcessCRX,LS3x3,Beta,Gamma,DBSumPos,DBSumNeg
1,1,good,0.875048,22.17268,39.0,244.58107,198704.53258,-7.64661,1.07725,1.02705,4.27882,-0.27638
2,1,bad,0.723481,27.50572,46.0,516.01222,132429.58381,-2.16152,1.39941,1.325,7.35983,-0.3309
3,1,good,0.934353,72.25765,35.0,-173.10041,82773.43883,-6.28402,0.9489,0.92354,0.89539,-1.61571
4,1,good,0.802094,98.18165,27.0,103.39038,187608.03585,-0.33421,1.02888,1.02075,1.91262,-0.35954
5,1,good,0.833348,10.53514,42.0,2.76824,29872.0087,-2.34158,1.08272,1.04609,1.48777,-0.02904
6,1,good,0.95906,68.47337,32.0,-126.67182,64275.4658,-7.84477,0.98503,0.94507,0.24089,-0.62667
7,1,good,0.685193,30.72062,15.0,2126.90128,73972.00268,-4.24107,1.84102,1.58574,24.15373,-0.07144
8,1,bad,0.569385,24.25637,46.0,-126.41855,125808.37295,-7.15127,1.38897,0.93789,2.96274,-0.5774
9,1,good,0.97423,66.03422,21.0,-157.03254,140305.50936,-18.68127,1.00562,0.97139,1.53162,-2.14169
10,1,good,0.721154,30.39544,18.0,-125.89793,132265.29506,-9.30722,1.10361,0.98193,1.88456,-1.12584
11,1,bad,0.756692,15.11272,31.0,328.87574,42456.74072,-0.56616,3.125,1.73848,5.73141,-0.03043
12,1,good,0.826087,32.97617,26.0,105.45038,234867.06566,-5.86842,1.16033,1.01333,6.07523,-0.23696
13,1,good,0.880079,82.31191,65.0,-731.369,164145.76876,-39.51099,0.89294,0.85518,0.50825,-6.24121
14,1,good,0.968101,60.81224,51.0,-639.67968,289149.49697,-36.13669,0.94724,0.92031,1.27903,-5.8032
15,1,medium,0.740111,59.3293,2.0,671.73146,180037.15545,0.29999,1.2085,1.18828,6.72736,-0.01005
16,1,good,0.98569,41.81208,40.0,-64.14678,445161.02928,-11.52949,0.99612,0.98624,2.08724,-2.20328
17,1,good,0.991361,89.81934,30.0,-175.82756,473324.2931,-19.13493,1.01151,0.99873,1.52416,-2.5334
18,1,good,0.938421,79.93723,23.0,471.16322,377637.04802,-0.52053,1.18091,1.13477,6.25875,-0.09058
19,1,good,0.95673,47.00263,38.0,120.19267,104033.64032,-24.15301,1.07764,1.00679,4.80599,-1.6283
20,1,good,0.970483,48.19625,54.0,-278.11242,144296.95935,-23.11418,1.01079,0.97617,1.78176,-2.54411
21,1,medium,0.792449,83.47701,36.0,62.38121,284548.80831,-24.53996,1.15273,1.04692,9.73561,-4.31743
22,1,good,0.772767,60.08151,46.0,-64.43817,200584.8178,-3.08408,1.11731,1.00209,4.24012,-0.69539
23,1,good,0.733789,28.15375,26.0,163.94597,232494.63275,-2.26509,1.15151,1.04818,5.3211,-0.31698
24,1,good,0.895575,63.22634,51.0,-639.60835,296260.82915,-30.58337,1.02012,0.94243,4.00367,-6.25085
25,1,good,0.885974,97.14405,35.0,-357.326,287693.88769,-13.22318,0.96733,0.96318,0.5521,-3.77559
26,1,good,0.830829,72.51295,24.0,-68.63763,266442.47748,-7.14797,0.99653,0.99307,0.79894,-1.17255
27,1,good,0.979253,97.4838,39.0,-287.95415,331384.80243,-18.0218,0.98477,0.98477,1.89529,-4.77483
28,1,good,0.886988,94.25771,31.0,-83.65802,281403.85132,-8.423,0.98491,0.98459,0.50701,-1.31961
29,1,good,0.826419,89.40741,12.0,114.2723,259853.39208,-1.49603,1.01227,1.01227,1.31495,-0.17222
30,1,good,0.911621,43.6966,21.0,100.95206,136109.87629,-8.33077,1.03274,0.99421,3.06505,-0.2488
31,1,good,0.990205,57.98738,52.0,-428.90923,276151.23666,-15.19445,0.96228,0.94402,0.42572,-3.00477
32,1,good,0.945496,51.00761,25.0,-93.29374,168455.69637,-6.95138,0.9886,0.97808,0.9042,-1.17801
33,1,good,0.975007,73.19778,36.0,-48.66182,176754.36071,-20.91935,1.05383,1.00356,2.47841,-1.07036
34,1,good,0.982845,61.20587,53.0,-217.19701,344683.82698,-15.86126,1.03108,0.98828,2.68876,-2.15364
35,1,good,0.949259,48.26076,32.0,247.62767,244571.98603,-11.1298,1.13189,1.06345,6.33799,-0.58232
36,1,good,0.951368,16.0611,13.0,661.2776,411928.36409,0.0,1.13867,1.10708,8.22617,-0.35674
37,1,good,0.930322,55.50965,59.0,-206.72497,216951.32994,-10.22254,0.98992,0.95903,0.87574,-1.30112
38,1,good,0.969052,38.39334,37.0,-67.44814,116781.67369,-8.19637,1.00035,0.97889,0.79177,-0.58817
39,1,good,0.859915,21.3228,12.0,231.78149,175086.60806,0.0,1.06594,1.03772,3.56111,-0.13323
40,1,good,0.997643,50.81756,48.0,-98.98061,278193.80173,-10.47821,1.02605,0.99915,2.4219,-1.04047
41,1,good,0.965906,64.93098,20.0,223.24053,136994.34373,-3.49552,1.06807,1.04534,4.02444,-0.63038
42,1,good,0.91167,88.38314,41.0,-594.88472,413109.34931,-39.54511,0.95366,0.94146,1.29886,-6.47958
43,1,good,0.940537,39.99728,48.0,-54.06548,289810.42503,-5.51407,1.03158,0.99733,1.7538,-0.84379
44,1,good,0.930322,32.81805,32.0,19.90486,291857.7356,-6.22257,1.01991,0.99813,2.14326,-0.83369
