AssayId,BlockId,Size,RowSid,RowName,RowTarget,ColSid,ColName,ColTarget,RowIC50,ColIC50,RowConcs,ColConcs,RowConcUnit,ColConcUnit
1601,1,10,NCGC00095235-01,"Artenimol","Antimalarial agents; Inhibtion of heme crystallization, redox disruption, SERCA, etc",NCGC00095235-01,"Artenimol","Antimalarial agents; Inhibtion of heme crystallization, redox disruption, SERCA, etc",0.001052,2.75E-4,"0.025,0.0125,0.00625,0.003125,0.0015625,7.813000000000001E-4,3.9060000000000006E-4,1.9530000000000003E-4,9.77E-5,0.0","0.0125,0.00625,0.003125,0.0015625,7.813000000000001E-4,3.9060000000000006E-4,1.9530000000000003E-4,9.77E-5,4.880000000000001E-5,0.0",uM,uM
1601,2,10,NCGC00346484-01,"ZSTK-474","PI3K Inhibitor",NCGC00346681-01,"NVP-BGT226","PI3K Inhibitor",0.002683,6.05E-4,"0.375,0.1875,0.09375,0.046875,0.0234375,0.011718800000000001,0.005859400000000001,0.0029297000000000004,0.0014648000000000003,0.0","0.005000000000000001,0.0025000000000000005,0.0012500000000000002,6.250000000000001E-4,3.1250000000000006E-4,1.563E-4,7.81E-5,3.91E-5,1.95E-5,0.0",uM,uM
1601,3,10,NCGC00264106-01,"Clindamycin","Antibiotic, Protein synthesis (50S rRNA) inhibitor",NCGC00015256-13,"Chloroquine","antimalarial agents",0.031535,0.027615,"5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390625,0.0195313,0.0","0.375,0.1875,0.09375,0.046875,0.0234375,0.011718800000000001,0.005859400000000001,0.0029297000000000004,0.0014648000000000003,0.0",uM,uM
1601,4,10,NCGC00013226-15,"Trifluoperazine hydrochloride","Nav1.4 (SkM1) Sodium Channel Blockers;Nav1.7 (PN1/hNE-Na) Sodium Channel Blockers",NCGC00015256-13,"Chloroquine","antimalarial agents",2.978032,0.027428,"5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390625,0.0195313,0.0","0.375,0.1875,0.09375,0.046875,0.0234375,0.011718800000000001,0.005859400000000001,0.0029297000000000004,0.0014648000000000003,0.0",uM,uM
1601,5,10,NCGC00025060-16,"Methotrexate","Dihydrofolate Reductase (DHFR) Inhibitors",NCGC00095992-05,"Gramicidin","Antibacterial",0.001576,1.7E-5,"0.25,0.125,0.0625,0.03125,0.015625,0.0078125,0.003906300000000001,0.0019531000000000001,9.766E-4,0.0","0.005000000000000001,0.0025000000000000005,0.0012500000000000002,6.250000000000001E-4,3.1250000000000006E-4,1.563E-4,7.81E-5,3.91E-5,1.95E-5,0.0",uM,uM
1601,6,10,NCGC00264111-01,"Genz-668764","unknown",NCGC00095992-05,"Gramicidin","Antibacterial",0.05711,2.2E-5,"0.375,0.1875,0.09375,0.046875,0.0234375,0.011718800000000001,0.005859400000000001,0.0029297000000000004,0.0014648000000000003,0.0","0.005000000000000001,0.0025000000000000005,0.0012500000000000002,6.250000000000001E-4,3.1250000000000006E-4,1.563E-4,7.81E-5,3.91E-5,1.95E-5,0.0",uM,uM
1601,7,10,NCGC00015096-11,"Amiodarone hydrochloride","Muscarinic M3 Receptor Ligand",NCGC00242441-02,"ML238","unknown",2.791932,4.9E-5,"5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390625,0.0195313,0.0","0.025,0.0125,0.00625,0.003125,0.0015625,7.813000000000001E-4,3.9060000000000006E-4,1.9530000000000003E-4,9.77E-5,0.0",uM,uM
1601,8,10,NCGC00273480-01,"Febrifugine","inhibition of glutamyl-prolyl-tRNA synthetase (EPRS)",NCGC00346524-01,"Nanchangmycin","Polyether Antibiotic",3.17E-4,3.12E-4,"0.0125,0.00625,0.003125,0.0015625,7.813000000000001E-4,3.9060000000000006E-4,1.9530000000000003E-4,9.77E-5,4.880000000000001E-5,0.0","0.005000000000000001,0.0025000000000000005,0.0012500000000000002,6.250000000000001E-4,3.1250000000000006E-4,1.563E-4,7.81E-5,3.91E-5,1.95E-5,0.0",uM,uM
1601,9,10,NCGC00015147-09,"Benzamil","Epithelial Sodium Channels (ENaC) Blockers",NCGC00344515-02,"Piperaquine","antimalarial agents",0.797112,0.012375,"2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390625,0.0195313,0.0097656,0.0","0.375,0.1875,0.09375,0.046875,0.0234375,0.011718800000000001,0.005859400000000001,0.0029297000000000004,0.0014648000000000003,0.0",uM,uM
1601,10,10,NCGC00015147-09,"Benzamil","Epithelial Sodium Channels (ENaC) Blockers",NCGC00246187-02,"Pyronaridine","antimalarial agents",0.838725,0.003366,"5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390625,0.0195313,0.0","0.08750000000000001,0.043750000000000004,0.021875000000000002,0.010937500000000001,0.0054688,0.0027344,0.0013672,6.836E-4,3.418E-4,0.0",uM,uM
1601,11,10,NCGC00264106-01,"Clindamycin","Antibiotic, Protein synthesis (50S rRNA) inhibitor",NCGC00179250-04,"Halofantrine","antimalarial agents; possibly Inhibtion of heme crystallization/inhibition of plasmepsin",0.008511,6.9E-4,"0.5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,0.003906300000000001,0.0019531000000000001,0.0","0.025,0.0125,0.00625,0.003125,0.0015625,7.813000000000001E-4,3.9060000000000006E-4,1.9530000000000003E-4,9.77E-5,0.0",uM,uM
1601,12,10,NCGC00264106-01,"Clindamycin","Antibiotic, Protein synthesis (50S rRNA) inhibitor",NCGC00167490-02,"Lumefantrine","antimalarial agents",0.020894,0.003379,"0.5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,0.003906300000000001,0.0019531000000000001,0.0","0.025,0.0125,0.00625,0.003125,0.0015625,7.813000000000001E-4,3.9060000000000006E-4,1.9530000000000003E-4,9.77E-5,0.0",uM,uM
1601,13,10,NCGC00016627-04,"Lidoflazine","Ca channel blocker - benzhydryl class",NCGC00179250-04,"Halofantrine","antimalarial agents; possibly Inhibtion of heme crystallization/inhibition of plasmepsin",3.939728,6.57E-4,"5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390625,0.0195313,0.0","0.025,0.0125,0.00625,0.003125,0.0015625,7.813000000000001E-4,3.9060000000000006E-4,1.9530000000000003E-4,9.77E-5,0.0",uM,uM
1601,14,10,NCGC00016627-04,"Lidoflazine","Ca channel blocker - benzhydryl class",NCGC00167490-02,"Lumefantrine","antimalarial agents",21.634174,0.004943,"5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390625,0.0195313,0.0","0.025,0.0125,0.00625,0.003125,0.0015625,7.813000000000001E-4,3.9060000000000006E-4,1.9530000000000003E-4,9.77E-5,0.0",uM,uM
1601,15,10,NCGC00345447-02,"3-Methyladenine","PI3K Inhibitor",NCGC00179250-04,"Halofantrine","antimalarial agents; possibly Inhibtion of heme crystallization/inhibition of plasmepsin",0.0,4.01E-4,"0.5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,0.003906300000000001,0.0019531000000000001,0.0","0.025,0.0125,0.00625,0.003125,0.0015625,7.813000000000001E-4,3.9060000000000006E-4,1.9530000000000003E-4,9.77E-5,0.0",uM,uM
1601,16,10,NCGC00345447-02,"3-Methyladenine","PI3K Inhibitor",NCGC00167490-02,"Lumefantrine","antimalarial agents",0.605744,0.004525,"0.5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,0.003906300000000001,0.0019531000000000001,0.0","0.025,0.0125,0.00625,0.003125,0.0015625,7.813000000000001E-4,3.9060000000000006E-4,1.9530000000000003E-4,9.77E-5,0.0",uM,uM
