drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
5.0,0.025,0.9712629999999999,1.0,Azithromycin,Lumefantrine,uM,uM,31,plasmodium_falciparum_3D7
5.0,0.0125,1.994156,1.0,Azithromycin,Lumefantrine,uM,uM,31,plasmodium_falciparum_3D7
5.0,0.00625,14.508995,1.0,Azithromycin,Lumefantrine,uM,uM,31,plasmodium_falciparum_3D7
5.0,0.003125,28.59507,1.0,Azithromycin,Lumefantrine,uM,uM,31,plasmodium_falciparum_3D7
5.0,0.0015625,37.55291,1.0,Azithromycin,Lumefantrine,uM,uM,31,plasmodium_falciparum_3D7
5.0,0.0007813000000000001,39.80788,1.0,Azithromycin,Lumefantrine,uM,uM,31,plasmodium_falciparum_3D7
5.0,0.00039060000000000006,46.599872999999995,1.0,Azithromycin,Lumefantrine,uM,uM,31,plasmodium_falciparum_3D7
5.0,0.00019530000000000003,40.09983,1.0,Azithromycin,Lumefantrine,uM,uM,31,plasmodium_falciparum_3D7
5.0,9.77e-05,43.831286999999996,1.0,Azithromycin,Lumefantrine,uM,uM,31,plasmodium_falciparum_3D7
5.0,0.0,45.264507,1.0,Azithromycin,Lumefantrine,uM,uM,31,plasmodium_falciparum_3D7
2.5,0.025,0.24985900000000003,1.0,Azithromycin,Lumefantrine,uM,uM,31,plasmodium_falciparum_3D7
2.5,0.0125,5.535503,1.0,Azithromycin,Lumefantrine,uM,uM,31,plasmodium_falciparum_3D7
2.5,0.00625,17.298197000000002,1.0,Azithromycin,Lumefantrine,uM,uM,31,plasmodium_falciparum_3D7
2.5,0.003125,33.773635999999996,1.0,Azithromycin,Lumefantrine,uM,uM,31,plasmodium_falciparum_3D7
2.5,0.0015625,45.94211,1.0,Azithromycin,Lumefantrine,uM,uM,31,plasmodium_falciparum_3D7
2.5,0.0007813000000000001,47.130943,1.0,Azithromycin,Lumefantrine,uM,uM,31,plasmodium_falciparum_3D7
2.5,0.00039060000000000006,48.35745,1.0,Azithromycin,Lumefantrine,uM,uM,31,plasmodium_falciparum_3D7
2.5,0.00019530000000000003,50.361584,1.0,Azithromycin,Lumefantrine,uM,uM,31,plasmodium_falciparum_3D7
2.5,9.77e-05,45.09394,1.0,Azithromycin,Lumefantrine,uM,uM,31,plasmodium_falciparum_3D7
2.5,0.0,45.71548,1.0,Azithromycin,Lumefantrine,uM,uM,31,plasmodium_falciparum_3D7
