drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
0.05,0.08750000000000001,0.307969,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
0.05,0.043750000000000004,-0.031664,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
0.05,0.021875000000000002,-0.169465,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
0.05,0.010937500000000001,-0.028395,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
0.05,0.0054688,-0.022993,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
0.05,0.0027344,-0.11896099999999998,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
0.05,0.0013672,-0.13836800000000002,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
0.05,0.0006836,0.012325,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
0.05,0.0003418,-0.688708,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
0.05,0.0,0.31203200000000003,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
0.025,0.08750000000000001,2.053982,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
0.025,0.043750000000000004,3.1133290000000002,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
0.025,0.021875000000000002,3.6769019999999997,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
0.025,0.010937500000000001,3.110809,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
0.025,0.0054688,2.895449,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
0.025,0.0027344,2.7485009999999996,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
0.025,0.0013672,3.061259,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
0.025,0.0006836,2.509875,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
0.025,0.0003418,2.840043,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
0.025,0.0,2.330468,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
0.0125,0.08750000000000001,13.517860999999998,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
0.0125,0.043750000000000004,38.558094,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
0.0125,0.021875000000000002,39.870296,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
0.0125,0.010937500000000001,50.568523,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
0.0125,0.0054688,35.440407,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
0.0125,0.0027344,42.48733,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
0.0125,0.0013672,46.236343,1.0,Carfilzomib,INK128,uM,uM,52,plasmodium_falciparum_3D7
