drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
5.0,0.375,19.273310000000002,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
5.0,0.1875,17.294439999999998,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
5.0,0.09375,12.359554,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
5.0,0.046875,14.010307000000001,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
5.0,0.0234375,26.43453,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
5.0,0.011718800000000001,33.289833,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
5.0,0.005859400000000001,27.527945000000003,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
5.0,0.0029297000000000004,26.686474,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
5.0,0.0014648000000000003,35.556263,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
5.0,0.0,30.547815000000003,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
2.5,0.375,14.825863,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
2.5,0.1875,11.039881,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
2.5,0.09375,13.845406,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
2.5,0.046875,25.455118,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
2.5,0.0234375,26.993671000000003,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
2.5,0.011718800000000001,19.819319,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
2.5,0.005859400000000001,21.028301000000003,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
2.5,0.0029297000000000004,27.539331,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
2.5,0.0014648000000000003,28.516827000000003,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
2.5,0.0,31.945118,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
1.25,0.375,9.128878,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
1.25,0.1875,13.262326000000002,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
1.25,0.09375,22.151695,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
1.25,0.046875,27.179432000000002,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
1.25,0.0234375,14.595943,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
1.25,0.011718800000000001,16.421823999999997,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
1.25,0.005859400000000001,20.349,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
1.25,0.0029297000000000004,27.648396,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
1.25,0.0014648000000000003,28.985091999999998,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
1.25,0.0,29.125996,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
0.625,0.375,15.1405,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
0.625,0.1875,19.791891,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
0.625,0.09375,15.880753,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
0.625,0.046875,9.437704,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
0.625,0.0234375,14.501814000000001,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
0.625,0.011718800000000001,10.65517,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
0.625,0.005859400000000001,18.776049,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
0.625,0.0029297000000000004,34.528217,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
0.625,0.0014648000000000003,30.312376,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
0.625,0.0,26.919182,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
0.3125,0.375,18.075018,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
0.3125,0.1875,12.600978999999999,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
0.3125,0.09375,4.967307,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
0.3125,0.046875,9.134514,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
0.3125,0.0234375,12.214234,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
0.3125,0.011718800000000001,11.348475,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
0.3125,0.005859400000000001,29.210539,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
0.3125,0.0029297000000000004,37.708282000000004,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
0.3125,0.0014648000000000003,34.933846,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
0.3125,0.0,34.046295,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
0.15625,0.375,11.287581,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
0.15625,0.1875,8.127561,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
0.15625,0.09375,10.9228,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
0.15625,0.046875,30.910912,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
0.15625,0.0234375,24.688778,1.0,Clindamycin,Chloroquine,uM,uM,3,plasmodium_falciparum_Dd2
