drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
5.0,0.125,3.731388,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
5.0,0.0625,2.769431,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
5.0,0.03125,3.06988,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
5.0,0.015625,3.219589,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
5.0,0.0078125,2.904075,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
5.0,0.003906300000000001,4.493615,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
5.0,0.0019531000000000001,4.7290730000000005,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
5.0,0.0009766,4.044722,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
5.0,0.0004883,4.659935,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
5.0,0.0,4.210152,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
2.5,0.125,2.883809,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
2.5,0.0625,4.338611,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
2.5,0.03125,2.9935259999999997,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
2.5,0.015625,3.482224,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
2.5,0.0078125,4.75611,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
2.5,0.003906300000000001,7.6592009999999995,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
2.5,0.0019531000000000001,7.96935,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
2.5,0.0009766,17.336079,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
2.5,0.0004883,20.320045,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
2.5,0.0,18.102733999999998,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
1.25,0.125,3.1855,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
1.25,0.0625,3.5834589999999995,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
1.25,0.03125,3.9060010000000003,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
1.25,0.015625,3.789561,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
1.25,0.0078125,6.7196419999999994,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
1.25,0.003906300000000001,14.577542000000001,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
1.25,0.0019531000000000001,33.03112,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
1.25,0.0009766,41.473892,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
1.25,0.0004883,54.3209,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
1.25,0.0,48.454857000000004,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
0.625,0.125,4.046245,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
0.625,0.0625,3.051418,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
0.625,0.03125,3.513689,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
0.625,0.015625,5.237709,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
0.625,0.0078125,14.558001999999998,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
0.625,0.003906300000000001,26.836327,1.0,Clobetasonebutyrate,Decoquinate,uM,uM,83,plasmodium_falciparum_3D7
