drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
0.25,0.05,0.829583,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.25,0.025,2.821701,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.25,0.0125,4.074525,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.25,0.00625,5.904866,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.25,0.003125,5.647384,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.25,0.0015625,5.49959,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.25,0.00078125,5.657015,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.25,0.000390625,6.860852,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.25,0.000195375,6.067153,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.25,0.0,6.982810000000001,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.125,0.05,0.582101,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.125,0.025,2.183853,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.125,0.0125,4.159441999999999,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.125,0.00625,3.59211,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.125,0.003125,4.584072,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.125,0.0015625,5.172517,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.125,0.00078125,5.266185,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.125,0.000390625,5.028288,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.125,0.000195375,5.660812,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.125,0.0,5.453289,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.0625,0.05,0.049774,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.0625,0.025,1.0425229999999999,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.0625,0.0125,2.836564,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.0625,0.00625,3.5859059999999996,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.0625,0.003125,3.618549,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.0625,0.0015625,3.4952019999999995,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.0625,0.00078125,4.157775,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.0625,0.000390625,3.5857669999999997,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.0625,0.000195375,3.77426,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.0625,0.0,3.5925269999999996,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.03125,0.05,0.99474,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.03125,0.025,3.3390730000000004,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.03125,0.0125,3.948122,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.03125,0.00625,4.757193,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.03125,0.003125,6.099981,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.03125,0.0015625,5.994923,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.03125,0.00078125,6.8193660000000005,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.03125,0.000390625,8.133631,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.03125,0.000195375,5.877641000000001,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.03125,0.0,5.517138,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.015625,0.05,1.867938,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.015625,0.025,5.3536019999999995,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.015625,0.0125,12.455036,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.015625,0.00625,16.46784,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.015625,0.003125,15.89662,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.015625,0.0015625,16.97447,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.015625,0.00078125,18.305544,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.015625,0.000390625,15.064398,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.015625,0.000195375,15.590892000000002,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.015625,0.0,14.069798,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.0078125,0.05,2.66173,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.0078125,0.025,5.440787,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.0078125,0.0125,21.543077,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.0078125,0.00625,40.30205,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.0078125,0.003125,50.184673,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.0078125,0.0015625,26.763796000000003,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.0078125,0.00078125,48.003136,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.0078125,0.000390625,38.430965,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.0078125,0.000195375,49.491122999999995,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.0078125,0.0,50.24343,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.00390625,0.05,1.5594780000000001,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.00390625,0.025,7.474716,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.00390625,0.0125,46.53705,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.00390625,0.00625,77.729294,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.00390625,0.003125,75.29694,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.00390625,0.0015625,76.79868,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.00390625,0.00078125,78.08933,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.00390625,0.000390625,84.481064,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.00390625,0.000195375,81.24519000000001,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.00390625,0.0,84.53371,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.001953125,0.05,3.985302,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.001953125,0.025,10.249744999999999,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
0.001953125,0.0125,49.89103,1.0,Decoquinate,Lumefantrine,uM,uM,189,plasmodium_falciparum_Dd2
