drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
0.01,0.05,-0.826882,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.01,0.025,-1.142724,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.01,0.0125,-1.340195,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.01,0.00625,-1.0365149999999999,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.01,0.003125,-0.650346,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.01,0.0015625,-1.100064,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.01,0.00078125,-1.24327,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.01,0.000390625,-0.725593,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.01,0.000195375,-1.000772,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.01,0.0,-0.731163,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.005,0.05,-1.542216,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.005,0.025,-1.402073,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.005,0.0125,-0.592553,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.005,0.00625,-0.47283500000000006,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.005,0.003125,-1.086695,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.005,0.0015625,0.219939,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.005,0.00078125,-0.6343770000000001,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.005,0.000390625,-0.409008,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.005,0.000195375,-0.720812,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.005,0.0,-0.773266,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.0025,0.05,-0.6517850000000001,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.0025,0.025,0.15671400000000002,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.0025,0.0125,0.751681,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.0025,0.00625,2.2410240000000003,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.0025,0.003125,1.0579610000000002,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.0025,0.0015625,0.267194,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.0025,0.00078125,1.064506,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.0025,0.000390625,0.287248,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.0025,0.000195375,0.9879129999999999,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.0025,0.0,0.624954,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.00125,0.05,0.303588,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.00125,0.025,0.016711,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.00125,0.0125,2.3423599999999998,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.00125,0.00625,2.751089,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.00125,0.003125,3.296432,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.00125,0.0015625,2.748629,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.00125,0.00078125,2.881112,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.00125,0.000390625,4.104143,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.00125,0.000195375,2.29088,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.00125,0.0,2.559281,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.000625,0.05,-0.117907,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.000625,0.025,0.36398,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.000625,0.0125,6.34396,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.000625,0.00625,5.868664,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.000625,0.003125,6.318893,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.000625,0.0015625,5.516011,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.000625,0.00078125,5.136294,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.000625,0.000390625,5.609687,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
0.000625,0.000195375,6.316804,1.0,Gramicidin,Artemether,uM,uM,200,plasmodium_falciparum_Dd2
