drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
2.5,0.025,2.710449,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
2.5,0.0125,1.5242,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
2.5,0.00625,2.025258,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
2.5,0.003125,1.31011,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
2.5,0.0015625,2.855693,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
2.5,0.0007813000000000001,4.409698000000001,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
2.5,0.00039060000000000006,5.974981,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
2.5,0.00019530000000000003,2.436036,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
2.5,9.77e-05,3.637544,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
2.5,0.0,7.030428,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
1.25,0.025,2.9374,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
1.25,0.0125,1.137817,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
1.25,0.00625,1.138991,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
1.25,0.003125,1.578093,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
1.25,0.0015625,2.552905,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
1.25,0.0007813000000000001,6.151918,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
1.25,0.00039060000000000006,19.591887,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
1.25,0.00019530000000000003,29.478772999999997,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
1.25,9.77e-05,10.085463,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
1.25,0.0,35.486214000000004,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.625,0.025,2.350859,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.625,0.0125,2.096196,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.625,0.00625,2.094563,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.625,0.003125,1.6495919999999997,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.625,0.0015625,3.943803,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.625,0.0007813000000000001,2.707795,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.625,0.00039060000000000006,6.178099,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.625,0.00019530000000000003,48.039303000000004,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.625,9.77e-05,55.5517,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.625,0.0,63.832319999999996,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.3125,0.025,2.1103330000000002,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.3125,0.0125,2.187344,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.3125,0.00625,1.8958849999999998,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.3125,0.003125,4.499519,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.3125,0.0015625,5.008589,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.3125,0.0007813000000000001,21.76489,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.3125,0.00039060000000000006,13.939444,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.3125,0.00019530000000000003,60.156452,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.3125,9.77e-05,76.13595600000001,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.3125,0.0,68.43437,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.15625,0.025,5.7022010000000005,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.15625,0.0125,2.686361,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.15625,0.00625,2.151109,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.15625,0.003125,3.214212,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.15625,0.0015625,6.944792,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.15625,0.0007813000000000001,26.312075,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.15625,0.00039060000000000006,58.341969999999996,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.15625,0.00019530000000000003,63.919846,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.15625,9.77e-05,76.75449,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.15625,0.0,70.70669000000001,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.078125,0.025,1.8172409999999999,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.078125,0.0125,1.468266,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.078125,0.00625,1.536857,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.078125,0.003125,3.232584,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.078125,0.0015625,7.506938000000001,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.078125,0.0007813000000000001,39.40378,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.078125,0.00039060000000000006,62.368855,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
0.078125,0.00019530000000000003,64.22794,1.0,KN62,Halofantrine,uM,uM,224,plasmodium_falciparum_Dd2
