drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
5.0,0.075,0.48565600000000003,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
5.0,0.0375,0.981822,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
5.0,0.01875,1.272826,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
5.0,0.009375,3.0877950000000003,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
5.0,0.0046875,3.7461089999999997,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
5.0,0.00234375,2.8620759999999996,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
5.0,0.001171875,5.958019999999999,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
5.0,0.000586,4.016508999999999,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
5.0,0.000293,4.440723,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
5.0,0.0,7.363036999999999,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
2.5,0.075,1.421222,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
2.5,0.0375,2.220616,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
2.5,0.01875,3.8921900000000003,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
2.5,0.009375,11.850061,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
2.5,0.0046875,48.490784000000005,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
2.5,0.00234375,59.940290000000005,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
2.5,0.001171875,54.939921999999996,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
2.5,0.000586,41.002037,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
2.5,0.000293,55.524616,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
2.5,0.0,46.57196,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
1.25,0.075,1.275141,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
1.25,0.0375,2.4614759999999998,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
1.25,0.01875,5.273361,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
1.25,0.009375,49.050056,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
1.25,0.0046875,58.06925,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
1.25,0.00234375,57.279488,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
1.25,0.001171875,71.23427,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
1.25,0.000586,42.495674,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
1.25,0.000293,62.38593,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
1.25,0.0,61.292522,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.625,0.075,1.01377,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.625,0.0375,3.1862779999999997,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.625,0.01875,10.66243,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.625,0.009375,69.38842,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.625,0.0046875,69.417725,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.625,0.00234375,86.91799999999999,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.625,0.001171875,78.753716,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.625,0.000586,81.67566,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.625,0.000293,72.965294,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.625,0.0,82.39245,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.3125,0.075,2.512037,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.3125,0.0375,3.307403,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.3125,0.01875,61.642467,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.3125,0.009375,96.205505,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.3125,0.0046875,96.820526,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.3125,0.00234375,90.23262,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.3125,0.001171875,95.04399000000001,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.3125,0.000586,91.08641999999999,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.3125,0.000293,94.68441,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.3125,0.0,86.689964,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.15625,0.075,2.261593,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.15625,0.0375,4.469337,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.15625,0.01875,62.542336,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.15625,0.009375,89.53792,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.15625,0.0046875,89.01777,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.15625,0.00234375,98.26581999999999,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.15625,0.001171875,101.15536,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.15625,0.000586,96.77936600000001,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.15625,0.000293,97.11662,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.15625,0.0,100.01680999999999,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.078125,0.075,2.302245,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.078125,0.0375,9.389325999999999,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.078125,0.01875,68.32899499999999,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.078125,0.009375,100.89274,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.078125,0.0046875,106.43932,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.078125,0.00234375,102.36142,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.078125,0.001171875,107.171906,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.078125,0.000586,101.11174,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.078125,0.000293,106.1247,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.078125,0.0,107.04893,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.0390625,0.075,2.513843,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.0390625,0.0375,21.130857000000002,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.0390625,0.01875,69.74906,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.0390625,0.009375,92.83958,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.0390625,0.0046875,98.50210600000001,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.0390625,0.00234375,106.58253500000001,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.0390625,0.001171875,105.46518999999999,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.0390625,0.000586,107.42114,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.0390625,0.000293,108.419266,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.0390625,0.0,106.44275,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.01953125,0.075,2.9269439999999998,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.01953125,0.0375,9.998004,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.01953125,0.01875,64.34888000000001,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.01953125,0.009375,105.48153,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.01953125,0.0046875,105.24108999999999,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.01953125,0.00234375,109.55356,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.01953125,0.001171875,106.02094,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.01953125,0.000586,102.906525,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.01953125,0.000293,101.221664,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.01953125,0.0,103.83436,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
0.0,0.075,2.515186,1.0,KN62,Methyleneblue,uM,uM,184,plasmodium_falciparum_Dd2
