drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
10.0,0.05,-4.429613,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
10.0,0.025,-2.969202,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
10.0,0.0125,36.953053000000004,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
10.0,0.00625,14.387119,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
10.0,0.003125,20.647198,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
10.0,0.0015625,68.0291,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
10.0,0.00078125,60.09585,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
10.0,0.000390625,56.64626,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
10.0,0.000195375,62.954997999999996,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
10.0,0.0,72.774445,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
5.0,0.05,0.814515,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
5.0,0.025,-3.100192,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
5.0,0.0125,35.922955,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
5.0,0.00625,38.799644,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
5.0,0.003125,97.72281,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
5.0,0.0015625,99.21434,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
5.0,0.00078125,105.75083000000001,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
5.0,0.000390625,107.87468,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
5.0,0.000195375,94.02538,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
5.0,0.0,113.139175,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
2.5,0.05,-4.6884809999999995,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
2.5,0.025,6.066282,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
2.5,0.0125,47.046642,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
2.5,0.00625,82.3155,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
2.5,0.003125,101.82848,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
2.5,0.0015625,97.33946,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
2.5,0.00078125,86.1722,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
2.5,0.000390625,99.67097,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
2.5,0.000195375,97.52561999999999,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
2.5,0.0,98.36616,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
1.25,0.05,6.384562,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
1.25,0.025,-0.250946,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
1.25,0.0125,7.470110000000001,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
1.25,0.00625,68.020325,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
1.25,0.003125,86.983604,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
1.25,0.0015625,124.78399999999999,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
1.25,0.00078125,121.00509,1.0,Lomerizinedihydrochloride,Artemether,uM,uM,17,plasmodium_falciparum_HB3
