drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
0.05,0.01,34.40485,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.05,0.005,51.064370000000004,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.05,0.0025,109.43311000000001,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.05,0.00125,88.78319,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.05,0.000625,85.56084399999999,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.05,0.0003125,102.35292,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.05,0.00015625,60.26355699999999,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.05,7.8125e-05,78.763306,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.05,3.9125e-05,60.216774,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.05,0.0,48.45803,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.025,0.01,46.709423,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.025,0.005,88.40501,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.025,0.0025,55.413467000000004,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.025,0.00125,110.69243,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.025,0.000625,77.767166,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.025,0.0003125,76.35385,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.025,0.00015625,63.673046,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
0.025,7.8125e-05,62.19540799999999,1.0,ML238,NVPBGT226,uM,uM,218,plasmodium_falciparum_3D7
