drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
10.0,0.05,1.628443,1.0,Manidipinedihydrochloride,Artemether,uM,uM,80,plasmodium_falciparum_Dd2
10.0,0.025,4.199944,1.0,Manidipinedihydrochloride,Artemether,uM,uM,80,plasmodium_falciparum_Dd2
10.0,0.0125,16.734783,1.0,Manidipinedihydrochloride,Artemether,uM,uM,80,plasmodium_falciparum_Dd2
10.0,0.00625,26.247852,1.0,Manidipinedihydrochloride,Artemether,uM,uM,80,plasmodium_falciparum_Dd2
10.0,0.003125,38.285313,1.0,Manidipinedihydrochloride,Artemether,uM,uM,80,plasmodium_falciparum_Dd2
10.0,0.0015625,38.969963,1.0,Manidipinedihydrochloride,Artemether,uM,uM,80,plasmodium_falciparum_Dd2
10.0,0.00078125,35.399547999999996,1.0,Manidipinedihydrochloride,Artemether,uM,uM,80,plasmodium_falciparum_Dd2
10.0,0.000390625,35.928406,1.0,Manidipinedihydrochloride,Artemether,uM,uM,80,plasmodium_falciparum_Dd2
10.0,0.000195375,35.28632,1.0,Manidipinedihydrochloride,Artemether,uM,uM,80,plasmodium_falciparum_Dd2
10.0,0.0,26.433737,1.0,Manidipinedihydrochloride,Artemether,uM,uM,80,plasmodium_falciparum_Dd2
5.0,0.05,0.707164,1.0,Manidipinedihydrochloride,Artemether,uM,uM,80,plasmodium_falciparum_Dd2
5.0,0.025,8.125977,1.0,Manidipinedihydrochloride,Artemether,uM,uM,80,plasmodium_falciparum_Dd2
5.0,0.0125,49.560406,1.0,Manidipinedihydrochloride,Artemether,uM,uM,80,plasmodium_falciparum_Dd2
5.0,0.00625,65.84176,1.0,Manidipinedihydrochloride,Artemether,uM,uM,80,plasmodium_falciparum_Dd2
5.0,0.003125,63.8173,1.0,Manidipinedihydrochloride,Artemether,uM,uM,80,plasmodium_falciparum_Dd2
5.0,0.0015625,68.72523000000001,1.0,Manidipinedihydrochloride,Artemether,uM,uM,80,plasmodium_falciparum_Dd2
5.0,0.00078125,70.29590999999999,1.0,Manidipinedihydrochloride,Artemether,uM,uM,80,plasmodium_falciparum_Dd2
5.0,0.000390625,70.32921,1.0,Manidipinedihydrochloride,Artemether,uM,uM,80,plasmodium_falciparum_Dd2
5.0,0.000195375,66.13918000000001,1.0,Manidipinedihydrochloride,Artemether,uM,uM,80,plasmodium_falciparum_Dd2
