drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
10.0,0.025,10.620933,1.0,Manidipinedihydrochloride,Artenimol,uM,uM,82,plasmodium_falciparum_3D7
10.0,0.0125,21.910225,1.0,Manidipinedihydrochloride,Artenimol,uM,uM,82,plasmodium_falciparum_3D7
10.0,0.00625,10.056248,1.0,Manidipinedihydrochloride,Artenimol,uM,uM,82,plasmodium_falciparum_3D7
10.0,0.003125,33.349509999999995,1.0,Manidipinedihydrochloride,Artenimol,uM,uM,82,plasmodium_falciparum_3D7
10.0,0.0015625,11.622367,1.0,Manidipinedihydrochloride,Artenimol,uM,uM,82,plasmodium_falciparum_3D7
10.0,0.00078125,12.626006,1.0,Manidipinedihydrochloride,Artenimol,uM,uM,82,plasmodium_falciparum_3D7
10.0,0.000390625,33.52377,1.0,Manidipinedihydrochloride,Artenimol,uM,uM,82,plasmodium_falciparum_3D7
10.0,0.000195375,60.00662,1.0,Manidipinedihydrochloride,Artenimol,uM,uM,82,plasmodium_falciparum_3D7
10.0,9.7625e-05,38.103012,1.0,Manidipinedihydrochloride,Artenimol,uM,uM,82,plasmodium_falciparum_3D7
10.0,0.0,44.182198,1.0,Manidipinedihydrochloride,Artenimol,uM,uM,82,plasmodium_falciparum_3D7
5.0,0.025,10.649608,1.0,Manidipinedihydrochloride,Artenimol,uM,uM,82,plasmodium_falciparum_3D7
5.0,0.0125,15.436197,1.0,Manidipinedihydrochloride,Artenimol,uM,uM,82,plasmodium_falciparum_3D7
5.0,0.00625,9.275394,1.0,Manidipinedihydrochloride,Artenimol,uM,uM,82,plasmodium_falciparum_3D7
5.0,0.003125,31.415021999999997,1.0,Manidipinedihydrochloride,Artenimol,uM,uM,82,plasmodium_falciparum_3D7
5.0,0.0015625,8.838646,1.0,Manidipinedihydrochloride,Artenimol,uM,uM,82,plasmodium_falciparum_3D7
5.0,0.00078125,46.957096,1.0,Manidipinedihydrochloride,Artenimol,uM,uM,82,plasmodium_falciparum_3D7
