drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
10.0,0.05,11.597852,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
10.0,0.025,11.827297,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
10.0,0.0125,10.684317,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
10.0,0.00625,11.796459,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
10.0,0.003125,12.126622,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
10.0,0.0015625,89.21129,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
10.0,0.00078125,84.58986,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
10.0,0.000390625,80.8483,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
10.0,0.000195375,100.82186999999999,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
10.0,0.0,67.09321,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
5.0,0.05,5.557599,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
5.0,0.025,16.456366,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
5.0,0.0125,49.798283000000005,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
5.0,0.00625,14.842331,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
5.0,0.003125,110.95506999999999,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
5.0,0.0015625,125.84267,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
5.0,0.00078125,61.131325,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
5.0,0.000390625,116.96278000000001,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
5.0,0.000195375,147.65123,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
5.0,0.0,100.82866,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
2.5,0.05,3.409985,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
2.5,0.025,3.4660019999999996,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
2.5,0.0125,72.68249499999999,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
2.5,0.00625,35.290638,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
2.5,0.003125,72.414856,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
2.5,0.0015625,106.19246000000001,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
2.5,0.00078125,107.70804,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
2.5,0.000390625,103.521736,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
2.5,0.000195375,107.42229499999999,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
2.5,0.0,109.86018,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
1.25,0.05,3.683847,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
1.25,0.025,5.008458999999999,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
1.25,0.0125,75.102554,1.0,Manoalide,Artemether,uM,uM,20,plasmodium_falciparum_HB3
