drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
5.0,3.75,5.821535,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
5.0,1.875,6.6885449999999995,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
5.0,0.9375,8.799969,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
5.0,0.46875,9.539225,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
5.0,0.234375,14.729785000000001,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
5.0,0.1171875,18.876504999999998,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
5.0,0.05859380000000001,14.154851999999998,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
5.0,0.029296900000000004,13.305181,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
5.0,0.0146484,20.254044,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
5.0,0.0,13.841854000000001,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
2.5,3.75,15.698282999999998,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
2.5,1.875,21.497989999999998,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
2.5,0.9375,29.077188,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
2.5,0.46875,38.524933000000004,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
2.5,0.234375,51.819393,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
2.5,0.1171875,55.303256999999995,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
2.5,0.05859380000000001,58.524469999999994,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
2.5,0.029296900000000004,62.532986,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
2.5,0.0146484,57.504787,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
2.5,0.0,46.25509,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
1.25,3.75,27.949078000000004,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
1.25,1.875,44.68593,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
1.25,0.9375,69.41453,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
1.25,0.46875,93.48980999999999,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
1.25,0.234375,82.69937,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
1.25,0.1171875,92.071754,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
1.25,0.05859380000000001,87.69964,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
1.25,0.029296900000000004,89.28604,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
1.25,0.0146484,79.8846,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
1.25,0.0,75.30338,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
0.625,3.75,47.324065999999995,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
0.625,1.875,60.89864,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
0.625,0.9375,75.34281999999999,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
0.625,0.46875,92.60668000000001,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
0.625,0.234375,92.645065,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
0.625,0.1171875,88.79986600000001,1.0,Miconazole,Reserpine,uM,uM,107,plasmodium_falciparum_3D7
