drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
0.01,0.025,46.14215,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.01,0.0125,32.677690000000005,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.01,0.00625,64.343636,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.01,0.003125,66.71215,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.01,0.0015625,85.33666,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.01,0.00078125,139.83002,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.01,0.000390625,54.58691999999999,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.01,0.000195375,60.103706,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.01,9.7625e-05,40.656555,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.01,0.0,256.9418,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.005,0.025,37.510234999999994,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.005,0.0125,57.604583999999996,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.005,0.00625,79.67756999999999,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.005,0.003125,52.803226,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.005,0.0015625,57.77808,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.005,0.00078125,66.7141,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.005,0.000390625,110.09981,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.005,0.000195375,54.3413,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.005,9.7625e-05,46.356583,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.005,0.0,67.54454,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.0025,0.025,33.749855,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.0025,0.0125,49.097429999999996,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.0025,0.00625,40.923621999999995,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.0025,0.003125,84.50622,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.0025,0.0015625,50.809,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.0025,0.00078125,90.58248,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.0025,0.000390625,86.52774000000001,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.0025,0.000195375,65.33978,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.0025,9.7625e-05,38.991776,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.0025,0.0,88.61944,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.00125,0.025,32.053883,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.00125,0.0125,35.94682,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.00125,0.00625,45.473507,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.00125,0.003125,50.781708,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.00125,0.0015625,102.63558,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.00125,0.00078125,43.344770000000004,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.00125,0.000390625,187.84163,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.00125,0.000195375,76.2252,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.00125,9.7625e-05,157.94768,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.00125,0.0,84.20600999999999,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.000625,0.025,89.12823,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.000625,0.0125,56.87941,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.000625,0.00625,66.46653,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.000625,0.003125,77.96600000000001,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.000625,0.0015625,75.30703000000001,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.000625,0.00078125,372.10222999999996,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.000625,0.000390625,144.93742,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.000625,0.000195375,228.9719,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.000625,9.7625e-05,355.21268,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.000625,0.0,278.28766,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.0003125,0.025,56.11525,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.0003125,0.0125,12.481968,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.0003125,0.00625,60.48384,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.0003125,0.003125,57.641624,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.0003125,0.0015625,49.25923,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
0.0003125,0.00078125,125.905495,1.0,NITD609,Artenimol,uM,uM,221,plasmodium_falciparum_3D7
