drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
0.5,0.05,-0.365257,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.5,0.025,-0.186606,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.5,0.0125,-0.155927,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.5,0.00625,-0.162176,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.5,0.003125,-0.100863,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.5,0.0015625,-0.10925399999999999,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.5,0.00078125,0.161084,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.5,0.000390625,0.22064899999999998,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.5,0.000195375,0.142336,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.5,0.0,0.031334,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.25,0.05,-0.19630699999999998,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.25,0.025,0.39156599999999997,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.25,0.0125,1.362352,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.25,0.00625,2.160429,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.25,0.003125,2.5380540000000003,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.25,0.0015625,1.926539,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.25,0.00078125,2.3674,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.25,0.000390625,2.073332,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.25,0.000195375,2.092604,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.25,0.0,2.693064,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.125,0.05,-0.131017,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.125,0.025,10.298792,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.125,0.0125,15.995244,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.125,0.00625,22.609297,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.125,0.003125,20.769548,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.125,0.0015625,22.023827,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.125,0.00078125,28.562931,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.125,0.000390625,17.279806,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.125,0.000195375,17.373414999999998,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.125,0.0,19.388624,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0625,0.05,1.3314979999999998,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0625,0.025,18.770726999999997,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0625,0.0125,59.290924,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0625,0.00625,66.89237,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0625,0.003125,78.16046,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0625,0.0015625,73.62053,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0625,0.00078125,74.07393,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0625,0.000390625,70.59533,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0625,0.000195375,62.13393000000001,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0625,0.0,72.01467,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.03125,0.05,17.67902,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.03125,0.025,65.29329,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.03125,0.0125,101.43044,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.03125,0.00625,105.89813000000001,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.03125,0.003125,102.62004,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.03125,0.0015625,102.277985,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.03125,0.00078125,103.79508,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.03125,0.000390625,99.85946,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.03125,0.000195375,102.11581,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.03125,0.0,103.01654,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.015625,0.05,0.34144,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.015625,0.025,77.57070999999999,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.015625,0.0125,101.21866,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.015625,0.00625,104.75153,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.015625,0.003125,103.08821,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.015625,0.0015625,104.34594,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.015625,0.00078125,110.46328999999999,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.015625,0.000390625,105.115265,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.015625,0.000195375,108.28943999999998,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.015625,0.0,106.33227,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0078125,0.05,1.165345,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0078125,0.025,59.782436,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0078125,0.0125,98.95973000000001,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0078125,0.00625,102.231316,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0078125,0.003125,102.52734,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0078125,0.0015625,103.7811,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0078125,0.00078125,104.1856,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0078125,0.000390625,103.85517,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0078125,0.000195375,103.74452,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0078125,0.0,102.10113,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.00390625,0.05,4.947757,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.00390625,0.025,67.8521,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.00390625,0.0125,97.7797,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.00390625,0.00625,104.48784,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.00390625,0.003125,102.3112,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.00390625,0.0015625,99.95608,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.00390625,0.00078125,108.00695,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.00390625,0.000390625,102.75511999999999,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.00390625,0.000195375,107.49167,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.00390625,0.0,105.38386000000001,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.001953125,0.05,37.34209,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.001953125,0.025,91.563286,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.001953125,0.0125,104.90378999999999,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.001953125,0.00625,4.28865,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.001953125,0.003125,100.15645,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.001953125,0.0015625,101.83136,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.001953125,0.00078125,100.29786999999999,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.001953125,0.000390625,104.41263599999999,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.001953125,0.000195375,102.039986,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.001953125,0.0,101.081,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0,0.05,75.44375600000001,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0,0.025,89.59785500000001,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0,0.0125,97.568665,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0,0.00625,102.71356,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0,0.003125,99.89608,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0,0.0015625,105.970024,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0,0.00078125,102.94937,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0,0.000390625,100.20810999999999,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0,0.000195375,102.139496,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
0.0,0.0,104.038414,1.0,NVPAUY922,Artemether,uM,uM,66,plasmodium_falciparum_Dd2
