drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
0.5,0.05,-0.395149,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.5,0.025,-0.39209,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.5,0.0125,-0.449383,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.5,0.00625,0.0055060000000000005,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.5,0.003125,-0.037015,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.5,0.0015625,-0.264482,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.5,0.00078125,0.17205299999999998,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.5,0.000390625,0.095532,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.5,0.000195375,-0.386977,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.5,0.0,0.13783499999999999,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.25,0.05,0.423162,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.25,0.025,0.9268219999999999,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.25,0.0125,1.876675,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.25,0.00625,1.9209880000000001,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.25,0.003125,3.5878959999999998,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.25,0.0015625,4.097587,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.25,0.00078125,3.483712,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.25,0.000390625,3.062036,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.25,0.000195375,6.6296539999999995,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.25,0.0,2.353634,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.125,0.05,1.852727,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.125,0.025,2.4484220000000003,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.125,0.0125,13.951104,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.125,0.00625,17.118547,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.125,0.003125,19.241743,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.125,0.0015625,26.126135,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.125,0.00078125,16.942738000000002,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.125,0.000390625,32.83017,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.125,0.000195375,27.469301,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.125,0.0,17.873623000000002,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.0625,0.05,3.451941,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.0625,0.025,7.675913,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.0625,0.0125,44.00854,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.0625,0.00625,72.04417,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.0625,0.003125,71.15559,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.0625,0.0015625,74.365944,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.0625,0.00078125,70.82611999999999,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.0625,0.000390625,69.282234,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.0625,0.000195375,74.231606,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.0625,0.0,73.46377,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.03125,0.05,2.591632,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.03125,0.025,15.432410999999998,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.03125,0.0125,84.05383,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.03125,0.00625,92.02831,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.03125,0.003125,97.668564,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.03125,0.0015625,97.40273,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.03125,0.00078125,95.13006999999999,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.03125,0.000390625,98.4558,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.03125,0.000195375,102.34262,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.03125,0.0,98.93665,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.015625,0.05,2.697303,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.015625,0.025,8.651113,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.015625,0.0125,84.925285,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.015625,0.00625,104.54999000000001,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.015625,0.003125,103.87934,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.015625,0.0015625,105.10643999999999,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.015625,0.00078125,103.71571999999999,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
0.015625,0.000390625,101.371574,1.0,NVPAUY922,Artesunate,uM,uM,67,plasmodium_falciparum_Dd2
