drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
0.01,0.05,1.6705889999999999,1.0,NVPBGT226,Artesunate,uM,uM,226,plasmodium_falciparum_Dd2
0.01,0.025,2.110807,1.0,NVPBGT226,Artesunate,uM,uM,226,plasmodium_falciparum_Dd2
0.01,0.0125,3.992524,1.0,NVPBGT226,Artesunate,uM,uM,226,plasmodium_falciparum_Dd2
0.01,0.00625,6.898345,1.0,NVPBGT226,Artesunate,uM,uM,226,plasmodium_falciparum_Dd2
0.01,0.003125,5.765852,1.0,NVPBGT226,Artesunate,uM,uM,226,plasmodium_falciparum_Dd2
0.01,0.0015625,5.113997,1.0,NVPBGT226,Artesunate,uM,uM,226,plasmodium_falciparum_Dd2
0.01,0.00078125,5.157148,1.0,NVPBGT226,Artesunate,uM,uM,226,plasmodium_falciparum_Dd2
0.01,0.000390625,5.15025,1.0,NVPBGT226,Artesunate,uM,uM,226,plasmodium_falciparum_Dd2
0.01,0.000195375,6.587858,1.0,NVPBGT226,Artesunate,uM,uM,226,plasmodium_falciparum_Dd2
0.01,0.0,4.830179,1.0,NVPBGT226,Artesunate,uM,uM,226,plasmodium_falciparum_Dd2
0.005,0.05,2.392819,1.0,NVPBGT226,Artesunate,uM,uM,226,plasmodium_falciparum_Dd2
0.005,0.025,7.34523,1.0,NVPBGT226,Artesunate,uM,uM,226,plasmodium_falciparum_Dd2
0.005,0.0125,20.768744,1.0,NVPBGT226,Artesunate,uM,uM,226,plasmodium_falciparum_Dd2
0.005,0.00625,17.937696,1.0,NVPBGT226,Artesunate,uM,uM,226,plasmodium_falciparum_Dd2
0.005,0.003125,20.235971,1.0,NVPBGT226,Artesunate,uM,uM,226,plasmodium_falciparum_Dd2
0.005,0.0015625,17.634525,1.0,NVPBGT226,Artesunate,uM,uM,226,plasmodium_falciparum_Dd2
0.005,0.00078125,17.033693,1.0,NVPBGT226,Artesunate,uM,uM,226,plasmodium_falciparum_Dd2
0.005,0.000390625,17.108328,1.0,NVPBGT226,Artesunate,uM,uM,226,plasmodium_falciparum_Dd2
