drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
10.0,0.05,1.266134,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
10.0,0.025,0.8146479999999999,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
10.0,0.0125,4.591435,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
10.0,0.00625,6.304785,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
10.0,0.003125,29.334004999999998,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
10.0,0.0015625,34.77131,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
10.0,0.00078125,21.647816,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
10.0,0.000390625,39.358208000000005,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
10.0,0.000195375,38.778908,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
10.0,0.0,37.913296,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
5.0,0.05,7.896991000000001,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
5.0,0.025,2.945061,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
5.0,0.0125,36.361115000000005,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
5.0,0.00625,83.57575,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
5.0,0.003125,79.07370999999999,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
5.0,0.0015625,97.55045,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
5.0,0.00078125,75.40819,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
5.0,0.000390625,76.76425,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
5.0,0.000195375,80.18908,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
5.0,0.0,84.22603000000001,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
2.5,0.05,-7.067133,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
2.5,0.025,1.045194,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
2.5,0.0125,40.469845,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
2.5,0.00625,66.430786,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
2.5,0.003125,81.53366,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
2.5,0.0015625,83.13521,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
2.5,0.00078125,88.88231,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
2.5,0.000390625,80.95436,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
2.5,0.000195375,91.359604,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
2.5,0.0,74.78567,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
1.25,0.05,-0.175311,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
1.25,0.025,6.3944410000000005,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
1.25,0.0125,89.21799,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
1.25,0.00625,104.32754,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
1.25,0.003125,95.71036,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
1.25,0.0015625,85.68802,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
1.25,0.00078125,111.89685,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
1.25,0.000390625,106.98575,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
1.25,0.000195375,99.22004,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
1.25,0.0,106.130806,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
0.625,0.05,1.8072759999999999,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
0.625,0.025,9.357914,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
0.625,0.0125,5.677722,1.0,Nicardipine,Artemether,uM,uM,86,plasmodium_falciparum_HB3
