drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
10.0,0.025,-5.230773,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
10.0,0.0125,-5.523491,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
10.0,0.00625,-4.516454,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
10.0,0.003125,0.374637,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
10.0,0.0015625,4.9658050000000005,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
10.0,0.00078125,3.254323,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
10.0,0.000390625,16.841845000000003,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
10.0,0.000195375,13.156582,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
10.0,9.7625e-05,16.161947,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
10.0,0.0,12.111121,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
5.0,0.025,-1.9161439999999998,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
5.0,0.0125,-1.796068,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
5.0,0.00625,0.171575,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
5.0,0.003125,6.174836,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
5.0,0.0015625,37.719303000000004,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
5.0,0.00078125,54.132343000000006,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
5.0,0.000390625,68.4566,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
5.0,0.000195375,54.11233000000001,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
5.0,9.7625e-05,69.950874,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
5.0,0.0,68.92009,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
2.5,0.025,-1.431838,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
2.5,0.0125,-0.673225,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
2.5,0.00625,-0.265768,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
2.5,0.003125,20.108976000000002,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
2.5,0.0015625,35.20385,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
2.5,0.00078125,67.12723000000001,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
2.5,0.000390625,71.36163,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
2.5,0.000195375,91.108246,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
2.5,9.7625e-05,75.77349,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
2.5,0.0,84.44804,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
1.25,0.025,-0.055769000000000006,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
1.25,0.0125,0.9421950000000001,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
1.25,0.00625,3.71835,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
1.25,0.003125,16.898413,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
1.25,0.0015625,46.171314,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
1.25,0.00078125,75.74894,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
1.25,0.000390625,104.9119,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
1.25,0.000195375,87.76746999999999,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
1.25,9.7625e-05,89.192635,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
1.25,0.0,98.37231,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
0.625,0.025,0.31193000000000004,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
0.625,0.0125,0.128615,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
0.625,0.00625,4.5188559999999995,1.0,Nicardipine,Artenimol,uM,uM,88,plasmodium_falciparum_HB3
