drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
0.5,0.025,0.377708,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.5,0.0125,1.2054280000000002,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.5,0.00625,0.377184,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.5,0.003125,0.8381049999999999,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.5,0.0015625,0.5641619999999999,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.5,0.00078125,1.377264,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.5,0.000390625,0.297506,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.5,0.000195375,0.65392,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.5,9.7625e-05,2.8425849999999997,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.5,0.0,2.7389069999999998,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.25,0.025,1.6461459999999999,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.25,0.0125,2.0694529999999998,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.25,0.00625,2.147996,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.25,0.003125,3.364028,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.25,0.0015625,3.928932,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.25,0.00078125,4.801596,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.25,0.000390625,5.9468510000000006,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.25,0.000195375,4.941361,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.25,9.7625e-05,5.851901,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.25,0.0,5.532052999999999,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.125,0.025,2.928241,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.125,0.0125,3.944292,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.125,0.00625,7.396463000000001,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.125,0.003125,8.276502,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.125,0.0015625,14.660535999999999,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.125,0.00078125,16.235556,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.125,0.000390625,16.438547,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.125,0.000195375,16.39369,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.125,9.7625e-05,22.783747,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.125,0.0,16.844881,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.0625,0.025,6.353184,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.0625,0.0125,11.502904,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.0625,0.00625,18.737305,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.0625,0.003125,32.603546,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.0625,0.0015625,35.17568,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.0625,0.00078125,57.036713,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.0625,0.000390625,63.1852,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.0625,0.000195375,66.43696,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.0625,9.7625e-05,59.469559999999994,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.0625,0.0,54.94936800000001,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.03125,0.025,7.420767999999999,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.03125,0.0125,16.007126,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.03125,0.00625,31.509693,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.03125,0.003125,57.227880000000006,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.03125,0.0015625,70.64323399999999,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.03125,0.00078125,74.6299,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.03125,0.000390625,89.71134,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.03125,0.000195375,80.89908,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.03125,9.7625e-05,87.05276500000001,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.03125,0.0,87.825066,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.015625,0.025,8.732186,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.015625,0.0125,19.372025,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.015625,0.00625,38.850914,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.015625,0.003125,61.452484,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.015625,0.0015625,81.03155500000001,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.015625,0.00078125,92.66776999999999,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.015625,0.000390625,100.957756,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.015625,0.000195375,98.76848000000001,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.015625,9.7625e-05,96.46863,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.015625,0.0,98.97121,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.0078125,0.025,7.831900999999999,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.0078125,0.0125,18.246887,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.0078125,0.00625,30.815454,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.0078125,0.003125,56.70386,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.0078125,0.0015625,70.26238000000001,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.0078125,0.00078125,83.87545,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.0078125,0.000390625,97.517586,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
0.0078125,0.000195375,97.0115,1.0,PanobinostatLBH589,Atovaquone,uM,uM,122,plasmodium_falciparum_Dd2
