drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
10.0,0.05,-0.186069,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
10.0,0.025,-0.6524439999999999,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
10.0,0.0125,-0.31054499999999996,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
10.0,0.00625,0.9245549999999999,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
10.0,0.003125,1.882512,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
10.0,0.0015625,2.046714,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
10.0,0.00078125,2.264091,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
10.0,0.000390625,1.471495,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
10.0,0.000195375,2.044398,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
10.0,0.0,1.089336,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
5.0,0.05,-0.205798,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
5.0,0.025,0.4242,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
5.0,0.0125,4.769788,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
5.0,0.00625,8.227651,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
5.0,0.003125,9.627622,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
5.0,0.0015625,13.944306,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
5.0,0.00078125,14.049766,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
5.0,0.000390625,10.830879,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
5.0,0.000195375,11.947071000000001,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
5.0,0.0,10.765947,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
2.5,0.05,0.13213699999999998,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
2.5,0.025,5.6951,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
2.5,0.0125,36.539127,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
2.5,0.00625,53.53825,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
2.5,0.003125,44.45436,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
2.5,0.0015625,51.78284,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
2.5,0.00078125,44.661182000000004,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
2.5,0.000390625,42.14836,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
2.5,0.000195375,45.426258000000004,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
2.5,0.0,42.604717,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
1.25,0.05,0.17083800000000002,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
1.25,0.025,16.1065,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
1.25,0.0125,78.81735,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
1.25,0.00625,74.9083,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
1.25,0.003125,79.116585,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
1.25,0.0015625,75.6976,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
1.25,0.00078125,79.10175,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
1.25,0.000390625,83.34789,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
1.25,0.000195375,81.11466999999999,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
1.25,0.0,81.57725500000001,1.0,Propafenonehydrochloride,Artemether,uM,uM,104,plasmodium_falciparum_Dd2
