drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
10.0,0.025,-0.363498,1.0,Propafenonehydrochloride,Artenimol,uM,uM,106,plasmodium_falciparum_Dd2
10.0,0.0125,-0.48588100000000006,1.0,Propafenonehydrochloride,Artenimol,uM,uM,106,plasmodium_falciparum_Dd2
10.0,0.00625,-0.130801,1.0,Propafenonehydrochloride,Artenimol,uM,uM,106,plasmodium_falciparum_Dd2
10.0,0.003125,-0.074552,1.0,Propafenonehydrochloride,Artenimol,uM,uM,106,plasmodium_falciparum_Dd2
10.0,0.0015625,-0.363587,1.0,Propafenonehydrochloride,Artenimol,uM,uM,106,plasmodium_falciparum_Dd2
10.0,0.00078125,0.020709,1.0,Propafenonehydrochloride,Artenimol,uM,uM,106,plasmodium_falciparum_Dd2
10.0,0.000390625,0.651954,1.0,Propafenonehydrochloride,Artenimol,uM,uM,106,plasmodium_falciparum_Dd2
10.0,0.000195375,0.9128870000000001,1.0,Propafenonehydrochloride,Artenimol,uM,uM,106,plasmodium_falciparum_Dd2
10.0,9.7625e-05,1.388392,1.0,Propafenonehydrochloride,Artenimol,uM,uM,106,plasmodium_falciparum_Dd2
10.0,0.0,1.421392,1.0,Propafenonehydrochloride,Artenimol,uM,uM,106,plasmodium_falciparum_Dd2
5.0,0.025,-0.531486,1.0,Propafenonehydrochloride,Artenimol,uM,uM,106,plasmodium_falciparum_Dd2
5.0,0.0125,0.17065999999999998,1.0,Propafenonehydrochloride,Artenimol,uM,uM,106,plasmodium_falciparum_Dd2
5.0,0.00625,-0.234301,1.0,Propafenonehydrochloride,Artenimol,uM,uM,106,plasmodium_falciparum_Dd2
5.0,0.003125,0.22757600000000003,1.0,Propafenonehydrochloride,Artenimol,uM,uM,106,plasmodium_falciparum_Dd2
5.0,0.0015625,0.987617,1.0,Propafenonehydrochloride,Artenimol,uM,uM,106,plasmodium_falciparum_Dd2
5.0,0.00078125,1.996923,1.0,Propafenonehydrochloride,Artenimol,uM,uM,106,plasmodium_falciparum_Dd2
