drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
10.0,0.25,-1.467762,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
10.0,0.125,-0.917399,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
10.0,0.0625,2.253902,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
10.0,0.03125,-0.5763739999999999,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
10.0,0.015625,0.09777899999999999,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
10.0,0.0078125,0.393993,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
10.0,0.00390625,1.729207,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
10.0,0.001953125,1.4144510000000001,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
10.0,0.000976625,1.032305,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
10.0,0.0,1.0744989999999999,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
5.0,0.25,0.562982,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
5.0,0.125,1.4144510000000001,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
5.0,0.0625,0.9730709999999999,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
5.0,0.03125,4.414701999999999,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
5.0,0.015625,12.267989,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
5.0,0.0078125,8.590408,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
5.0,0.00390625,10.248234,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
5.0,0.001953125,17.888706,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
5.0,0.000976625,25.335854,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
5.0,0.0,24.321189999999998,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
2.5,0.25,-0.515208,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
2.5,0.125,0.029617,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
2.5,0.0625,2.217975,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
2.5,0.03125,8.033779,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
2.5,0.015625,25.582361,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
2.5,0.0078125,30.158585,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
2.5,0.00390625,52.80181999999999,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
2.5,0.001953125,42.185646000000006,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
2.5,0.000976625,53.26333,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
2.5,0.0,52.820873,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
1.25,0.25,0.7308979999999999,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
1.25,0.125,2.550029,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
1.25,0.0625,10.319787,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
1.25,0.03125,41.318466,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
1.25,0.015625,67.53129,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
1.25,0.0078125,75.381355,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
1.25,0.00390625,76.452545,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
1.25,0.001953125,89.027824,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
1.25,0.000976625,81.57191999999999,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
1.25,0.0,86.27764,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.625,0.25,-0.692267,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.625,0.125,1.499224,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.625,0.0625,14.036342000000001,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.625,0.03125,52.654804000000006,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.625,0.015625,63.19710500000001,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.625,0.0078125,73.98866,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.625,0.00390625,86.54523,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.625,0.001953125,94.56316,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.625,0.000976625,102.022675,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.625,0.0,98.11477,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.3125,0.25,0.7317130000000001,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.3125,0.125,2.7776509999999996,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.3125,0.0625,19.589584,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.3125,0.03125,64.969925,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.3125,0.015625,86.60845,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.3125,0.0078125,97.42177,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.3125,0.00390625,98.59396,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.3125,0.001953125,97.71824000000001,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.3125,0.000976625,101.34165,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.3125,0.0,103.00416,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.15625,0.25,0.614275,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.15625,0.125,3.3827839999999996,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.15625,0.0625,20.121275,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.15625,0.03125,71.36927,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.15625,0.015625,89.66686,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.15625,0.0078125,97.68687,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.15625,0.00390625,95.33905,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.15625,0.001953125,100.39609499999999,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.15625,0.000976625,102.97179399999999,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.15625,0.0,103.83258000000001,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.078125,0.25,0.9155540000000001,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.078125,0.125,2.4865459999999997,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.078125,0.0625,27.561726,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.078125,0.03125,74.531044,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.078125,0.015625,87.01086,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.078125,0.0078125,99.933685,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.078125,0.00390625,102.303604,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.078125,0.001953125,100.63256,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.078125,0.000976625,107.94523000000001,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.078125,0.0,109.40813999999999,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.0390625,0.25,0.576889,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.0390625,0.125,3.494685,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.0390625,0.0625,18.974365,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.0390625,0.03125,64.60469,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.0390625,0.015625,81.03268,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.0390625,0.0078125,92.07001,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.0390625,0.00390625,93.12021999999999,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.0390625,0.001953125,95.8995,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.0390625,0.000976625,107.05148,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.0390625,0.0,113.12087,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.0,0.25,1.021188,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.0,0.125,3.692304,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.0,0.0625,26.9975,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.0,0.03125,73.58832,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.0,0.015625,95.64921,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.0,0.0078125,97.36799,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.0,0.00390625,101.96829,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.0,0.001953125,102.80834,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.0,0.000976625,101.8054,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
0.0,0.0,101.90146,1.0,Propafenonehydrochloride,Mefloquine,uM,uM,109,plasmodium_falciparum_Dd2
