drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
0.17500000000000002,0.01,296.60077,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.17500000000000002,0.005,232.5387,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.17500000000000002,0.0025,83.949814,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.17500000000000002,0.00125,256.98856,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.17500000000000002,0.000625,86.97780999999999,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.17500000000000002,0.0003125,74.38501,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.17500000000000002,0.00015625,78.33214,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.17500000000000002,7.8125e-05,59.620716,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.17500000000000002,3.9125e-05,32.970303,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.17500000000000002,0.0,76.634766,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.08750000000000001,0.01,356.17004,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.08750000000000001,0.005,214.15825,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.08750000000000001,0.0025,138.92119,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.08750000000000001,0.00125,234.53574,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.08750000000000001,0.000625,120.69058000000001,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.08750000000000001,0.0003125,170.36855,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.08750000000000001,0.00015625,95.717415,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.08750000000000001,7.8125e-05,43.43188,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.08750000000000001,3.9125e-05,76.5386,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.08750000000000001,0.0,35.152966,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.043750000000000004,0.01,247.47742000000002,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.043750000000000004,0.005,203.19572,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.043750000000000004,0.0025,103.75928,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.043750000000000004,0.00125,168.1255,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.043750000000000004,0.000625,220.67717000000002,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.043750000000000004,0.0003125,79.67171,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.043750000000000004,0.00015625,64.6234,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.043750000000000004,7.8125e-05,37.758297,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.043750000000000004,3.9125e-05,58.94534300000001,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.043750000000000004,0.0,12.782897,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.021875000000000002,0.01,353.8219,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.021875000000000002,0.005,152.85803,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.021875000000000002,0.0025,155.41641,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.021875000000000002,0.00125,216.94247000000001,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.021875000000000002,0.000625,109.90026,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.021875000000000002,0.0003125,29.662762,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.021875000000000002,0.00015625,43.14563,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.021875000000000002,7.8125e-05,12.67108,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.021875000000000002,3.9125e-05,48.027553999999995,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.021875000000000002,0.0,30.145809999999997,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.010937500000000001,0.01,262.3714,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.010937500000000001,0.005,159.10635,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.010937500000000001,0.0025,80.7116,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.010937500000000001,0.00125,169.805,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.010937500000000001,0.000625,93.01145,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.010937500000000001,0.0003125,92.51275,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.010937500000000001,0.00015625,71.77744,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.010937500000000001,7.8125e-05,41.46614,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.010937500000000001,3.9125e-05,15.522407999999999,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.010937500000000001,0.0,39.109043,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
0.0054687500000000005,0.01,254.4257,1.0,Pyronaridine,Gramicidin,uM,uM,65,plasmodium_falciparum_3D7
