drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
7.5,0.05,-0.765576,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
7.5,0.025,-0.41016099999999994,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
7.5,0.0125,-0.8698379999999999,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
7.5,0.00625,-0.580066,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
7.5,0.003125,-0.511938,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
7.5,0.0015625,-0.325819,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
7.5,0.00078125,-0.039577999999999995,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
7.5,0.000390625,0.116467,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
7.5,0.000195375,0.26518800000000003,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
7.5,0.0,0.319629,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
3.75,0.05,-0.27748,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
3.75,0.025,-0.088875,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
3.75,0.0125,0.23820700000000003,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
3.75,0.00625,6.3192260000000005,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
3.75,0.003125,1.142305,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
3.75,0.0015625,2.8097119999999998,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
3.75,0.00078125,7.155326,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
3.75,0.000390625,4.007722,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
3.75,0.000195375,5.85567,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
3.75,0.0,10.161227,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
1.875,0.05,-0.50941,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
1.875,0.025,0.233979,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
1.875,0.0125,1.289544,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
1.875,0.00625,51.02926,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
1.875,0.003125,54.722409999999996,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
1.875,0.0015625,61.360783,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
1.875,0.00078125,58.78195600000001,1.0,Reserpine,Artemether,uM,uM,135,plasmodium_falciparum_Dd2
