drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
7.5,0.25,98.101524,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
7.5,0.125,130.68091,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
7.5,0.0625,41.779365999999996,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
7.5,0.03125,78.97272,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
7.5,0.015625,81.54415,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
7.5,0.0078125,145.52687,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
7.5,0.00390625,164.35252,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
7.5,0.001953125,87.64163,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
7.5,0.000976625,62.497043999999995,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
7.5,0.0,138.73062,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
3.75,0.25,24.639333999999998,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
3.75,0.125,75.31981999999999,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
3.75,0.0625,80.61534,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
3.75,0.03125,44.084194000000004,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
3.75,0.015625,75.31121999999999,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
3.75,0.0078125,91.08168,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
3.75,0.00390625,58.904346,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
3.75,0.001953125,66.74765,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
3.75,0.000976625,77.441895,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
3.75,0.0,94.506676,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
1.875,0.25,15.596310999999998,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
1.875,0.125,58.962394999999994,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
1.875,0.0625,179.81767,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
1.875,0.03125,77.8762,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
1.875,0.015625,75963.37,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
1.875,0.0078125,64.507324,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
1.875,0.00390625,56.902668000000006,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
1.875,0.001953125,69.01593000000001,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
1.875,0.000976625,60.037409999999994,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
1.875,0.0,49.205563,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.9375,0.25,45.378513,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.9375,0.125,65.21898,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.9375,0.0625,79.10387,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.9375,0.03125,88.508095,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.9375,0.015625,122.32805,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.9375,0.0078125,92.00189,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.9375,0.00390625,89.295006,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.9375,0.001953125,87.84804,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.9375,0.000976625,158.47433,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.9375,0.0,135.21318,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.46875,0.25,39.36703,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.46875,0.125,70.1189,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.46875,0.0625,90.47537,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.46875,0.03125,105.018166,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.46875,0.015625,207.60251,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.46875,0.0078125,139.96043,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.46875,0.00390625,106.31464,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.46875,0.001953125,150.37733,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.46875,0.000976625,155.0945,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.46875,0.0,152.79611,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.234375,0.25,49.061512,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.234375,0.125,43.437034999999995,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.234375,0.0625,50.803036,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.234375,0.03125,109.344025,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.234375,0.015625,139.73468,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.234375,0.0078125,172.08831999999998,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.234375,0.00390625,125.02848999999999,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.234375,0.001953125,176.83128,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.234375,0.000976625,145.49031000000002,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
0.234375,0.0,195.19898999999998,1.0,Reserpine,Mefloquine,uM,uM,140,plasmodium_falciparum_3D7
