drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
7.5,0.075,0.087611,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
7.5,0.0375,-0.516907,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
7.5,0.01875,-0.10517699999999999,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
7.5,0.009375,-0.351274,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
7.5,0.0046875,-0.513333,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
7.5,0.00234375,0.264403,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
7.5,0.001171875,0.23376100000000002,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
7.5,0.000586,0.15421400000000002,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
7.5,0.000293,-0.38100100000000003,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
7.5,0.0,-0.431388,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
3.75,0.075,2.175771,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
3.75,0.0375,2.652404,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
3.75,0.01875,3.2935800000000004,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
3.75,0.009375,10.228875,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
3.75,0.0046875,8.053104,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
3.75,0.00234375,33.256344,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
3.75,0.001171875,12.277457,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
3.75,0.000586,7.049103,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
3.75,0.000293,24.227613,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
3.75,0.0,4.035531,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
1.875,0.075,2.49309,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
1.875,0.0375,2.789662,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
1.875,0.01875,30.475006,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
1.875,0.009375,57.78445,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
1.875,0.0046875,75.04587,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
1.875,0.00234375,77.9897,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
1.875,0.001171875,62.887269999999994,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
1.875,0.000586,77.38309,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
1.875,0.000293,64.79925,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
1.875,0.0,78.927925,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.9375,0.075,2.8932700000000002,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.9375,0.0375,8.221789,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.9375,0.01875,50.081356,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.9375,0.009375,92.46838000000001,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.9375,0.0046875,93.74293,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.9375,0.00234375,95.42564,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.9375,0.001171875,88.3455,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.9375,0.000586,92.749214,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.9375,0.000293,93.03005,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.9375,0.0,93.15706999999999,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.46875,0.075,2.674415,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.46875,0.0375,6.3682620000000005,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.46875,0.01875,63.655113,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.46875,0.009375,91.26968000000001,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.46875,0.0046875,99.222435,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.46875,0.00234375,102.52835,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.46875,0.001171875,102.4339,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.46875,0.000586,98.6534,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.46875,0.000293,102.082146,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.46875,0.0,103.56443,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.234375,0.075,2.48337,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.234375,0.0375,6.226863,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.234375,0.01875,57.914864,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.234375,0.009375,96.08128,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.234375,0.0046875,98.16320999999999,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.234375,0.00234375,101.3,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.234375,0.001171875,100.83700999999999,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.234375,0.000586,102.98170999999999,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.234375,0.000293,104.40616,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.234375,0.0,103.52176,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.1171875,0.075,1.8402759999999998,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.1171875,0.0375,5.811254,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.1171875,0.01875,53.767708,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.1171875,0.009375,101.60634,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.1171875,0.0046875,105.19976000000001,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.1171875,0.00234375,104.33803,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.1171875,0.001171875,101.51925,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.1171875,0.000586,105.41978999999999,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.1171875,0.000293,103.90503000000001,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
0.1171875,0.0,109.340775,1.0,Reserpine,Methyleneblue,uM,uM,139,plasmodium_falciparum_Dd2
