drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
0.75,0.05,13.354719000000001,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.75,0.025,36.07969,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.75,0.0125,49.83328,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.75,0.00625,55.322469999999996,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.75,0.003125,55.858517000000006,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.75,0.0015625,70.49215,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.75,0.00078125,54.832855,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.75,0.000390625,53.410435,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.75,0.000195375,55.124092000000005,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.75,0.0,54.127975,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.375,0.05,60.199645999999994,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.375,0.025,63.75359,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.375,0.0125,66.022285,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.375,0.00625,61.944959999999995,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.375,0.003125,97.75663,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.375,0.0015625,32.37169,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.375,0.00078125,57.369576,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.375,0.000390625,70.97965,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.375,0.000195375,81.147644,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.375,0.0,93.28043000000001,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.1875,0.05,28.144522,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.1875,0.025,23.412966,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.1875,0.0125,58.194748,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.1875,0.00625,40.631859999999996,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.1875,0.003125,49.145283,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.1875,0.0015625,66.90444000000001,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.1875,0.00078125,47.104507,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.1875,0.000390625,30.603157,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.1875,0.000195375,46.65077,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.1875,0.0,71.29621999999999,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.09375,0.05,19.278660000000002,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.09375,0.025,33.747679999999995,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.09375,0.0125,19.812595,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.09375,0.00625,69.392624,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.09375,0.003125,65.541115,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.09375,0.0015625,107.59961000000001,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.09375,0.00078125,102.25392,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.09375,0.000390625,110.96783400000001,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.09375,0.000195375,49.86071,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.09375,0.0,101.686226,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.046875,0.05,34.20142,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.046875,0.025,33.04913,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.046875,0.0125,77.42698,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.046875,0.00625,117.91111000000001,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.046875,0.003125,80.40899999999999,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.046875,0.0015625,173.89836,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.046875,0.00078125,96.34264,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.046875,0.000390625,101.2958,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.046875,0.000195375,93.94943,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.046875,0.0,145.00043,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.0234375,0.05,58.323485999999995,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.0234375,0.025,41.85168,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.0234375,0.0125,115.4989,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.0234375,0.00625,131.18141,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.0234375,0.003125,90.39126999999999,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.0234375,0.0015625,185.69981,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.0234375,0.00078125,166.58998,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.0234375,0.000390625,141.9994,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.0234375,0.000195375,133.0449,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.0234375,0.0,118.29942,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.01171875,0.05,36.19154,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.01171875,0.025,65.58754,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.01171875,0.0125,87.67305999999999,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.01171875,0.00625,145.8889,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.01171875,0.003125,138.9604,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.01171875,0.0015625,132.80855,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.01171875,0.00078125,160.59007,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.01171875,0.000390625,186.59251,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.01171875,0.000195375,160.62595,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.01171875,0.0,173.06686000000002,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.005859375,0.05,53.916934999999995,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.005859375,0.025,28.361895,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.005859375,0.0125,128.77342,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.005859375,0.00625,133.59573,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.005859375,0.003125,140.44403,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
0.005859375,0.0015625,140.68674,1.0,Tafenoquine,Lumefantrine,uM,uM,146,plasmodium_falciparum_3D7
