drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
0.5,0.25,0.00978,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.5,0.125,-0.080101,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.5,0.0625,-0.27981300000000003,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.5,0.03125,0.036351,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.5,0.015625,0.52505,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.5,0.0078125,0.328194,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.5,0.00390625,0.148821,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.5,0.001953125,0.5673729999999999,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.5,0.000976625,0.276351,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.5,0.0,0.224811,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.25,0.25,0.9701719999999999,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.25,0.125,0.896389,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.25,0.0625,0.744798,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.25,0.03125,1.4341190000000001,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.25,0.015625,2.4395599999999997,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.25,0.0078125,3.4508419999999997,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.25,0.00390625,3.461878,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.25,0.001953125,3.8236529999999997,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.25,0.000976625,4.036001000000001,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.25,0.0,5.058535,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.125,0.25,1.5629469999999999,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.125,0.125,1.8336290000000002,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.125,0.0625,0.991117,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.125,0.03125,1.836442,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.125,0.015625,3.5778529999999997,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.125,0.0078125,4.703814,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.125,0.00390625,7.345682000000001,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.125,0.001953125,6.554147,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.125,0.000976625,8.872797,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.125,0.0,10.623339999999999,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
0.0625,0.25,2.23552,1.0,TrichostatinA,Decoquinate,uM,uM,27,plasmodium_falciparum_Dd2
