drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
0.75,0.01,2.453818,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_Dd2
0.75,0.005,6.312433,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_Dd2
0.75,0.0025,15.551954,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_Dd2
0.75,0.00125,18.485277,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_Dd2
0.75,0.000625,20.637676000000003,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_Dd2
0.75,0.0003125,29.646071999999997,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_Dd2
0.75,0.00015625,28.105691999999998,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_Dd2
0.75,7.8125e-05,31.770544,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_Dd2
0.75,3.9125e-05,21.111473,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_Dd2
0.75,0.0,41.96618,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_Dd2
0.375,0.01,7.604872,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_Dd2
0.375,0.005,19.359507,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_Dd2
0.375,0.0025,32.116795,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_Dd2
0.375,0.00125,48.405636,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_Dd2
0.375,0.000625,95.440636,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_Dd2
0.375,0.0003125,104.38558,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_Dd2
0.375,0.00015625,102.39235,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_Dd2
0.375,7.8125e-05,99.71298,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_Dd2
0.375,3.9125e-05,102.659386,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_Dd2
