drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
0.75,0.01,-2.720432,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.75,0.005,-2.3376189999999997,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.75,0.0025,-3.4726589999999997,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.75,0.00125,-0.552071,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.75,0.000625,4.044691,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.75,0.0003125,1.523048,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.75,0.00015625,-1.218985,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.75,7.8125e-05,5.877269999999999,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.75,3.9125e-05,-2.080041,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.75,0.0,6.13895,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.375,0.01,-1.167306,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.375,0.005,-1.591954,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.375,0.0025,10.73954,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.375,0.00125,6.652466,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.375,0.000625,9.935633000000001,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.375,0.0003125,62.962315000000004,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.375,0.00015625,50.566837,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.375,7.8125e-05,51.944140000000004,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.375,3.9125e-05,13.948878,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.375,0.0,45.5066,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.1875,0.01,-2.202814,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.1875,0.005,-3.019846,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.1875,0.0025,3.259378,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.1875,0.00125,3.3925419999999997,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.1875,0.000625,2.245197,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.1875,0.0003125,82.19428,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.1875,0.00015625,88.51288000000001,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.1875,7.8125e-05,94.815895,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
0.1875,3.9125e-05,84.926476,1.0,ZSTK474,NVPBGT226,uM,uM,7,plasmodium_falciparum_HB3
