drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
1.0,0.17500000000000002,4.440491000000001,1.0,cycloheximide,INK128,uM,uM,47,plasmodium_falciparum_HB3
1.0,0.08750000000000001,11.136595,1.0,cycloheximide,INK128,uM,uM,47,plasmodium_falciparum_HB3
1.0,0.043750000000000004,5.288378,1.0,cycloheximide,INK128,uM,uM,47,plasmodium_falciparum_HB3
1.0,0.021875000000000002,8.834631,1.0,cycloheximide,INK128,uM,uM,47,plasmodium_falciparum_HB3
1.0,0.010937500000000001,8.447258,1.0,cycloheximide,INK128,uM,uM,47,plasmodium_falciparum_HB3
1.0,0.0054687500000000005,10.223695,1.0,cycloheximide,INK128,uM,uM,47,plasmodium_falciparum_HB3
1.0,0.0027343750000000003,17.813736,1.0,cycloheximide,INK128,uM,uM,47,plasmodium_falciparum_HB3
1.0,0.0013672500000000002,42.480990000000006,1.0,cycloheximide,INK128,uM,uM,47,plasmodium_falciparum_HB3
1.0,0.0006836250000000001,15.987635000000001,1.0,cycloheximide,INK128,uM,uM,47,plasmodium_falciparum_HB3
1.0,0.0,7.5289399999999995,1.0,cycloheximide,INK128,uM,uM,47,plasmodium_falciparum_HB3
0.5,0.17500000000000002,49.244217,1.0,cycloheximide,INK128,uM,uM,47,plasmodium_falciparum_HB3
0.5,0.08750000000000001,54.950669999999995,1.0,cycloheximide,INK128,uM,uM,47,plasmodium_falciparum_HB3
0.5,0.043750000000000004,41.926871999999996,1.0,cycloheximide,INK128,uM,uM,47,plasmodium_falciparum_HB3
0.5,0.021875000000000002,52.1605,1.0,cycloheximide,INK128,uM,uM,47,plasmodium_falciparum_HB3
0.5,0.010937500000000001,56.371338,1.0,cycloheximide,INK128,uM,uM,47,plasmodium_falciparum_HB3
0.5,0.0054687500000000005,56.327994999999994,1.0,cycloheximide,INK128,uM,uM,47,plasmodium_falciparum_HB3
0.5,0.0027343750000000003,50.229355,1.0,cycloheximide,INK128,uM,uM,47,plasmodium_falciparum_HB3
0.5,0.0013672500000000002,42.484905,1.0,cycloheximide,INK128,uM,uM,47,plasmodium_falciparum_HB3
