drug1.conc,drug2.conc,effect,effect.95ci,drug1,drug2,drug1.units,drug2.units,expt.date,sample
1.0,0.075,3.794325,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
1.0,0.0375,4.418623,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
1.0,0.01875,2.975791,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
1.0,0.009375,3.57745,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
1.0,0.0046875,3.405854,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
1.0,0.00234375,5.406866,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
1.0,0.001171875,5.424188,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
1.0,0.000586,5.517233,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
1.0,0.000293,9.654835,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
1.0,0.0,4.861891,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.5,0.075,3.666978,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.5,0.0375,4.787713,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.5,0.01875,15.722187,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.5,0.009375,40.538887,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.5,0.0046875,38.80157,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.5,0.00234375,37.787003000000006,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.5,0.001171875,27.109106,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.5,0.000586,37.680664,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.5,0.000293,32.246871999999996,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.5,0.0,41.204174,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.25,0.075,2.7481970000000002,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.25,0.0375,3.079041,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.25,0.01875,16.668325,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.25,0.009375,56.510277,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.25,0.0046875,59.458969999999994,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.25,0.00234375,66.00904,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.25,0.001171875,54.752552,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.25,0.000586,60.878563,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.25,0.000293,61.794940000000004,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.25,0.0,64.31708499999999,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.125,0.075,2.035142,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.125,0.0375,3.743986,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.125,0.01875,26.932021999999996,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.125,0.009375,70.57755999999999,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.125,0.0046875,64.56338000000001,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.125,0.00234375,66.43421,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.125,0.001171875,66.92319,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.125,0.000586,86.57768,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.125,0.000293,85.76429,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.125,0.0,37.532565999999996,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.0625,0.075,2.0191060000000003,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.0625,0.0375,2.791246,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.0625,0.01875,35.909046000000004,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.0625,0.009375,92.308014,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.0625,0.0046875,85.31107,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.0625,0.00234375,83.38595600000001,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.0625,0.001171875,91.99269,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.0625,0.000586,85.75417,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.0625,0.000293,85.86343000000001,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
0.0625,0.0,6.273936,1.0,cycloheximide,Methyleneblue,uM,uM,56,plasmodium_falciparum_Dd2
