ConcRow,ConcCol,ConcRowUnit,ConcColUnit,DrugRow,DrugCol,Response,BlockID,Row,Col
0.0,0.0,uM,uM,amodiaquine,artenimol,118.595634,1,1,1
0.000976625,0.0,uM,uM,amodiaquine,artenimol,99.59531,1,2,1
0.001953125,0.0,uM,uM,amodiaquine,artenimol,113.5548,1,3,1
0.00390625,0.0,uM,uM,amodiaquine,artenimol,96.39995,1,4,1
0.0078125,0.0,uM,uM,amodiaquine,artenimol,97.05408,1,5,1
0.015625,0.0,uM,uM,amodiaquine,artenimol,121.885155,1,6,1
0.03125,0.0,uM,uM,amodiaquine,artenimol,103.44803,1,7,1
0.0625,0.0,uM,uM,amodiaquine,artenimol,94.2032,1,8,1
0.125,0.0,uM,uM,amodiaquine,artenimol,45.926918,1,9,1
0.25,0.0,uM,uM,amodiaquine,artenimol,10.051864,1,10,1
0.0,9.7625e-05,uM,uM,amodiaquine,artenimol,125.62542,1,1,2
0.000976625,9.7625e-05,uM,uM,amodiaquine,artenimol,107.68509,1,2,2
0.001953125,9.7625e-05,uM,uM,amodiaquine,artenimol,100.4106,1,3,2
0.00390625,9.7625e-05,uM,uM,amodiaquine,artenimol,104.85606,1,4,2
0.0078125,9.7625e-05,uM,uM,amodiaquine,artenimol,102.00016,1,5,2
0.015625,9.7625e-05,uM,uM,amodiaquine,artenimol,103.52625,1,6,2
0.03125,9.7625e-05,uM,uM,amodiaquine,artenimol,109.34047,1,7,2
0.0625,9.7625e-05,uM,uM,amodiaquine,artenimol,111.89971,1,8,2
0.125,9.7625e-05,uM,uM,amodiaquine,artenimol,41.584778,1,9,2
0.25,9.7625e-05,uM,uM,amodiaquine,artenimol,11.508886,1,10,2
0.0,0.000195375,uM,uM,amodiaquine,artenimol,93.632904,1,1,3
0.000976625,0.000195375,uM,uM,amodiaquine,artenimol,121.193245,1,2,3
0.001953125,0.000195375,uM,uM,amodiaquine,artenimol,100.68217,1,3,3
0.00390625,0.000195375,uM,uM,amodiaquine,artenimol,118.97199,1,4,3
0.0078125,0.000195375,uM,uM,amodiaquine,artenimol,96.22431,1,5,3
0.015625,0.000195375,uM,uM,amodiaquine,artenimol,120.442894,1,6,3
0.03125,0.000195375,uM,uM,amodiaquine,artenimol,112.22146,1,7,3
0.0625,0.000195375,uM,uM,amodiaquine,artenimol,104.97265,1,8,3
0.125,0.000195375,uM,uM,amodiaquine,artenimol,34.66746,1,9,3
0.25,0.000195375,uM,uM,amodiaquine,artenimol,4.700197,1,10,3
0.0,0.000390625,uM,uM,amodiaquine,artenimol,99.65965,1,1,4
0.000976625,0.000390625,uM,uM,amodiaquine,artenimol,122.86073,1,2,4
0.001953125,0.000390625,uM,uM,amodiaquine,artenimol,114.86896000000002,1,3,4
0.00390625,0.000390625,uM,uM,amodiaquine,artenimol,122.46313,1,4,4
0.0078125,0.000390625,uM,uM,amodiaquine,artenimol,95.9861,1,5,4
0.015625,0.000390625,uM,uM,amodiaquine,artenimol,116.341324,1,6,4
0.03125,0.000390625,uM,uM,amodiaquine,artenimol,118.51594,1,7,4
0.0625,0.000390625,uM,uM,amodiaquine,artenimol,105.62117,1,8,4
0.125,0.000390625,uM,uM,amodiaquine,artenimol,42.958263,1,9,4
0.25,0.000390625,uM,uM,amodiaquine,artenimol,5.4818419999999985,1,10,4
0.0,0.00078125,uM,uM,amodiaquine,artenimol,95.238106,1,1,5
0.000976625,0.00078125,uM,uM,amodiaquine,artenimol,98.80126,1,2,5
0.001953125,0.00078125,uM,uM,amodiaquine,artenimol,87.748726,1,3,5
