ConcRow,ConcCol,ConcRowUnit,ConcColUnit,DrugRow,DrugCol,Response,BlockID,Row,Col
0.0,0.0,uM,uM,azelnidipine,artesunate,107.59195,1,1,1
0.019531299999999998,0.0,uM,uM,azelnidipine,artesunate,112.25446,1,2,1
0.0390625,0.0,uM,uM,azelnidipine,artesunate,76.79469,1,3,1
0.078125,0.0,uM,uM,azelnidipine,artesunate,78.37858,1,4,1
0.15625,0.0,uM,uM,azelnidipine,artesunate,91.0646,1,5,1
0.3125,0.0,uM,uM,azelnidipine,artesunate,93.95832,1,6,1
0.625,0.0,uM,uM,azelnidipine,artesunate,73.71585999999998,1,7,1
1.25,0.0,uM,uM,azelnidipine,artesunate,48.240936,1,8,1
2.5,0.0,uM,uM,azelnidipine,artesunate,37.855972,1,9,1
5.0,0.0,uM,uM,azelnidipine,artesunate,8.8186,1,10,1
0.0,9.77e-05,uM,uM,azelnidipine,artesunate,90.75198,1,1,2
0.019531299999999998,9.77e-05,uM,uM,azelnidipine,artesunate,87.61314399999998,1,2,2
0.0390625,9.77e-05,uM,uM,azelnidipine,artesunate,77.64109,1,3,2
0.078125,9.77e-05,uM,uM,azelnidipine,artesunate,87.7518,1,4,2
0.15625,9.77e-05,uM,uM,azelnidipine,artesunate,104.71376,1,5,2
0.3125,9.77e-05,uM,uM,azelnidipine,artesunate,99.21758,1,6,2
0.625,9.77e-05,uM,uM,azelnidipine,artesunate,78.88271999999998,1,7,2
1.25,9.77e-05,uM,uM,azelnidipine,artesunate,80.83851,1,8,2
2.5,9.77e-05,uM,uM,azelnidipine,artesunate,35.30369,1,9,2
5.0,9.77e-05,uM,uM,azelnidipine,artesunate,14.093908,1,10,2
0.0,0.00019530000000000006,uM,uM,azelnidipine,artesunate,90.96099,1,1,3
0.019531299999999998,0.00019530000000000006,uM,uM,azelnidipine,artesunate,88.50019,1,2,3
0.0390625,0.00019530000000000006,uM,uM,azelnidipine,artesunate,88.07104,1,3,3
0.078125,0.00019530000000000006,uM,uM,azelnidipine,artesunate,99.62591,1,4,3
0.15625,0.00019530000000000006,uM,uM,azelnidipine,artesunate,68.65419,1,5,3
0.3125,0.00019530000000000006,uM,uM,azelnidipine,artesunate,104.40074,1,6,3
0.625,0.00019530000000000006,uM,uM,azelnidipine,artesunate,81.253716,1,7,3
1.25,0.00019530000000000006,uM,uM,azelnidipine,artesunate,70.78144,1,8,3
2.5,0.00019530000000000006,uM,uM,azelnidipine,artesunate,52.98434,1,9,3
5.0,0.00019530000000000006,uM,uM,azelnidipine,artesunate,27.181372,1,10,3
0.0,0.0003906000000000001,uM,uM,azelnidipine,artesunate,101.09625,1,1,4
0.019531299999999998,0.0003906000000000001,uM,uM,azelnidipine,artesunate,92.70055,1,2,4
0.0390625,0.0003906000000000001,uM,uM,azelnidipine,artesunate,87.191475,1,3,4
0.078125,0.0003906000000000001,uM,uM,azelnidipine,artesunate,100.52966,1,4,4
0.15625,0.0003906000000000001,uM,uM,azelnidipine,artesunate,92.67258,1,5,4
0.3125,0.0003906000000000001,uM,uM,azelnidipine,artesunate,92.49587,1,6,4
0.625,0.0003906000000000001,uM,uM,azelnidipine,artesunate,87.41413,1,7,4
1.25,0.0003906000000000001,uM,uM,azelnidipine,artesunate,67.44868000000001,1,8,4
2.5,0.0003906000000000001,uM,uM,azelnidipine,artesunate,47.989555,1,9,4
5.0,0.0003906000000000001,uM,uM,azelnidipine,artesunate,24.147413,1,10,4
0.0,0.0007813000000000001,uM,uM,azelnidipine,artesunate,95.99118,1,1,5
