ConcRow,ConcCol,ConcRowUnit,ConcColUnit,DrugRow,DrugCol,Response,BlockID,Row,Col
0.0,0.0,uM,uM,bix01294,artesunate,103.71407,1,1,1
0.001953125,0.0,uM,uM,bix01294,artesunate,104.86483,1,2,1
0.00390625,0.0,uM,uM,bix01294,artesunate,104.216156,1,3,1
0.0078125,0.0,uM,uM,bix01294,artesunate,106.412384,1,4,1
0.015625,0.0,uM,uM,bix01294,artesunate,104.70644,1,5,1
0.03125,0.0,uM,uM,bix01294,artesunate,100.74532,1,6,1
0.0625,0.0,uM,uM,bix01294,artesunate,82.72814,1,7,1
0.125,0.0,uM,uM,bix01294,artesunate,5.223518,1,8,1
0.25,0.0,uM,uM,bix01294,artesunate,2.0365900000000003,1,9,1
0.5,0.0,uM,uM,bix01294,artesunate,1.569789,1,10,1
0.0,0.000195375,uM,uM,bix01294,artesunate,102.34148,1,1,2
0.001953125,0.000195375,uM,uM,bix01294,artesunate,104.33601,1,2,2
0.00390625,0.000195375,uM,uM,bix01294,artesunate,102.08315,1,3,2
0.0078125,0.000195375,uM,uM,bix01294,artesunate,103.06215,1,4,2
0.015625,0.000195375,uM,uM,bix01294,artesunate,103.51568,1,5,2
0.03125,0.000195375,uM,uM,bix01294,artesunate,100.66711,1,6,2
0.0625,0.000195375,uM,uM,bix01294,artesunate,87.00241,1,7,2
0.125,0.000195375,uM,uM,bix01294,artesunate,4.391437000000002,1,8,2
0.25,0.000195375,uM,uM,bix01294,artesunate,1.658777,1,9,2
0.5,0.000195375,uM,uM,bix01294,artesunate,1.478435,1,10,2
0.0,0.000390625,uM,uM,bix01294,artesunate,100.86443,1,1,3
0.001953125,0.000390625,uM,uM,bix01294,artesunate,100.723366,1,2,3
0.00390625,0.000390625,uM,uM,bix01294,artesunate,104.05967,1,3,3
0.0078125,0.000390625,uM,uM,bix01294,artesunate,98.3565,1,4,3
0.015625,0.000390625,uM,uM,bix01294,artesunate,100.82544,1,5,3
0.03125,0.000390625,uM,uM,bix01294,artesunate,100.53072,1,6,3
0.0625,0.000390625,uM,uM,bix01294,artesunate,86.56931,1,7,3
0.125,0.000390625,uM,uM,bix01294,artesunate,4.221121,1,8,3
0.25,0.000390625,uM,uM,bix01294,artesunate,2.152594,1,9,3
0.5,0.000390625,uM,uM,bix01294,artesunate,1.455317,1,10,3
0.0,0.00078125,uM,uM,bix01294,artesunate,105.02549,1,1,4
0.001953125,0.00078125,uM,uM,bix01294,artesunate,102.69492,1,2,4
