ConcRow,ConcCol,ConcRowUnit,ConcColUnit,DrugRow,DrugCol,Response,BlockID,Row,Col
0.0,0.0,uM,uM,bix01294,chloroquine,123.932465,1,1,1
0.001953125,0.0,uM,uM,bix01294,chloroquine,188.97835,1,2,1
0.00390625,0.0,uM,uM,bix01294,chloroquine,111.10486000000002,1,3,1
0.0078125,0.0,uM,uM,bix01294,chloroquine,70.68396,1,4,1
0.015625,0.0,uM,uM,bix01294,chloroquine,93.36352,1,5,1
0.03125,0.0,uM,uM,bix01294,chloroquine,15.152331,1,6,1
0.0625,0.0,uM,uM,bix01294,chloroquine,46.957054,1,7,1
0.125,0.0,uM,uM,bix01294,chloroquine,36.7723,1,8,1
0.25,0.0,uM,uM,bix01294,chloroquine,71.49149,1,9,1
0.5,0.0,uM,uM,bix01294,chloroquine,14.861128,1,10,1
0.0,0.001953125,uM,uM,bix01294,chloroquine,156.5594,1,1,2
0.001953125,0.001953125,uM,uM,bix01294,chloroquine,149.4849,1,2,2
0.00390625,0.001953125,uM,uM,bix01294,chloroquine,158.56111,1,3,2
0.0078125,0.001953125,uM,uM,bix01294,chloroquine,123.61679,1,4,2
0.015625,0.001953125,uM,uM,bix01294,chloroquine,98.30417,1,5,2
0.03125,0.001953125,uM,uM,bix01294,chloroquine,0.019577,1,6,2
0.0625,0.001953125,uM,uM,bix01294,chloroquine,67.36816400000001,1,7,2
0.125,0.001953125,uM,uM,bix01294,chloroquine,31.457237,1,8,2
0.25,0.001953125,uM,uM,bix01294,chloroquine,64.9896,1,9,2
0.5,0.001953125,uM,uM,bix01294,chloroquine,6.313471,1,10,2
0.0,0.00390625,uM,uM,bix01294,chloroquine,128.22954,1,1,3
0.001953125,0.00390625,uM,uM,bix01294,chloroquine,136.95094,1,2,3
0.00390625,0.00390625,uM,uM,bix01294,chloroquine,119.2414,1,3,3
0.0078125,0.00390625,uM,uM,bix01294,chloroquine,178.14021,1,4,3
0.015625,0.00390625,uM,uM,bix01294,chloroquine,102.37367,1,5,3
0.03125,0.00390625,uM,uM,bix01294,chloroquine,0.672948,1,6,3
0.0625,0.00390625,uM,uM,bix01294,chloroquine,87.12101,1,7,3
0.125,0.00390625,uM,uM,bix01294,chloroquine,85.302826,1,8,3
