ConcRow,ConcCol,ConcRowUnit,ConcColUnit,DrugRow,DrugCol,Response,BlockID,Row,Col
0.0,0.0,uM,uM,decoquinate,nitd609,124.92885,1,1,1
0.000976625,0.0,uM,uM,decoquinate,nitd609,85.36236,1,2,1
0.001953125,0.0,uM,uM,decoquinate,nitd609,120.78239,1,3,1
0.00390625,0.0,uM,uM,decoquinate,nitd609,40.60335,1,4,1
0.0078125,0.0,uM,uM,decoquinate,nitd609,51.21519,1,5,1
0.015625,0.0,uM,uM,decoquinate,nitd609,12.597054,1,6,1
0.03125,0.0,uM,uM,decoquinate,nitd609,24.405584,1,7,1
0.0625,0.0,uM,uM,decoquinate,nitd609,17.348032,1,8,1
0.125,0.0,uM,uM,decoquinate,nitd609,29.798311,1,9,1
0.25,0.0,uM,uM,decoquinate,nitd609,25.324442,1,10,1
0.0,3.9125e-05,uM,uM,decoquinate,nitd609,155.05069,1,1,2
0.000976625,3.9125e-05,uM,uM,decoquinate,nitd609,112.05033,1,2,2
0.001953125,3.9125e-05,uM,uM,decoquinate,nitd609,93.57743,1,3,2
0.00390625,3.9125e-05,uM,uM,decoquinate,nitd609,56.64321999999999,1,4,2
0.0078125,3.9125e-05,uM,uM,decoquinate,nitd609,40.771404,1,5,2
0.015625,3.9125e-05,uM,uM,decoquinate,nitd609,7.462333,1,6,2
0.03125,3.9125e-05,uM,uM,decoquinate,nitd609,29.138668,1,7,2
0.0625,3.9125e-05,uM,uM,decoquinate,nitd609,11.452109,1,8,2
0.125,3.9125e-05,uM,uM,decoquinate,nitd609,19.66718,1,9,2
0.25,3.9125e-05,uM,uM,decoquinate,nitd609,11.749771,1,10,2
0.0,7.8125e-05,uM,uM,decoquinate,nitd609,118.490074,1,1,3
0.000976625,7.8125e-05,uM,uM,decoquinate,nitd609,94.485886,1,2,3
0.001953125,7.8125e-05,uM,uM,decoquinate,nitd609,128.63087,1,3,3
0.00390625,7.8125e-05,uM,uM,decoquinate,nitd609,62.58436,1,4,3
0.0078125,7.8125e-05,uM,uM,decoquinate,nitd609,35.185474,1,5,3
0.015625,7.8125e-05,uM,uM,decoquinate,nitd609,16.284092,1,6,3
0.03125,7.8125e-05,uM,uM,decoquinate,nitd609,19.836203,1,7,3
0.0625,7.8125e-05,uM,uM,decoquinate,nitd609,8.833122999999997,1,8,3
0.125,7.8125e-05,uM,uM,decoquinate,nitd609,36.61623400000001,1,9,3
0.25,7.8125e-05,uM,uM,decoquinate,nitd609,24.563725,1,10,3
0.0,0.00015625,uM,uM,decoquinate,nitd609,132.88036,1,1,4
0.000976625,0.00015625,uM,uM,decoquinate,nitd609,112.36976,1,2,4
0.001953125,0.00015625,uM,uM,decoquinate,nitd609,123.830086,1,3,4
0.00390625,0.00015625,uM,uM,decoquinate,nitd609,84.81756999999998,1,4,4
0.0078125,0.00015625,uM,uM,decoquinate,nitd609,55.99591,1,5,4
0.015625,0.00015625,uM,uM,decoquinate,nitd609,19.09241,1,6,4
0.03125,0.00015625,uM,uM,decoquinate,nitd609,22.783558,1,7,4
0.0625,0.00015625,uM,uM,decoquinate,nitd609,10.7059,1,8,4
0.125,0.00015625,uM,uM,decoquinate,nitd609,15.34057,1,9,4
0.25,0.00015625,uM,uM,decoquinate,nitd609,6.640197,1,10,4
0.0,0.0003125,uM,uM,decoquinate,nitd609,158.76022,1,1,5
0.000976625,0.0003125,uM,uM,decoquinate,nitd609,86.56291999999998,1,2,5
0.001953125,0.0003125,uM,uM,decoquinate,nitd609,113.78455,1,3,5
0.00390625,0.0003125,uM,uM,decoquinate,nitd609,58.00966,1,4,5
0.0078125,0.0003125,uM,uM,decoquinate,nitd609,40.10983,1,5,5
0.015625,0.0003125,uM,uM,decoquinate,nitd609,17.633361999999995,1,6,5
0.03125,0.0003125,uM,uM,decoquinate,nitd609,26.067991,1,7,5
0.0625,0.0003125,uM,uM,decoquinate,nitd609,7.897339,1,8,5
0.125,0.0003125,uM,uM,decoquinate,nitd609,25.29736,1,9,5
0.25,0.0003125,uM,uM,decoquinate,nitd609,17.425167000000002,1,10,5
0.0,0.000625,uM,uM,decoquinate,nitd609,99.33262,1,1,6
0.000976625,0.000625,uM,uM,decoquinate,nitd609,80.372475,1,2,6
