ConcRow,ConcCol,ConcRowUnit,ConcColUnit,DrugRow,DrugCol,Response,BlockID,Row,Col
0.0,0.0,uM,uM,emetine,nvpbgt226,162.07426,1,1,1
0.00292975,0.0,uM,uM,emetine,nvpbgt226,67.585144,1,2,1
0.005859375,0.0,uM,uM,emetine,nvpbgt226,164.61876,1,3,1
0.01171875,0.0,uM,uM,emetine,nvpbgt226,110.45045,1,4,1
0.0234375,0.0,uM,uM,emetine,nvpbgt226,169.40672,1,5,1
0.046875,0.0,uM,uM,emetine,nvpbgt226,98.31466,1,6,1
0.09375,0.0,uM,uM,emetine,nvpbgt226,45.012085,1,7,1
0.1875,0.0,uM,uM,emetine,nvpbgt226,82.89826,1,8,1
0.375,0.0,uM,uM,emetine,nvpbgt226,61.507362,1,9,1
0.75,0.0,uM,uM,emetine,nvpbgt226,15.504285,1,10,1
0.0,3.9125e-05,uM,uM,emetine,nvpbgt226,132.72247,1,1,2
0.00292975,3.9125e-05,uM,uM,emetine,nvpbgt226,76.54361999999998,1,2,2
0.005859375,3.9125e-05,uM,uM,emetine,nvpbgt226,104.07603,1,3,2
0.01171875,3.9125e-05,uM,uM,emetine,nvpbgt226,125.96792,1,4,2
0.0234375,3.9125e-05,uM,uM,emetine,nvpbgt226,223.87607000000003,1,5,2
0.046875,3.9125e-05,uM,uM,emetine,nvpbgt226,153.3531,1,6,2
0.09375,3.9125e-05,uM,uM,emetine,nvpbgt226,88.98704000000002,1,7,2
0.1875,3.9125e-05,uM,uM,emetine,nvpbgt226,8.152054,1,8,2
0.375,3.9125e-05,uM,uM,emetine,nvpbgt226,187.55438,1,9,2
0.75,3.9125e-05,uM,uM,emetine,nvpbgt226,52.05669,1,10,2
0.0,7.8125e-05,uM,uM,emetine,nvpbgt226,165.09338,1,1,3
0.00292975,7.8125e-05,uM,uM,emetine,nvpbgt226,83.21248,1,2,3
0.005859375,7.8125e-05,uM,uM,emetine,nvpbgt226,116.6359,1,3,3
0.01171875,7.8125e-05,uM,uM,emetine,nvpbgt226,50.028564,1,4,3
0.0234375,7.8125e-05,uM,uM,emetine,nvpbgt226,301.66995,1,5,3
0.046875,7.8125e-05,uM,uM,emetine,nvpbgt226,181.53592,1,6,3
