ConcRow,ConcCol,ConcRowUnit,ConcColUnit,DrugRow,DrugCol,Response,BlockID,Row,Col
0.0,0.0,uM,uM,gramicidin,nitd609,104.18166,1,1,1
3.9125e-05,0.0,uM,uM,gramicidin,nitd609,102.14758,1,2,1
7.8125e-05,0.0,uM,uM,gramicidin,nitd609,103.070694,1,3,1
0.00015625,0.0,uM,uM,gramicidin,nitd609,104.73689,1,4,1
0.0003125,0.0,uM,uM,gramicidin,nitd609,9.798732,1,5,1
0.000625,0.0,uM,uM,gramicidin,nitd609,4.259464,1,6,1
0.00125,0.0,uM,uM,gramicidin,nitd609,1.980515,1,7,1
0.0025,0.0,uM,uM,gramicidin,nitd609,-0.443916,1,8,1
0.005,0.0,uM,uM,gramicidin,nitd609,-2.193351,1,9,1
0.01,0.0,uM,uM,gramicidin,nitd609,-0.981925,1,10,1
0.0,3.9125e-05,uM,uM,gramicidin,nitd609,104.435814,1,1,2
3.9125e-05,3.9125e-05,uM,uM,gramicidin,nitd609,103.817635,1,2,2
7.8125e-05,3.9125e-05,uM,uM,gramicidin,nitd609,106.46312,1,3,2
0.00015625,3.9125e-05,uM,uM,gramicidin,nitd609,103.78997,1,4,2
0.0003125,3.9125e-05,uM,uM,gramicidin,nitd609,12.612627,1,5,2
0.000625,3.9125e-05,uM,uM,gramicidin,nitd609,8.34179,1,6,2
0.00125,3.9125e-05,uM,uM,gramicidin,nitd609,3.5737,1,7,2
0.0025,3.9125e-05,uM,uM,gramicidin,nitd609,0.211212,1,8,2
0.005,3.9125e-05,uM,uM,gramicidin,nitd609,-2.022293,1,9,2
0.01,3.9125e-05,uM,uM,gramicidin,nitd609,-1.221917,1,10,2
0.0,7.8125e-05,uM,uM,gramicidin,nitd609,102.39528,1,1,3
3.9125e-05,7.8125e-05,uM,uM,gramicidin,nitd609,103.69402,1,2,3
7.8125e-05,7.8125e-05,uM,uM,gramicidin,nitd609,103.21292,1,3,3
0.00015625,7.8125e-05,uM,uM,gramicidin,nitd609,104.9838,1,4,3
0.0003125,7.8125e-05,uM,uM,gramicidin,nitd609,16.875294,1,5,3
0.000625,7.8125e-05,uM,uM,gramicidin,nitd609,6.9477,1,6,3
0.00125,7.8125e-05,uM,uM,gramicidin,nitd609,3.815966,1,7,3
0.0025,7.8125e-05,uM,uM,gramicidin,nitd609,0.4934,1,8,3
0.005,7.8125e-05,uM,uM,gramicidin,nitd609,-1.68765,1,9,3
0.01,7.8125e-05,uM,uM,gramicidin,nitd609,-0.743883,1,10,3
0.0,0.00015625,uM,uM,gramicidin,nitd609,107.1545,1,1,4
3.9125e-05,0.00015625,uM,uM,gramicidin,nitd609,103.10713,1,2,4
7.8125e-05,0.00015625,uM,uM,gramicidin,nitd609,105.56814,1,3,4
0.00015625,0.00015625,uM,uM,gramicidin,nitd609,101.38569,1,4,4
0.0003125,0.00015625,uM,uM,gramicidin,nitd609,14.969423,1,5,4
0.000625,0.00015625,uM,uM,gramicidin,nitd609,7.812553999999999,1,6,4
0.00125,0.00015625,uM,uM,gramicidin,nitd609,4.414647,1,7,4
0.0025,0.00015625,uM,uM,gramicidin,nitd609,0.920418,1,8,4
0.005,0.00015625,uM,uM,gramicidin,nitd609,-1.678737,1,9,4
0.01,0.00015625,uM,uM,gramicidin,nitd609,-1.104753,1,10,4
0.0,0.0003125,uM,uM,gramicidin,nitd609,110.53463,1,1,5
3.9125e-05,0.0003125,uM,uM,gramicidin,nitd609,104.996155,1,2,5
7.8125e-05,0.0003125,uM,uM,gramicidin,nitd609,106.47162,1,3,5
0.00015625,0.0003125,uM,uM,gramicidin,nitd609,102.78846,1,4,5
0.0003125,0.0003125,uM,uM,gramicidin,nitd609,25.598564,1,5,5
0.000625,0.0003125,uM,uM,gramicidin,nitd609,8.081650999999999,1,6,5
