ConcRow,ConcCol,ConcRowUnit,ConcColUnit,DrugRow,DrugCol,Response,BlockID,Row,Col
0.0,0.0,uM,uM,manidipinedihydrochloride,artesunate,117.98783,1,1,1
0.0390625,0.0,uM,uM,manidipinedihydrochloride,artesunate,120.63186,1,2,1
0.078125,0.0,uM,uM,manidipinedihydrochloride,artesunate,138.66959,1,3,1
0.15625,0.0,uM,uM,manidipinedihydrochloride,artesunate,103.96914,1,4,1
0.3125,0.0,uM,uM,manidipinedihydrochloride,artesunate,123.90871,1,5,1
0.625,0.0,uM,uM,manidipinedihydrochloride,artesunate,156.1334,1,6,1
1.25,0.0,uM,uM,manidipinedihydrochloride,artesunate,174.22807,1,7,1
2.5,0.0,uM,uM,manidipinedihydrochloride,artesunate,145.66554,1,8,1
5.0,0.0,uM,uM,manidipinedihydrochloride,artesunate,127.281105,1,9,1
10.0,0.0,uM,uM,manidipinedihydrochloride,artesunate,64.770744,1,10,1
0.0,0.000195375,uM,uM,manidipinedihydrochloride,artesunate,166.00087,1,1,2
0.0390625,0.000195375,uM,uM,manidipinedihydrochloride,artesunate,150.82872,1,2,2
0.078125,0.000195375,uM,uM,manidipinedihydrochloride,artesunate,161.0708,1,3,2
0.15625,0.000195375,uM,uM,manidipinedihydrochloride,artesunate,103.27149,1,4,2
0.3125,0.000195375,uM,uM,manidipinedihydrochloride,artesunate,114.95256,1,5,2
0.625,0.000195375,uM,uM,manidipinedihydrochloride,artesunate,121.856346,1,6,2
1.25,0.000195375,uM,uM,manidipinedihydrochloride,artesunate,150.67678999999995,1,7,2
2.5,0.000195375,uM,uM,manidipinedihydrochloride,artesunate,96.65494,1,8,2
5.0,0.000195375,uM,uM,manidipinedihydrochloride,artesunate,106.28816,1,9,2
10.0,0.000195375,uM,uM,manidipinedihydrochloride,artesunate,70.80493,1,10,2
0.0,0.000390625,uM,uM,manidipinedihydrochloride,artesunate,156.15143999999995,1,1,3
0.0390625,0.000390625,uM,uM,manidipinedihydrochloride,artesunate,131.01826,1,2,3
0.078125,0.000390625,uM,uM,manidipinedihydrochloride,artesunate,156.26222,1,3,3
0.15625,0.000390625,uM,uM,manidipinedihydrochloride,artesunate,100.03355,1,4,3
0.3125,0.000390625,uM,uM,manidipinedihydrochloride,artesunate,138.43788,1,5,3
0.625,0.000390625,uM,uM,manidipinedihydrochloride,artesunate,120.92642,1,6,3
1.25,0.000390625,uM,uM,manidipinedihydrochloride,artesunate,164.75806,1,7,3
2.5,0.000390625,uM,uM,manidipinedihydrochloride,artesunate,121.85014,1,8,3
5.0,0.000390625,uM,uM,manidipinedihydrochloride,artesunate,113.75485,1,9,3
10.0,0.000390625,uM,uM,manidipinedihydrochloride,artesunate,55.80755600000001,1,10,3
0.0,0.00078125,uM,uM,manidipinedihydrochloride,artesunate,154.85368,1,1,4
0.0390625,0.00078125,uM,uM,manidipinedihydrochloride,artesunate,132.88683999999998,1,2,4
0.078125,0.00078125,uM,uM,manidipinedihydrochloride,artesunate,115.88642,1,3,4
0.15625,0.00078125,uM,uM,manidipinedihydrochloride,artesunate,94.21217,1,4,4
0.3125,0.00078125,uM,uM,manidipinedihydrochloride,artesunate,111.318855,1,5,4
0.625,0.00078125,uM,uM,manidipinedihydrochloride,artesunate,121.472145,1,6,4
1.25,0.00078125,uM,uM,manidipinedihydrochloride,artesunate,139.2666,1,7,4
2.5,0.00078125,uM,uM,manidipinedihydrochloride,artesunate,132.86711,1,8,4
5.0,0.00078125,uM,uM,manidipinedihydrochloride,artesunate,109.06185,1,9,4
10.0,0.00078125,uM,uM,manidipinedihydrochloride,artesunate,49.5645,1,10,4
0.0,0.0015625,uM,uM,manidipinedihydrochloride,artesunate,140.87642,1,1,5
0.0390625,0.0015625,uM,uM,manidipinedihydrochloride,artesunate,158.54404,1,2,5
0.078125,0.0015625,uM,uM,manidipinedihydrochloride,artesunate,119.73802,1,3,5
0.15625,0.0015625,uM,uM,manidipinedihydrochloride,artesunate,109.60447,1,4,5
0.3125,0.0015625,uM,uM,manidipinedihydrochloride,artesunate,110.89209,1,5,5
0.625,0.0015625,uM,uM,manidipinedihydrochloride,artesunate,127.16018,1,6,5
1.25,0.0015625,uM,uM,manidipinedihydrochloride,artesunate,172.57007,1,7,5
2.5,0.0015625,uM,uM,manidipinedihydrochloride,artesunate,108.55785,1,8,5
5.0,0.0015625,uM,uM,manidipinedihydrochloride,artesunate,105.42307,1,9,5
10.0,0.0015625,uM,uM,manidipinedihydrochloride,artesunate,33.718662,1,10,5
0.0,0.003125,uM,uM,manidipinedihydrochloride,artesunate,174.81354,1,1,6
0.0390625,0.003125,uM,uM,manidipinedihydrochloride,artesunate,136.66092,1,2,6
0.078125,0.003125,uM,uM,manidipinedihydrochloride,artesunate,109.81221,1,3,6
0.15625,0.003125,uM,uM,manidipinedihydrochloride,artesunate,80.16755,1,4,6
0.3125,0.003125,uM,uM,manidipinedihydrochloride,artesunate,123.04249,1,5,6
0.625,0.003125,uM,uM,manidipinedihydrochloride,artesunate,87.98801,1,6,6
1.25,0.003125,uM,uM,manidipinedihydrochloride,artesunate,108.99956,1,7,6
2.5,0.003125,uM,uM,manidipinedihydrochloride,artesunate,103.822,1,8,6
5.0,0.003125,uM,uM,manidipinedihydrochloride,artesunate,82.08799,1,9,6
10.0,0.003125,uM,uM,manidipinedihydrochloride,artesunate,40.558743,1,10,6
0.0,0.00625,uM,uM,manidipinedihydrochloride,artesunate,141.64735,1,1,7
0.0390625,0.00625,uM,uM,manidipinedihydrochloride,artesunate,138.40715,1,2,7
0.078125,0.00625,uM,uM,manidipinedihydrochloride,artesunate,152.845,1,3,7
0.15625,0.00625,uM,uM,manidipinedihydrochloride,artesunate,89.86222,1,4,7
0.3125,0.00625,uM,uM,manidipinedihydrochloride,artesunate,110.410645,1,5,7
0.625,0.00625,uM,uM,manidipinedihydrochloride,artesunate,70.63608599999998,1,6,7
1.25,0.00625,uM,uM,manidipinedihydrochloride,artesunate,71.35939,1,7,7
2.5,0.00625,uM,uM,manidipinedihydrochloride,artesunate,58.088802,1,8,7
5.0,0.00625,uM,uM,manidipinedihydrochloride,artesunate,35.71944000000001,1,9,7
10.0,0.00625,uM,uM,manidipinedihydrochloride,artesunate,14.409660999999998,1,10,7
0.0,0.0125,uM,uM,manidipinedihydrochloride,artesunate,50.785877,1,1,8
0.0390625,0.0125,uM,uM,manidipinedihydrochloride,artesunate,103.84427,1,2,8
0.078125,0.0125,uM,uM,manidipinedihydrochloride,artesunate,52.51295,1,3,8
0.15625,0.0125,uM,uM,manidipinedihydrochloride,artesunate,45.086845,1,4,8
0.3125,0.0125,uM,uM,manidipinedihydrochloride,artesunate,26.045631,1,5,8
0.625,0.0125,uM,uM,manidipinedihydrochloride,artesunate,7.802414,1,6,8
1.25,0.0125,uM,uM,manidipinedihydrochloride,artesunate,18.470694,1,7,8
2.5,0.0125,uM,uM,manidipinedihydrochloride,artesunate,7.445836999999999,1,8,8
5.0,0.0125,uM,uM,manidipinedihydrochloride,artesunate,14.844882,1,9,8
10.0,0.0125,uM,uM,manidipinedihydrochloride,artesunate,10.204024,1,10,8
0.0,0.025,uM,uM,manidipinedihydrochloride,artesunate,22.267887,1,1,9
0.0390625,0.025,uM,uM,manidipinedihydrochloride,artesunate,13.891003,1,2,9
0.078125,0.025,uM,uM,manidipinedihydrochloride,artesunate,22.446316,1,3,9
0.15625,0.025,uM,uM,manidipinedihydrochloride,artesunate,11.732091,1,4,9
0.3125,0.025,uM,uM,manidipinedihydrochloride,artesunate,7.762386999999999,1,5,9
0.625,0.025,uM,uM,manidipinedihydrochloride,artesunate,0.104577,1,6,9
1.25,0.025,uM,uM,manidipinedihydrochloride,artesunate,6.87334,1,7,9
2.5,0.025,uM,uM,manidipinedihydrochloride,artesunate,4.958254,1,8,9
5.0,0.025,uM,uM,manidipinedihydrochloride,artesunate,6.562992,1,9,9
10.0,0.025,uM,uM,manidipinedihydrochloride,artesunate,1.397275,1,10,9
0.0,0.05,uM,uM,manidipinedihydrochloride,artesunate,12.443272,1,1,10
0.0390625,0.05,uM,uM,manidipinedihydrochloride,artesunate,19.33578,1,2,10
0.078125,0.05,uM,uM,manidipinedihydrochloride,artesunate,10.250816,1,3,10
0.15625,0.05,uM,uM,manidipinedihydrochloride,artesunate,1.55851,1,4,10
0.3125,0.05,uM,uM,manidipinedihydrochloride,artesunate,7.3299850000000015,1,5,10
0.625,0.05,uM,uM,manidipinedihydrochloride,artesunate,1.975127,1,6,10
1.25,0.05,uM,uM,manidipinedihydrochloride,artesunate,7.492628999999999,1,7,10
2.5,0.05,uM,uM,manidipinedihydrochloride,artesunate,6.75777,1,8,10
5.0,0.05,uM,uM,manidipinedihydrochloride,artesunate,1.143302,1,9,10
10.0,0.05,uM,uM,manidipinedihydrochloride,artesunate,3.278818,1,10,10
