ConcRow,ConcCol,ConcRowUnit,ConcColUnit,DrugRow,DrugCol,Response,BlockID,Row,Col
0.0,0.0,uM,uM,mefloquine,artenimol,103.30945,1,1,1
0.000976625,0.0,uM,uM,mefloquine,artenimol,101.18096,1,2,1
0.001953125,0.0,uM,uM,mefloquine,artenimol,99.192375,1,3,1
0.00390625,0.0,uM,uM,mefloquine,artenimol,107.98295,1,4,1
0.0078125,0.0,uM,uM,mefloquine,artenimol,92.262794,1,5,1
0.015625,0.0,uM,uM,mefloquine,artenimol,77.6119,1,6,1
0.03125,0.0,uM,uM,mefloquine,artenimol,41.055134,1,7,1
0.0625,0.0,uM,uM,mefloquine,artenimol,5.753183,1,8,1
0.125,0.0,uM,uM,mefloquine,artenimol,1.2883950000000002,1,9,1
0.25,0.0,uM,uM,mefloquine,artenimol,0.186583,1,10,1
0.0,9.7625e-05,uM,uM,mefloquine,artenimol,97.85699,1,1,2
0.000976625,9.7625e-05,uM,uM,mefloquine,artenimol,100.33823,1,2,2
0.001953125,9.7625e-05,uM,uM,mefloquine,artenimol,102.92638,1,3,2
0.00390625,9.7625e-05,uM,uM,mefloquine,artenimol,101.07614,1,4,2
0.0078125,9.7625e-05,uM,uM,mefloquine,artenimol,91.10951,1,5,2
0.015625,9.7625e-05,uM,uM,mefloquine,artenimol,79.374825,1,6,2
0.03125,9.7625e-05,uM,uM,mefloquine,artenimol,47.550632,1,7,2
0.0625,9.7625e-05,uM,uM,mefloquine,artenimol,4.518097,1,8,2
0.125,9.7625e-05,uM,uM,mefloquine,artenimol,1.420558,1,9,2
0.25,9.7625e-05,uM,uM,mefloquine,artenimol,0.011021,1,10,2
0.0,0.000195375,uM,uM,mefloquine,artenimol,106.19995,1,1,3
0.000976625,0.000195375,uM,uM,mefloquine,artenimol,105.44691,1,2,3
0.001953125,0.000195375,uM,uM,mefloquine,artenimol,106.70447,1,3,3
0.00390625,0.000195375,uM,uM,mefloquine,artenimol,104.0396,1,4,3
0.0078125,0.000195375,uM,uM,mefloquine,artenimol,93.87925,1,5,3
0.015625,0.000195375,uM,uM,mefloquine,artenimol,72.57814,1,6,3
0.03125,0.000195375,uM,uM,mefloquine,artenimol,51.583817,1,7,3
0.0625,0.000195375,uM,uM,mefloquine,artenimol,7.284203999999999,1,8,3
0.125,0.000195375,uM,uM,mefloquine,artenimol,1.948654,1,9,3
0.25,0.000195375,uM,uM,mefloquine,artenimol,0.641848,1,10,3
0.0,0.000390625,uM,uM,mefloquine,artenimol,104.77572,1,1,4
0.000976625,0.000390625,uM,uM,mefloquine,artenimol,101.08819,1,2,4
0.001953125,0.000390625,uM,uM,mefloquine,artenimol,104.42211,1,3,4
0.00390625,0.000390625,uM,uM,mefloquine,artenimol,101.35272,1,4,4
0.0078125,0.000390625,uM,uM,mefloquine,artenimol,94.12798,1,5,4
0.015625,0.000390625,uM,uM,mefloquine,artenimol,76.69057,1,6,4
0.03125,0.000390625,uM,uM,mefloquine,artenimol,49.544266,1,7,4
0.0625,0.000390625,uM,uM,mefloquine,artenimol,7.0860020000000015,1,8,4
0.125,0.000390625,uM,uM,mefloquine,artenimol,1.660621,1,9,4
0.25,0.000390625,uM,uM,mefloquine,artenimol,0.581064,1,10,4
0.0,0.00078125,uM,uM,mefloquine,artenimol,104.120155,1,1,5
0.000976625,0.00078125,uM,uM,mefloquine,artenimol,101.414406,1,2,5
0.001953125,0.00078125,uM,uM,mefloquine,artenimol,107.56796,1,3,5
0.00390625,0.00078125,uM,uM,mefloquine,artenimol,105.88364,1,4,5
0.0078125,0.00078125,uM,uM,mefloquine,artenimol,83.65184,1,5,5
0.015625,0.00078125,uM,uM,mefloquine,artenimol,60.980064,1,6,5
0.03125,0.00078125,uM,uM,mefloquine,artenimol,30.050165000000003,1,7,5
0.0625,0.00078125,uM,uM,mefloquine,artenimol,2.932143,1,8,5
0.125,0.00078125,uM,uM,mefloquine,artenimol,0.770807,1,9,5
0.25,0.00078125,uM,uM,mefloquine,artenimol,0.348775,1,10,5
0.0,0.0015625,uM,uM,mefloquine,artenimol,89.07294499999998,1,1,6
0.000976625,0.0015625,uM,uM,mefloquine,artenimol,85.45923,1,2,6
0.001953125,0.0015625,uM,uM,mefloquine,artenimol,86.66642,1,3,6
0.00390625,0.0015625,uM,uM,mefloquine,artenimol,86.99478,1,4,6
0.0078125,0.0015625,uM,uM,mefloquine,artenimol,60.11101,1,5,6
0.015625,0.0015625,uM,uM,mefloquine,artenimol,39.015877,1,6,6
0.03125,0.0015625,uM,uM,mefloquine,artenimol,13.574239000000002,1,7,6
0.0625,0.0015625,uM,uM,mefloquine,artenimol,1.914695,1,8,6
0.125,0.0015625,uM,uM,mefloquine,artenimol,0.660942,1,9,6
0.25,0.0015625,uM,uM,mefloquine,artenimol,0.482262,1,10,6
0.0,0.003125,uM,uM,mefloquine,artenimol,27.811855,1,1,7
0.000976625,0.003125,uM,uM,mefloquine,artenimol,27.861406,1,2,7
0.001953125,0.003125,uM,uM,mefloquine,artenimol,27.481108000000006,1,3,7
0.00390625,0.003125,uM,uM,mefloquine,artenimol,32.92362,1,4,7
0.0078125,0.003125,uM,uM,mefloquine,artenimol,22.694542,1,5,7
0.015625,0.003125,uM,uM,mefloquine,artenimol,12.723553,1,6,7
0.03125,0.003125,uM,uM,mefloquine,artenimol,4.712283,1,7,7
0.0625,0.003125,uM,uM,mefloquine,artenimol,0.602037,1,8,7
0.125,0.003125,uM,uM,mefloquine,artenimol,0.29585,1,9,7
0.25,0.003125,uM,uM,mefloquine,artenimol,0.4362140000000001,1,10,7
0.0,0.00625,uM,uM,mefloquine,artenimol,4.505368,1,1,8
0.000976625,0.00625,uM,uM,mefloquine,artenimol,3.366307,1,2,8
0.001953125,0.00625,uM,uM,mefloquine,artenimol,6.673025999999999,1,3,8
0.00390625,0.00625,uM,uM,mefloquine,artenimol,4.872254,1,4,8
0.0078125,0.00625,uM,uM,mefloquine,artenimol,2.416691,1,5,8
0.015625,0.00625,uM,uM,mefloquine,artenimol,0.8484219999999999,1,6,8
0.03125,0.00625,uM,uM,mefloquine,artenimol,0.87875,1,7,8
0.0625,0.00625,uM,uM,mefloquine,artenimol,-0.13229100000000002,1,8,8
0.125,0.00625,uM,uM,mefloquine,artenimol,0.744452,1,9,8
0.25,0.00625,uM,uM,mefloquine,artenimol,0.043228,1,10,8
0.0,0.0125,uM,uM,mefloquine,artenimol,0.364238,1,1,9
0.000976625,0.0125,uM,uM,mefloquine,artenimol,0.11717,1,2,9
0.001953125,0.0125,uM,uM,mefloquine,artenimol,0.205762,1,3,9
0.00390625,0.0125,uM,uM,mefloquine,artenimol,0.16373,1,4,9
0.0078125,0.0125,uM,uM,mefloquine,artenimol,0.392601,1,5,9
0.015625,0.0125,uM,uM,mefloquine,artenimol,0.4416390000000001,1,6,9
0.03125,0.0125,uM,uM,mefloquine,artenimol,0.384186,1,7,9
0.0625,0.0125,uM,uM,mefloquine,artenimol,-0.073215,1,8,9
0.125,0.0125,uM,uM,mefloquine,artenimol,0.265436,1,9,9
0.25,0.0125,uM,uM,mefloquine,artenimol,0.101365,1,10,9
0.0,0.025,uM,uM,mefloquine,artenimol,0.209051,1,1,10
0.000976625,0.025,uM,uM,mefloquine,artenimol,-0.21140100000000006,1,2,10
0.001953125,0.025,uM,uM,mefloquine,artenimol,-0.090216,1,3,10
0.00390625,0.025,uM,uM,mefloquine,artenimol,-0.393114,1,4,10
0.0078125,0.025,uM,uM,mefloquine,artenimol,0.102048,1,5,10
0.015625,0.025,uM,uM,mefloquine,artenimol,0.245958,1,6,10
0.03125,0.025,uM,uM,mefloquine,artenimol,0.280002,1,7,10
0.0625,0.025,uM,uM,mefloquine,artenimol,-0.068602,1,8,10
0.125,0.025,uM,uM,mefloquine,artenimol,0.400974,1,9,10
0.25,0.025,uM,uM,mefloquine,artenimol,0.215074,1,10,10
