ConcRow,ConcCol,ConcRowUnit,ConcColUnit,DrugRow,DrugCol,Response,BlockID,Row,Col
0.0,0.0,uM,uM,mefloquine,artesunate,282.88803,1,1,1
0.000976625,0.0,uM,uM,mefloquine,artesunate,162.8679,1,2,1
0.001953125,0.0,uM,uM,mefloquine,artesunate,168.9439,1,3,1
0.00390625,0.0,uM,uM,mefloquine,artesunate,161.18338,1,4,1
0.0078125,0.0,uM,uM,mefloquine,artesunate,150.78377,1,5,1
0.015625,0.0,uM,uM,mefloquine,artesunate,149.46423,1,6,1
0.03125,0.0,uM,uM,mefloquine,artesunate,240.38884,1,7,1
0.0625,0.0,uM,uM,mefloquine,artesunate,139.11141999999998,1,8,1
0.125,0.0,uM,uM,mefloquine,artesunate,80.26531,1,9,1
0.25,0.0,uM,uM,mefloquine,artesunate,127.013245,1,10,1
0.0,0.000195375,uM,uM,mefloquine,artesunate,141.24748,1,1,2
0.000976625,0.000195375,uM,uM,mefloquine,artesunate,109.112816,1,2,2
0.001953125,0.000195375,uM,uM,mefloquine,artesunate,189.14183,1,3,2
0.00390625,0.000195375,uM,uM,mefloquine,artesunate,124.80932,1,4,2
0.0078125,0.000195375,uM,uM,mefloquine,artesunate,108.85312,1,5,2
0.015625,0.000195375,uM,uM,mefloquine,artesunate,144.05268999999996,1,6,2
0.03125,0.000195375,uM,uM,mefloquine,artesunate,145.01662,1,7,2
0.0625,0.000195375,uM,uM,mefloquine,artesunate,100.34627,1,8,2
0.125,0.000195375,uM,uM,mefloquine,artesunate,122.9891,1,9,2
0.25,0.000195375,uM,uM,mefloquine,artesunate,110.13757,1,10,2
0.0,0.000390625,uM,uM,mefloquine,artesunate,294.2656,1,1,3
0.000976625,0.000390625,uM,uM,mefloquine,artesunate,123.77521000000002,1,2,3
0.001953125,0.000390625,uM,uM,mefloquine,artesunate,159.01689,1,3,3
0.00390625,0.000390625,uM,uM,mefloquine,artesunate,130.02199,1,4,3
0.0078125,0.000390625,uM,uM,mefloquine,artesunate,183.03542,1,5,3
0.015625,0.000390625,uM,uM,mefloquine,artesunate,180.7309,1,6,3
0.03125,0.000390625,uM,uM,mefloquine,artesunate,177.43204,1,7,3
0.0625,0.000390625,uM,uM,mefloquine,artesunate,103.93056,1,8,3
0.125,0.000390625,uM,uM,mefloquine,artesunate,110.153946,1,9,3
0.25,0.000390625,uM,uM,mefloquine,artesunate,75.92064,1,10,3
0.0,0.00078125,uM,uM,mefloquine,artesunate,263.282,1,1,4
0.000976625,0.00078125,uM,uM,mefloquine,artesunate,470.8577,1,2,4
0.001953125,0.00078125,uM,uM,mefloquine,artesunate,213.51598,1,3,4
0.00390625,0.00078125,uM,uM,mefloquine,artesunate,145.16635,1,4,4
0.0078125,0.00078125,uM,uM,mefloquine,artesunate,129.7038,1,5,4
0.015625,0.00078125,uM,uM,mefloquine,artesunate,159.29063,1,6,4
0.03125,0.00078125,uM,uM,mefloquine,artesunate,222.2802,1,7,4
0.0625,0.00078125,uM,uM,mefloquine,artesunate,52.13607,1,8,4
0.125,0.00078125,uM,uM,mefloquine,artesunate,82.50199,1,9,4
0.25,0.00078125,uM,uM,mefloquine,artesunate,159.86383,1,10,4
0.0,0.0015625,uM,uM,mefloquine,artesunate,206.05962,1,1,5
0.000976625,0.0015625,uM,uM,mefloquine,artesunate,112.568436,1,2,5
0.001953125,0.0015625,uM,uM,mefloquine,artesunate,195.39563,1,3,5
0.00390625,0.0015625,uM,uM,mefloquine,artesunate,137.25142,1,4,5
0.0078125,0.0015625,uM,uM,mefloquine,artesunate,165.19115,1,5,5
0.015625,0.0015625,uM,uM,mefloquine,artesunate,131.35558,1,6,5
0.03125,0.0015625,uM,uM,mefloquine,artesunate,164.26231,1,7,5
0.0625,0.0015625,uM,uM,mefloquine,artesunate,70.97936,1,8,5
0.125,0.0015625,uM,uM,mefloquine,artesunate,110.58678,1,9,5
0.25,0.0015625,uM,uM,mefloquine,artesunate,90.70703,1,10,5
0.0,0.003125,uM,uM,mefloquine,artesunate,136.50742,1,1,6
0.000976625,0.003125,uM,uM,mefloquine,artesunate,163.22821000000005,1,2,6
0.001953125,0.003125,uM,uM,mefloquine,artesunate,183.12666,1,3,6
0.00390625,0.003125,uM,uM,mefloquine,artesunate,121.5245,1,4,6
0.0078125,0.003125,uM,uM,mefloquine,artesunate,189.43896,1,5,6
0.015625,0.003125,uM,uM,mefloquine,artesunate,143.67834,1,6,6
0.03125,0.003125,uM,uM,mefloquine,artesunate,69.58261,1,7,6
0.0625,0.003125,uM,uM,mefloquine,artesunate,70.195595,1,8,6
0.125,0.003125,uM,uM,mefloquine,artesunate,109.781944,1,9,6
0.25,0.003125,uM,uM,mefloquine,artesunate,98.87932,1,10,6
0.0,0.00625,uM,uM,mefloquine,artesunate,167.37636,1,1,7
0.000976625,0.00625,uM,uM,mefloquine,artesunate,147.77268999999995,1,2,7
0.001953125,0.00625,uM,uM,mefloquine,artesunate,126.98049,1,3,7
0.00390625,0.00625,uM,uM,mefloquine,artesunate,122.01114,1,4,7
0.0078125,0.00625,uM,uM,mefloquine,artesunate,97.6557,1,5,7
0.015625,0.00625,uM,uM,mefloquine,artesunate,153.15381000000005,1,6,7
0.03125,0.00625,uM,uM,mefloquine,artesunate,53.710636,1,7,7
0.0625,0.00625,uM,uM,mefloquine,artesunate,41.64288,1,8,7
0.125,0.00625,uM,uM,mefloquine,artesunate,64.46119,1,9,7
0.25,0.00625,uM,uM,mefloquine,artesunate,50.963924,1,10,7
0.0,0.0125,uM,uM,mefloquine,artesunate,104.454636,1,1,8
0.000976625,0.0125,uM,uM,mefloquine,artesunate,165.20518,1,2,8
0.001953125,0.0125,uM,uM,mefloquine,artesunate,85.33059,1,3,8
0.00390625,0.0125,uM,uM,mefloquine,artesunate,39.913902,1,4,8
0.0078125,0.0125,uM,uM,mefloquine,artesunate,27.63792,1,5,8
0.015625,0.0125,uM,uM,mefloquine,artesunate,-16.204203,1,6,8
0.03125,0.0125,uM,uM,mefloquine,artesunate,30.555426,1,7,8
0.0625,0.0125,uM,uM,mefloquine,artesunate,34.261383,1,8,8
0.125,0.0125,uM,uM,mefloquine,artesunate,69.924194,1,9,8
0.25,0.0125,uM,uM,mefloquine,artesunate,31.63399,1,10,8
0.0,0.025,uM,uM,mefloquine,artesunate,105.49342,1,1,9
0.000976625,0.025,uM,uM,mefloquine,artesunate,29.144634000000003,1,2,9
0.001953125,0.025,uM,uM,mefloquine,artesunate,95.376915,1,3,9
0.00390625,0.025,uM,uM,mefloquine,artesunate,83.39104499999998,1,4,9
0.0078125,0.025,uM,uM,mefloquine,artesunate,44.193066,1,5,9
0.015625,0.025,uM,uM,mefloquine,artesunate,18.433859,1,6,9
0.03125,0.025,uM,uM,mefloquine,artesunate,9.183005,1,7,9
0.0625,0.025,uM,uM,mefloquine,artesunate,37.72402,1,8,9
0.125,0.025,uM,uM,mefloquine,artesunate,42.216087,1,9,9
0.25,0.025,uM,uM,mefloquine,artesunate,55.34135,1,10,9
0.0,0.05,uM,uM,mefloquine,artesunate,85.288475,1,1,10
0.000976625,0.05,uM,uM,mefloquine,artesunate,144.80605,1,2,10
0.001953125,0.05,uM,uM,mefloquine,artesunate,109.95976,1,3,10
0.00390625,0.05,uM,uM,mefloquine,artesunate,71.63446,1,4,10
