ConcRow,ConcCol,ConcRowUnit,ConcColUnit,DrugRow,DrugCol,Response,BlockID,Row,Col
0.0,0.0,uM,uM,ml238,nvpbgt226,108.00752,1,1,1
0.000195375,0.0,uM,uM,ml238,nvpbgt226,111.585976,1,2,1
0.000390625,0.0,uM,uM,ml238,nvpbgt226,134.22145,1,3,1
0.00078125,0.0,uM,uM,ml238,nvpbgt226,109.58518,1,4,1
0.0015625,0.0,uM,uM,ml238,nvpbgt226,66.97005,1,5,1
0.003125,0.0,uM,uM,ml238,nvpbgt226,53.42486,1,6,1
0.00625,0.0,uM,uM,ml238,nvpbgt226,37.59074,1,7,1
0.0125,0.0,uM,uM,ml238,nvpbgt226,33.147877,1,8,1
0.025,0.0,uM,uM,ml238,nvpbgt226,25.675716,1,9,1
0.05,0.0,uM,uM,ml238,nvpbgt226,12.33881,1,10,1
0.0,3.9125e-05,uM,uM,ml238,nvpbgt226,114.37526,1,1,2
0.000195375,3.9125e-05,uM,uM,ml238,nvpbgt226,125.6604,1,2,2
0.000390625,3.9125e-05,uM,uM,ml238,nvpbgt226,135.65668,1,3,2
0.00078125,3.9125e-05,uM,uM,ml238,nvpbgt226,90.59356,1,4,2
0.0015625,3.9125e-05,uM,uM,ml238,nvpbgt226,85.43724,1,5,2
0.003125,3.9125e-05,uM,uM,ml238,nvpbgt226,73.37694499999998,1,6,2
0.00625,3.9125e-05,uM,uM,ml238,nvpbgt226,52.401165,1,7,2
0.0125,3.9125e-05,uM,uM,ml238,nvpbgt226,38.486225,1,8,2
0.025,3.9125e-05,uM,uM,ml238,nvpbgt226,20.32402,1,9,2
0.05,3.9125e-05,uM,uM,ml238,nvpbgt226,19.714268,1,10,2
0.0,7.8125e-05,uM,uM,ml238,nvpbgt226,124.65049,1,1,3
0.000195375,7.8125e-05,uM,uM,ml238,nvpbgt226,121.44792,1,2,3
0.000390625,7.8125e-05,uM,uM,ml238,nvpbgt226,84.268715,1,3,3
0.00078125,7.8125e-05,uM,uM,ml238,nvpbgt226,86.78496,1,4,3
0.0015625,7.8125e-05,uM,uM,ml238,nvpbgt226,90.22338,1,5,3
0.003125,7.8125e-05,uM,uM,ml238,nvpbgt226,74.52622,1,6,3
