ConcRow,ConcCol,ConcRowUnit,ConcColUnit,DrugRow,DrugCol,Response,BlockID,Row,Col
0.0,0.0,uM,uM,nvpauy922,artenimol,102.00992,1,1,1
0.001953125,0.0,uM,uM,nvpauy922,artenimol,103.06693,1,2,1
0.00390625,0.0,uM,uM,nvpauy922,artenimol,101.83424,1,3,1
0.0078125,0.0,uM,uM,nvpauy922,artenimol,100.44388,1,4,1
0.015625,0.0,uM,uM,nvpauy922,artenimol,97.476456,1,5,1
0.03125,0.0,uM,uM,nvpauy922,artenimol,88.56099,1,6,1
0.0625,0.0,uM,uM,nvpauy922,artenimol,64.809296,1,7,1
0.125,0.0,uM,uM,nvpauy922,artenimol,18.827278,1,8,1
0.25,0.0,uM,uM,nvpauy922,artenimol,2.696866,1,9,1
0.5,0.0,uM,uM,nvpauy922,artenimol,0.12503,1,10,1
0.0,9.7625e-05,uM,uM,nvpauy922,artenimol,105.86409,1,1,2
0.001953125,9.7625e-05,uM,uM,nvpauy922,artenimol,105.51229,1,2,2
0.00390625,9.7625e-05,uM,uM,nvpauy922,artenimol,107.475494,1,3,2
0.0078125,9.7625e-05,uM,uM,nvpauy922,artenimol,99.68413,1,4,2
0.015625,9.7625e-05,uM,uM,nvpauy922,artenimol,99.66446,1,5,2
0.03125,9.7625e-05,uM,uM,nvpauy922,artenimol,103.99655,1,6,2
0.0625,9.7625e-05,uM,uM,nvpauy922,artenimol,77.91569,1,7,2
0.125,9.7625e-05,uM,uM,nvpauy922,artenimol,12.450087,1,8,2
0.25,9.7625e-05,uM,uM,nvpauy922,artenimol,3.091534,1,9,2
0.5,9.7625e-05,uM,uM,nvpauy922,artenimol,0.046935,1,10,2
0.0,0.000195375,uM,uM,nvpauy922,artenimol,106.251724,1,1,3
0.001953125,0.000195375,uM,uM,nvpauy922,artenimol,105.25048,1,2,3
0.00390625,0.000195375,uM,uM,nvpauy922,artenimol,103.54393,1,3,3
0.0078125,0.000195375,uM,uM,nvpauy922,artenimol,100.777756,1,4,3
0.015625,0.000195375,uM,uM,nvpauy922,artenimol,98.29455,1,5,3
0.03125,0.000195375,uM,uM,nvpauy922,artenimol,89.43699000000002,1,6,3
0.0625,0.000195375,uM,uM,nvpauy922,artenimol,67.404686,1,7,3
0.125,0.000195375,uM,uM,nvpauy922,artenimol,14.699449,1,8,3
0.25,0.000195375,uM,uM,nvpauy922,artenimol,1.87012,1,9,3
0.5,0.000195375,uM,uM,nvpauy922,artenimol,0.318235,1,10,3
0.0,0.000390625,uM,uM,nvpauy922,artenimol,99.94065,1,1,4
0.001953125,0.000390625,uM,uM,nvpauy922,artenimol,100.75534,1,2,4
0.00390625,0.000390625,uM,uM,nvpauy922,artenimol,98.75267,1,3,4
0.0078125,0.000390625,uM,uM,nvpauy922,artenimol,100.594604,1,4,4
0.015625,0.000390625,uM,uM,nvpauy922,artenimol,95.63098,1,5,4
0.03125,0.000390625,uM,uM,nvpauy922,artenimol,93.73106,1,6,4
0.0625,0.000390625,uM,uM,nvpauy922,artenimol,51.297653,1,7,4
0.125,0.000390625,uM,uM,nvpauy922,artenimol,12.390784,1,8,4
0.25,0.000390625,uM,uM,nvpauy922,artenimol,2.682357,1,9,4
0.5,0.000390625,uM,uM,nvpauy922,artenimol,-0.49138,1,10,4
0.0,0.00078125,uM,uM,nvpauy922,artenimol,92.16029,1,1,5
0.001953125,0.00078125,uM,uM,nvpauy922,artenimol,92.86441,1,2,5
0.00390625,0.00078125,uM,uM,nvpauy922,artenimol,92.04601,1,3,5
0.0078125,0.00078125,uM,uM,nvpauy922,artenimol,88.52682,1,4,5
0.015625,0.00078125,uM,uM,nvpauy922,artenimol,97.27604,1,5,5
0.03125,0.00078125,uM,uM,nvpauy922,artenimol,78.817604,1,6,5
0.0625,0.00078125,uM,uM,nvpauy922,artenimol,33.437529999999995,1,7,5
0.125,0.00078125,uM,uM,nvpauy922,artenimol,11.337184,1,8,5
0.25,0.00078125,uM,uM,nvpauy922,artenimol,1.204589,1,9,5
0.5,0.00078125,uM,uM,nvpauy922,artenimol,-0.196613,1,10,5
