ConcRow,ConcCol,ConcRowUnit,ConcColUnit,DrugRow,DrugCol,Response,BlockID,Row,Col
0.0,0.0,uM,uM,nvpbgt226,nitd609,102.185394,1,1,1
3.9125e-05,0.0,uM,uM,nvpbgt226,nitd609,103.20575,1,2,1
7.8125e-05,0.0,uM,uM,nvpbgt226,nitd609,103.48221,1,3,1
0.00015625,0.0,uM,uM,nvpbgt226,nitd609,101.18536,1,4,1
0.0003125,0.0,uM,uM,nvpbgt226,nitd609,105.38124,1,5,1
0.000625,0.0,uM,uM,nvpbgt226,nitd609,97.28581,1,6,1
0.00125,0.0,uM,uM,nvpbgt226,nitd609,88.91495,1,7,1
0.0025,0.0,uM,uM,nvpbgt226,nitd609,25.321356,1,8,1
0.005,0.0,uM,uM,nvpbgt226,nitd609,7.118778,1,9,1
0.01,0.0,uM,uM,nvpbgt226,nitd609,5.624036,1,10,1
0.0,3.9125e-05,uM,uM,nvpbgt226,nitd609,103.86955,1,1,2
3.9125e-05,3.9125e-05,uM,uM,nvpbgt226,nitd609,102.993515,1,2,2
7.8125e-05,3.9125e-05,uM,uM,nvpbgt226,nitd609,101.14532,1,3,2
0.00015625,3.9125e-05,uM,uM,nvpbgt226,nitd609,103.20561,1,4,2
0.0003125,3.9125e-05,uM,uM,nvpbgt226,nitd609,101.30899,1,5,2
0.000625,3.9125e-05,uM,uM,nvpbgt226,nitd609,102.601906,1,6,2
0.00125,3.9125e-05,uM,uM,nvpbgt226,nitd609,93.84268,1,7,2
0.0025,3.9125e-05,uM,uM,nvpbgt226,nitd609,22.660553,1,8,2
0.005,3.9125e-05,uM,uM,nvpbgt226,nitd609,6.154863,1,9,2
0.01,3.9125e-05,uM,uM,nvpbgt226,nitd609,2.441758,1,10,2
0.0,7.8125e-05,uM,uM,nvpbgt226,nitd609,97.99642,1,1,3
3.9125e-05,7.8125e-05,uM,uM,nvpbgt226,nitd609,103.78052,1,2,3
7.8125e-05,7.8125e-05,uM,uM,nvpbgt226,nitd609,102.23346,1,3,3
0.00015625,7.8125e-05,uM,uM,nvpbgt226,nitd609,104.6222,1,4,3
0.0003125,7.8125e-05,uM,uM,nvpbgt226,nitd609,103.87307,1,5,3
