ConcRow,ConcCol,ConcRowUnit,ConcColUnit,DrugRow,DrugCol,Response,BlockID,Row,Col
0.0,0.0,uM,uM,pkc412,artemether,114.44706,1,1,1
0.009765625,0.0,uM,uM,pkc412,artemether,96.95038,1,2,1
0.01953125,0.0,uM,uM,pkc412,artemether,113.086426,1,3,1
0.0390625,0.0,uM,uM,pkc412,artemether,104.32254,1,4,1
0.078125,0.0,uM,uM,pkc412,artemether,108.48715,1,5,1
0.15625,0.0,uM,uM,pkc412,artemether,87.0332,1,6,1
0.3125,0.0,uM,uM,pkc412,artemether,90.49557,1,7,1
0.625,0.0,uM,uM,pkc412,artemether,23.604258,1,8,1
1.25,0.0,uM,uM,pkc412,artemether,18.11177,1,9,1
2.5,0.0,uM,uM,pkc412,artemether,14.331314,1,10,1
0.0,0.000195375,uM,uM,pkc412,artemether,107.36967,1,1,2
0.009765625,0.000195375,uM,uM,pkc412,artemether,103.01382,1,2,2
0.01953125,0.000195375,uM,uM,pkc412,artemether,120.60709,1,3,2
0.0390625,0.000195375,uM,uM,pkc412,artemether,95.47983,1,4,2
0.078125,0.000195375,uM,uM,pkc412,artemether,108.655914,1,5,2
0.15625,0.000195375,uM,uM,pkc412,artemether,75.86254,1,6,2
0.3125,0.000195375,uM,uM,pkc412,artemether,24.327318,1,7,2
0.625,0.000195375,uM,uM,pkc412,artemether,9.90857,1,8,2
1.25,0.000195375,uM,uM,pkc412,artemether,15.761337,1,9,2
2.5,0.000195375,uM,uM,pkc412,artemether,10.254695,1,10,2
0.0,0.000390625,uM,uM,pkc412,artemether,106.32768,1,1,3
0.009765625,0.000390625,uM,uM,pkc412,artemether,97.55686,1,2,3
0.01953125,0.000390625,uM,uM,pkc412,artemether,109.45197,1,3,3
0.0390625,0.000390625,uM,uM,pkc412,artemether,114.9217,1,4,3
0.078125,0.000390625,uM,uM,pkc412,artemether,120.33619,1,5,3
0.15625,0.000390625,uM,uM,pkc412,artemether,91.42875,1,6,3
0.3125,0.000390625,uM,uM,pkc412,artemether,75.74651,1,7,3
0.625,0.000390625,uM,uM,pkc412,artemether,18.367409,1,8,3
1.25,0.000390625,uM,uM,pkc412,artemether,19.869877,1,9,3
2.5,0.000390625,uM,uM,pkc412,artemether,13.642117,1,10,3
0.0,0.00078125,uM,uM,pkc412,artemether,110.34129,1,1,4
0.009765625,0.00078125,uM,uM,pkc412,artemether,110.13673,1,2,4
0.01953125,0.00078125,uM,uM,pkc412,artemether,137.17032,1,3,4
0.0390625,0.00078125,uM,uM,pkc412,artemether,91.93503,1,4,4
0.078125,0.00078125,uM,uM,pkc412,artemether,105.32317,1,5,4
0.15625,0.00078125,uM,uM,pkc412,artemether,95.19754,1,6,4
0.3125,0.00078125,uM,uM,pkc412,artemether,77.84769399999998,1,7,4
0.625,0.00078125,uM,uM,pkc412,artemether,40.702076,1,8,4
1.25,0.00078125,uM,uM,pkc412,artemether,15.54206,1,9,4
2.5,0.00078125,uM,uM,pkc412,artemether,16.339230999999998,1,10,4
0.0,0.0015625,uM,uM,pkc412,artemether,101.64264,1,1,5
0.009765625,0.0015625,uM,uM,pkc412,artemether,108.06719,1,2,5
0.01953125,0.0015625,uM,uM,pkc412,artemether,110.83869,1,3,5
0.0390625,0.0015625,uM,uM,pkc412,artemether,101.53411,1,4,5
0.078125,0.0015625,uM,uM,pkc412,artemether,113.56218,1,5,5
0.15625,0.0015625,uM,uM,pkc412,artemether,96.99007,1,6,5
0.3125,0.0015625,uM,uM,pkc412,artemether,87.4626,1,7,5
0.625,0.0015625,uM,uM,pkc412,artemether,24.072233,1,8,5
1.25,0.0015625,uM,uM,pkc412,artemether,15.718037,1,9,5
2.5,0.0015625,uM,uM,pkc412,artemether,8.983718,1,10,5
0.0,0.003125,uM,uM,pkc412,artemether,106.04207,1,1,6
0.009765625,0.003125,uM,uM,pkc412,artemether,94.207184,1,2,6
0.01953125,0.003125,uM,uM,pkc412,artemether,100.89432,1,3,6
0.0390625,0.003125,uM,uM,pkc412,artemether,109.59159,1,4,6
0.078125,0.003125,uM,uM,pkc412,artemether,86.82114399999998,1,5,6
0.15625,0.003125,uM,uM,pkc412,artemether,34.62809,1,6,6
0.3125,0.003125,uM,uM,pkc412,artemether,76.234474,1,7,6
0.625,0.003125,uM,uM,pkc412,artemether,34.73828,1,8,6
1.25,0.003125,uM,uM,pkc412,artemether,14.232223,1,9,6
2.5,0.003125,uM,uM,pkc412,artemether,16.067217000000007,1,10,6
0.0,0.00625,uM,uM,pkc412,artemether,80.9334,1,1,7
0.009765625,0.00625,uM,uM,pkc412,artemether,62.31757,1,2,7
0.01953125,0.00625,uM,uM,pkc412,artemether,89.29259499999998,1,3,7
0.0390625,0.00625,uM,uM,pkc412,artemether,94.48142,1,4,7
0.078125,0.00625,uM,uM,pkc412,artemether,96.3339,1,5,7
0.15625,0.00625,uM,uM,pkc412,artemether,21.224401,1,6,7
0.3125,0.00625,uM,uM,pkc412,artemether,5.503867,1,7,7
0.625,0.00625,uM,uM,pkc412,artemether,10.055402,1,8,7
1.25,0.00625,uM,uM,pkc412,artemether,19.773006,1,9,7
2.5,0.00625,uM,uM,pkc412,artemether,10.133398,1,10,7
0.0,0.0125,uM,uM,pkc412,artemether,60.991913,1,1,8
0.009765625,0.0125,uM,uM,pkc412,artemether,8.954296000000003,1,2,8
0.01953125,0.0125,uM,uM,pkc412,artemether,64.870346,1,3,8
0.0390625,0.0125,uM,uM,pkc412,artemether,6.777897,1,4,8
0.078125,0.0125,uM,uM,pkc412,artemether,10.208341,1,5,8
0.15625,0.0125,uM,uM,pkc412,artemether,4.64341,1,6,8
0.3125,0.0125,uM,uM,pkc412,artemether,32.93521,1,7,8
0.625,0.0125,uM,uM,pkc412,artemether,14.410976000000002,1,8,8
1.25,0.0125,uM,uM,pkc412,artemether,13.207725,1,9,8
2.5,0.0125,uM,uM,pkc412,artemether,8.711703,1,10,8
0.0,0.025,uM,uM,pkc412,artemether,10.22222,1,1,9
0.009765625,0.025,uM,uM,pkc412,artemether,5.939091,1,2,9
0.01953125,0.025,uM,uM,pkc412,artemether,3.224213,1,3,9
0.0390625,0.025,uM,uM,pkc412,artemether,6.2624559999999985,1,4,9
0.078125,0.025,uM,uM,pkc412,artemether,6.316859,1,5,9
0.15625,0.025,uM,uM,pkc412,artemether,2.0201290000000003,1,6,9
0.3125,0.025,uM,uM,pkc412,artemether,2.1075630000000003,1,7,9
0.625,0.025,uM,uM,pkc412,artemether,5.044771,1,8,9
1.25,0.025,uM,uM,pkc412,artemether,4.279798,1,9,9
2.5,0.025,uM,uM,pkc412,artemether,5.729806,1,10,9
0.0,0.05,uM,uM,pkc412,artemether,5.533566,1,1,10
0.009765625,0.05,uM,uM,pkc412,artemether,3.998068,1,2,10
0.01953125,0.05,uM,uM,pkc412,artemether,8.780539,1,3,10
0.0390625,0.05,uM,uM,pkc412,artemether,1.471658,1,4,10
0.078125,0.05,uM,uM,pkc412,artemether,3.279171,1,5,10
0.15625,0.05,uM,uM,pkc412,artemether,2.302969,1,6,10
0.3125,0.05,uM,uM,pkc412,artemether,2.924996,1,7,10
