ConcRow,ConcCol,ConcRowUnit,ConcColUnit,DrugRow,DrugCol,Response,BlockID,Row,Col
0.0,0.0,uM,uM,reserpine,artesunate,204.97087,1,1,1
0.029296875,0.0,uM,uM,reserpine,artesunate,266.2467,1,2,1
0.05859375,0.0,uM,uM,reserpine,artesunate,127.35482,1,3,1
0.1171875,0.0,uM,uM,reserpine,artesunate,100.54396,1,4,1
0.234375,0.0,uM,uM,reserpine,artesunate,115.2394,1,5,1
0.46875,0.0,uM,uM,reserpine,artesunate,106.63499,1,6,1
0.9375,0.0,uM,uM,reserpine,artesunate,69.06323,1,7,1
1.875,0.0,uM,uM,reserpine,artesunate,20.853132,1,8,1
3.75,0.0,uM,uM,reserpine,artesunate,17.180882,1,9,1
7.5,0.0,uM,uM,reserpine,artesunate,-9.122573,1,10,1
0.0,0.000195375,uM,uM,reserpine,artesunate,245.54837,1,1,2
0.029296875,0.000195375,uM,uM,reserpine,artesunate,262.76364,1,2,2
0.05859375,0.000195375,uM,uM,reserpine,artesunate,116.99813,1,3,2
0.1171875,0.000195375,uM,uM,reserpine,artesunate,114.12999,1,4,2
0.234375,0.000195375,uM,uM,reserpine,artesunate,135.50558,1,5,2
0.46875,0.000195375,uM,uM,reserpine,artesunate,80.77659,1,6,2
0.9375,0.000195375,uM,uM,reserpine,artesunate,60.12556,1,7,2
1.875,0.000195375,uM,uM,reserpine,artesunate,18.698803,1,8,2
3.75,0.000195375,uM,uM,reserpine,artesunate,12.081013,1,9,2
7.5,0.000195375,uM,uM,reserpine,artesunate,6.275935,1,10,2
0.0,0.000390625,uM,uM,reserpine,artesunate,161.97673,1,1,3
0.029296875,0.000390625,uM,uM,reserpine,artesunate,208.26256,1,2,3
0.05859375,0.000390625,uM,uM,reserpine,artesunate,118.1355,1,3,3
0.1171875,0.000390625,uM,uM,reserpine,artesunate,118.5569,1,4,3
0.234375,0.000390625,uM,uM,reserpine,artesunate,137.24495,1,5,3
0.46875,0.000390625,uM,uM,reserpine,artesunate,86.88911999999998,1,6,3
0.9375,0.000390625,uM,uM,reserpine,artesunate,117.51414,1,7,3
1.875,0.000390625,uM,uM,reserpine,artesunate,34.944424,1,8,3
3.75,0.000390625,uM,uM,reserpine,artesunate,13.790285999999998,1,9,3
7.5,0.000390625,uM,uM,reserpine,artesunate,23.577217,1,10,3
0.0,0.00078125,uM,uM,reserpine,artesunate,126.2583,1,1,4
0.029296875,0.00078125,uM,uM,reserpine,artesunate,187.65883,1,2,4
0.05859375,0.00078125,uM,uM,reserpine,artesunate,123.52777,1,3,4
0.1171875,0.00078125,uM,uM,reserpine,artesunate,126.86891,1,4,4
0.234375,0.00078125,uM,uM,reserpine,artesunate,121.19283,1,5,4
0.46875,0.00078125,uM,uM,reserpine,artesunate,90.701126,1,6,4
0.9375,0.00078125,uM,uM,reserpine,artesunate,93.30051,1,7,4
1.875,0.00078125,uM,uM,reserpine,artesunate,63.00015300000001,1,8,4
3.75,0.00078125,uM,uM,reserpine,artesunate,20.440327,1,9,4
7.5,0.00078125,uM,uM,reserpine,artesunate,-7.245597999999998,1,10,4
0.0,0.0015625,uM,uM,reserpine,artesunate,161.77678,1,1,5
0.029296875,0.0015625,uM,uM,reserpine,artesunate,174.27705,1,2,5
0.05859375,0.0015625,uM,uM,reserpine,artesunate,211.94125,1,3,5
0.1171875,0.0015625,uM,uM,reserpine,artesunate,100.13545,1,4,5
0.234375,0.0015625,uM,uM,reserpine,artesunate,121.54974,1,5,5
0.46875,0.0015625,uM,uM,reserpine,artesunate,85.143295,1,6,5
0.9375,0.0015625,uM,uM,reserpine,artesunate,64.42562,1,7,5
1.875,0.0015625,uM,uM,reserpine,artesunate,14.10849,1,8,5
3.75,0.0015625,uM,uM,reserpine,artesunate,10.40399,1,9,5
7.5,0.0015625,uM,uM,reserpine,artesunate,-10.077186,1,10,5
0.0,0.003125,uM,uM,reserpine,artesunate,170.5747,1,1,6
0.029296875,0.003125,uM,uM,reserpine,artesunate,150.33003,1,2,6
0.05859375,0.003125,uM,uM,reserpine,artesunate,143.67569,1,3,6
0.1171875,0.003125,uM,uM,reserpine,artesunate,154.60214,1,4,6
0.234375,0.003125,uM,uM,reserpine,artesunate,125.17898999999998,1,5,6
0.46875,0.003125,uM,uM,reserpine,artesunate,64.38261999999999,1,6,6
0.9375,0.003125,uM,uM,reserpine,artesunate,88.09744,1,7,6
1.875,0.003125,uM,uM,reserpine,artesunate,-5.013868,1,8,6
3.75,0.003125,uM,uM,reserpine,artesunate,4.42046,1,9,6
7.5,0.003125,uM,uM,reserpine,artesunate,-27.675175,1,10,6
0.0,0.00625,uM,uM,reserpine,artesunate,117.42598999999998,1,1,7
0.029296875,0.00625,uM,uM,reserpine,artesunate,131.16467,1,2,7
0.05859375,0.00625,uM,uM,reserpine,artesunate,107.14024,1,3,7
0.1171875,0.00625,uM,uM,reserpine,artesunate,79.622025,1,4,7
0.234375,0.00625,uM,uM,reserpine,artesunate,69.387886,1,5,7
0.46875,0.00625,uM,uM,reserpine,artesunate,39.82929,1,6,7
0.9375,0.00625,uM,uM,reserpine,artesunate,36.376343,1,7,7
1.875,0.00625,uM,uM,reserpine,artesunate,6.220034,1,8,7
3.75,0.00625,uM,uM,reserpine,artesunate,9.053772,1,9,7
7.5,0.00625,uM,uM,reserpine,artesunate,-27.591322,1,10,7
0.0,0.0125,uM,uM,reserpine,artesunate,81.6323,1,1,8
0.029296875,0.0125,uM,uM,reserpine,artesunate,94.119675,1,2,8
0.05859375,0.0125,uM,uM,reserpine,artesunate,40.579647,1,3,8
0.1171875,0.0125,uM,uM,reserpine,artesunate,42.22227,1,4,8
0.234375,0.0125,uM,uM,reserpine,artesunate,15.146954,1,5,8
0.46875,0.0125,uM,uM,reserpine,artesunate,2.577885,1,6,8
0.9375,0.0125,uM,uM,reserpine,artesunate,13.762336,1,7,8
1.875,0.0125,uM,uM,reserpine,artesunate,12.678721,1,8,8
3.75,0.0125,uM,uM,reserpine,artesunate,26.243254,1,9,8
7.5,0.0125,uM,uM,reserpine,artesunate,-9.255875,1,10,8
0.0,0.025,uM,uM,reserpine,artesunate,41.52351,1,1,9
0.029296875,0.025,uM,uM,reserpine,artesunate,51.374943,1,2,9
0.05859375,0.025,uM,uM,reserpine,artesunate,11.347853,1,3,9
0.1171875,0.025,uM,uM,reserpine,artesunate,36.01728400000001,1,4,9
0.234375,0.025,uM,uM,reserpine,artesunate,26.0347,1,5,9
0.46875,0.025,uM,uM,reserpine,artesunate,18.391348,1,6,9
