ConcRow,ConcCol,ConcRowUnit,ConcColUnit,DrugRow,DrugCol,Response,BlockID,Row,Col
0.0,0.0,uM,uM,reserpine,artesunate,128.5834,1,1,1
0.029296875,0.0,uM,uM,reserpine,artesunate,140.3645,1,2,1
0.05859375,0.0,uM,uM,reserpine,artesunate,133.31423999999998,1,3,1
0.1171875,0.0,uM,uM,reserpine,artesunate,130.69557,1,4,1
0.234375,0.0,uM,uM,reserpine,artesunate,115.23732,1,5,1
0.46875,0.0,uM,uM,reserpine,artesunate,107.71896,1,6,1
0.9375,0.0,uM,uM,reserpine,artesunate,77.44088,1,7,1
1.875,0.0,uM,uM,reserpine,artesunate,30.2622,1,8,1
3.75,0.0,uM,uM,reserpine,artesunate,-0.424501,1,9,1
7.5,0.0,uM,uM,reserpine,artesunate,-9.306132,1,10,1
0.0,0.000195375,uM,uM,reserpine,artesunate,112.711006,1,1,2
0.029296875,0.000195375,uM,uM,reserpine,artesunate,142.62923999999995,1,2,2
0.05859375,0.000195375,uM,uM,reserpine,artesunate,119.58097,1,3,2
0.1171875,0.000195375,uM,uM,reserpine,artesunate,115.78669,1,4,2
0.234375,0.000195375,uM,uM,reserpine,artesunate,117.53974,1,5,2
0.46875,0.000195375,uM,uM,reserpine,artesunate,103.966805,1,6,2
0.9375,0.000195375,uM,uM,reserpine,artesunate,86.23865,1,7,2
1.875,0.000195375,uM,uM,reserpine,artesunate,40.1347,1,8,2
3.75,0.000195375,uM,uM,reserpine,artesunate,8.52511,1,9,2
7.5,0.000195375,uM,uM,reserpine,artesunate,-3.718906,1,10,2
0.0,0.000390625,uM,uM,reserpine,artesunate,123.554054,1,1,3
0.029296875,0.000390625,uM,uM,reserpine,artesunate,138.13116000000002,1,2,3
0.05859375,0.000390625,uM,uM,reserpine,artesunate,126.81558,1,3,3
0.1171875,0.000390625,uM,uM,reserpine,artesunate,127.32949,1,4,3
0.234375,0.000390625,uM,uM,reserpine,artesunate,103.71706,1,5,3
0.46875,0.000390625,uM,uM,reserpine,artesunate,115.56798,1,6,3
0.9375,0.000390625,uM,uM,reserpine,artesunate,87.502174,1,7,3
1.875,0.000390625,uM,uM,reserpine,artesunate,37.409252,1,8,3
3.75,0.000390625,uM,uM,reserpine,artesunate,4.874922,1,9,3
7.5,0.000390625,uM,uM,reserpine,artesunate,-5.724662,1,10,3
0.0,0.00078125,uM,uM,reserpine,artesunate,126.44613,1,1,4
0.029296875,0.00078125,uM,uM,reserpine,artesunate,122.815155,1,2,4
0.05859375,0.00078125,uM,uM,reserpine,artesunate,108.000854,1,3,4
0.1171875,0.00078125,uM,uM,reserpine,artesunate,119.15905,1,4,4
0.234375,0.00078125,uM,uM,reserpine,artesunate,108.96291,1,5,4
0.46875,0.00078125,uM,uM,reserpine,artesunate,103.31325,1,6,4
0.9375,0.00078125,uM,uM,reserpine,artesunate,70.885315,1,7,4
1.875,0.00078125,uM,uM,reserpine,artesunate,34.35388,1,8,4
3.75,0.00078125,uM,uM,reserpine,artesunate,-5.248438,1,9,4
7.5,0.00078125,uM,uM,reserpine,artesunate,-0.918458,1,10,4
0.0,0.0015625,uM,uM,reserpine,artesunate,97.32406,1,1,5
0.029296875,0.0015625,uM,uM,reserpine,artesunate,125.922615,1,2,5
0.05859375,0.0015625,uM,uM,reserpine,artesunate,115.72093,1,3,5
0.1171875,0.0015625,uM,uM,reserpine,artesunate,113.47577,1,4,5
0.234375,0.0015625,uM,uM,reserpine,artesunate,98.42539,1,5,5
0.46875,0.0015625,uM,uM,reserpine,artesunate,80.11941,1,6,5
0.9375,0.0015625,uM,uM,reserpine,artesunate,80.48812,1,7,5
1.875,0.0015625,uM,uM,reserpine,artesunate,28.118269,1,8,5
3.75,0.0015625,uM,uM,reserpine,artesunate,0.195071,1,9,5
7.5,0.0015625,uM,uM,reserpine,artesunate,-4.699802,1,10,5
0.0,0.003125,uM,uM,reserpine,artesunate,110.18949,1,1,6
0.029296875,0.003125,uM,uM,reserpine,artesunate,138.8538,1,2,6
0.05859375,0.003125,uM,uM,reserpine,artesunate,100.78804,1,3,6
0.1171875,0.003125,uM,uM,reserpine,artesunate,99.327965,1,4,6
0.234375,0.003125,uM,uM,reserpine,artesunate,76.370575,1,5,6
0.46875,0.003125,uM,uM,reserpine,artesunate,102.250336,1,6,6
0.9375,0.003125,uM,uM,reserpine,artesunate,62.834583,1,7,6
1.875,0.003125,uM,uM,reserpine,artesunate,35.996098,1,8,6
3.75,0.003125,uM,uM,reserpine,artesunate,3.101921,1,9,6
7.5,0.003125,uM,uM,reserpine,artesunate,-9.237414,1,10,6
0.0,0.00625,uM,uM,reserpine,artesunate,81.3253,1,1,7
0.029296875,0.00625,uM,uM,reserpine,artesunate,113.2009,1,2,7
0.05859375,0.00625,uM,uM,reserpine,artesunate,106.01357,1,3,7
0.1171875,0.00625,uM,uM,reserpine,artesunate,89.08121,1,4,7
0.234375,0.00625,uM,uM,reserpine,artesunate,68.1196,1,5,7
0.46875,0.00625,uM,uM,reserpine,artesunate,60.7893,1,6,7
0.9375,0.00625,uM,uM,reserpine,artesunate,53.33449,1,7,7
1.875,0.00625,uM,uM,reserpine,artesunate,19.01977,1,8,7
3.75,0.00625,uM,uM,reserpine,artesunate,-3.151427,1,9,7
7.5,0.00625,uM,uM,reserpine,artesunate,-5.031939,1,10,7
0.0,0.0125,uM,uM,reserpine,artesunate,15.270938,1,1,8
0.029296875,0.0125,uM,uM,reserpine,artesunate,18.980976,1,2,8
0.05859375,0.0125,uM,uM,reserpine,artesunate,15.096926000000002,1,3,8
0.1171875,0.0125,uM,uM,reserpine,artesunate,16.124001999999994,1,4,8
0.234375,0.0125,uM,uM,reserpine,artesunate,12.665561,1,5,8
0.46875,0.0125,uM,uM,reserpine,artesunate,16.864016,1,6,8
0.9375,0.0125,uM,uM,reserpine,artesunate,17.059456,1,7,8
1.875,0.0125,uM,uM,reserpine,artesunate,4.044763,1,8,8
3.75,0.0125,uM,uM,reserpine,artesunate,-1.675835,1,9,8
7.5,0.0125,uM,uM,reserpine,artesunate,-4.6417980000000005,1,10,8
0.0,0.025,uM,uM,reserpine,artesunate,11.462994,1,1,9
0.029296875,0.025,uM,uM,reserpine,artesunate,12.173081,1,2,9
0.05859375,0.025,uM,uM,reserpine,artesunate,12.913094,1,3,9
0.1171875,0.025,uM,uM,reserpine,artesunate,7.208752,1,4,9
0.234375,0.025,uM,uM,reserpine,artesunate,9.60428,1,5,9
0.46875,0.025,uM,uM,reserpine,artesunate,1.397638,1,6,9
0.9375,0.025,uM,uM,reserpine,artesunate,8.272774,1,7,9
1.875,0.025,uM,uM,reserpine,artesunate,5.720229,1,8,9
3.75,0.025,uM,uM,reserpine,artesunate,-3.193914,1,9,9
7.5,0.025,uM,uM,reserpine,artesunate,-4.746722,1,10,9
0.0,0.05,uM,uM,reserpine,artesunate,7.409364,1,1,10
0.029296875,0.05,uM,uM,reserpine,artesunate,8.260582000000001,1,2,10
0.05859375,0.05,uM,uM,reserpine,artesunate,6.305441,1,3,10
0.1171875,0.05,uM,uM,reserpine,artesunate,2.452054,1,4,10
0.234375,0.05,uM,uM,reserpine,artesunate,7.624016,1,5,10
0.46875,0.05,uM,uM,reserpine,artesunate,-1.13274,1,6,10
0.9375,0.05,uM,uM,reserpine,artesunate,4.744505,1,7,10
1.875,0.05,uM,uM,reserpine,artesunate,-0.908114,1,8,10
3.75,0.05,uM,uM,reserpine,artesunate,-3.539352,1,9,10
7.5,0.05,uM,uM,reserpine,artesunate,-8.501095,1,10,10
