ConcRow,ConcCol,ConcRowUnit,ConcColUnit,DrugRow,DrugCol,Response,BlockID,Row,Col
0.0,0.0,uM,uM,reserpine,methyleneblue,179.94881999999996,1,1,1
0.029296875,0.0,uM,uM,reserpine,methyleneblue,256.19962000000004,1,2,1
0.05859375,0.0,uM,uM,reserpine,methyleneblue,135.88398999999998,1,3,1
0.1171875,0.0,uM,uM,reserpine,methyleneblue,123.542816,1,4,1
0.234375,0.0,uM,uM,reserpine,methyleneblue,145.40431,1,5,1
0.46875,0.0,uM,uM,reserpine,methyleneblue,41.342907,1,6,1
0.9375,0.0,uM,uM,reserpine,methyleneblue,82.68151999999998,1,7,1
1.875,0.0,uM,uM,reserpine,methyleneblue,47.851048,1,8,1
3.75,0.0,uM,uM,reserpine,methyleneblue,14.299843,1,9,1
7.5,0.0,uM,uM,reserpine,methyleneblue,-18.52465,1,10,1
0.0,0.000293,uM,uM,reserpine,methyleneblue,136.20863,1,1,2
0.029296875,0.000293,uM,uM,reserpine,methyleneblue,220.04042,1,2,2
0.05859375,0.000293,uM,uM,reserpine,methyleneblue,141.0634,1,3,2
0.1171875,0.000293,uM,uM,reserpine,methyleneblue,156.56726,1,4,2
0.234375,0.000293,uM,uM,reserpine,methyleneblue,155.47935,1,5,2
0.46875,0.000293,uM,uM,reserpine,methyleneblue,114.598694,1,6,2
0.9375,0.000293,uM,uM,reserpine,methyleneblue,105.02677,1,7,2
1.875,0.000293,uM,uM,reserpine,methyleneblue,22.678507,1,8,2
3.75,0.000293,uM,uM,reserpine,methyleneblue,43.110233,1,9,2
7.5,0.000293,uM,uM,reserpine,methyleneblue,-17.262583,1,10,2
0.0,0.000586,uM,uM,reserpine,methyleneblue,193.35857,1,1,3
0.029296875,0.000586,uM,uM,reserpine,methyleneblue,318.40854,1,2,3
0.05859375,0.000586,uM,uM,reserpine,methyleneblue,159.74286,1,3,3
0.1171875,0.000586,uM,uM,reserpine,methyleneblue,169.27393999999995,1,4,3
0.234375,0.000586,uM,uM,reserpine,methyleneblue,120.82303,1,5,3
0.46875,0.000586,uM,uM,reserpine,methyleneblue,102.34783,1,6,3
0.9375,0.000586,uM,uM,reserpine,methyleneblue,136.29893,1,7,3
1.875,0.000586,uM,uM,reserpine,methyleneblue,56.85536999999999,1,8,3
3.75,0.000586,uM,uM,reserpine,methyleneblue,105.28262,1,9,3
7.5,0.000586,uM,uM,reserpine,methyleneblue,-31.448475,1,10,3
0.0,0.001171875,uM,uM,reserpine,methyleneblue,196.2955,1,1,4
0.029296875,0.001171875,uM,uM,reserpine,methyleneblue,249.72588,1,2,4
0.05859375,0.001171875,uM,uM,reserpine,methyleneblue,167.56682,1,3,4
0.1171875,0.001171875,uM,uM,reserpine,methyleneblue,109.79123,1,4,4
0.234375,0.001171875,uM,uM,reserpine,methyleneblue,118.93101,1,5,4
0.46875,0.001171875,uM,uM,reserpine,methyleneblue,36.851498,1,6,4
0.9375,0.001171875,uM,uM,reserpine,methyleneblue,88.02434000000002,1,7,4
1.875,0.001171875,uM,uM,reserpine,methyleneblue,36.823547,1,8,4
3.75,0.001171875,uM,uM,reserpine,methyleneblue,-5.693276999999998,1,9,4
