ConcRow,ConcCol,ConcRowUnit,ConcColUnit,DrugRow,DrugCol,Response,BlockID,Row,Col
0.0,0.0,uM,uM,trichostatina,nitd609,100.07149,1,1,1
0.001953125,0.0,uM,uM,trichostatina,nitd609,101.29585,1,2,1
0.00390625,0.0,uM,uM,trichostatina,nitd609,105.11968,1,3,1
0.0078125,0.0,uM,uM,trichostatina,nitd609,101.16404,1,4,1
0.015625,0.0,uM,uM,trichostatina,nitd609,94.23769,1,5,1
0.03125,0.0,uM,uM,trichostatina,nitd609,77.110664,1,6,1
0.0625,0.0,uM,uM,trichostatina,nitd609,38.28188,1,7,1
0.125,0.0,uM,uM,trichostatina,nitd609,11.433569,1,8,1
0.25,0.0,uM,uM,trichostatina,nitd609,5.790221,1,9,1
0.5,0.0,uM,uM,trichostatina,nitd609,1.237998,1,10,1
0.0,3.9125e-05,uM,uM,trichostatina,nitd609,100.74445,1,1,2
0.001953125,3.9125e-05,uM,uM,trichostatina,nitd609,99.886925,1,2,2
0.00390625,3.9125e-05,uM,uM,trichostatina,nitd609,102.084625,1,3,2
0.0078125,3.9125e-05,uM,uM,trichostatina,nitd609,99.33106,1,4,2
0.015625,3.9125e-05,uM,uM,trichostatina,nitd609,91.84348,1,5,2
0.03125,3.9125e-05,uM,uM,trichostatina,nitd609,70.3224,1,6,2
0.0625,3.9125e-05,uM,uM,trichostatina,nitd609,40.198467,1,7,2
0.125,3.9125e-05,uM,uM,trichostatina,nitd609,15.211178,1,8,2
0.25,3.9125e-05,uM,uM,trichostatina,nitd609,5.830597,1,9,2
0.5,3.9125e-05,uM,uM,trichostatina,nitd609,1.2106059999999998,1,10,2
0.0,7.8125e-05,uM,uM,trichostatina,nitd609,100.61532,1,1,3
0.001953125,7.8125e-05,uM,uM,trichostatina,nitd609,101.1775,1,2,3
0.00390625,7.8125e-05,uM,uM,trichostatina,nitd609,89.32988,1,3,3
0.0078125,7.8125e-05,uM,uM,trichostatina,nitd609,100.12982,1,4,3
0.015625,7.8125e-05,uM,uM,trichostatina,nitd609,94.99577,1,5,3
0.03125,7.8125e-05,uM,uM,trichostatina,nitd609,70.20257600000001,1,6,3
0.0625,7.8125e-05,uM,uM,trichostatina,nitd609,42.031532,1,7,3
0.125,7.8125e-05,uM,uM,trichostatina,nitd609,10.821797,1,8,3
0.25,7.8125e-05,uM,uM,trichostatina,nitd609,5.768757,1,9,3
0.5,7.8125e-05,uM,uM,trichostatina,nitd609,0.8662270000000001,1,10,3
0.0,0.00015625,uM,uM,trichostatina,nitd609,97.31784,1,1,4
0.001953125,0.00015625,uM,uM,trichostatina,nitd609,101.91265,1,2,4
0.00390625,0.00015625,uM,uM,trichostatina,nitd609,100.64466,1,3,4
0.0078125,0.00015625,uM,uM,trichostatina,nitd609,101.07576,1,4,4
0.015625,0.00015625,uM,uM,trichostatina,nitd609,95.6532,1,5,4
0.03125,0.00015625,uM,uM,trichostatina,nitd609,71.79629,1,6,4
0.0625,0.00015625,uM,uM,trichostatina,nitd609,41.57083,1,7,4
0.125,0.00015625,uM,uM,trichostatina,nitd609,12.457661,1,8,4
0.25,0.00015625,uM,uM,trichostatina,nitd609,6.200983,1,9,4
0.5,0.00015625,uM,uM,trichostatina,nitd609,0.862245,1,10,4
0.0,0.0003125,uM,uM,trichostatina,nitd609,101.84224,1,1,5
0.001953125,0.0003125,uM,uM,trichostatina,nitd609,105.43498,1,2,5
0.00390625,0.0003125,uM,uM,trichostatina,nitd609,98.93454,1,3,5
0.0078125,0.0003125,uM,uM,trichostatina,nitd609,98.55359,1,4,5
0.015625,0.0003125,uM,uM,trichostatina,nitd609,97.78573,1,5,5
0.03125,0.0003125,uM,uM,trichostatina,nitd609,71.90568499999998,1,6,5
0.0625,0.0003125,uM,uM,trichostatina,nitd609,47.635803,1,7,5
0.125,0.0003125,uM,uM,trichostatina,nitd609,10.885973,1,8,5
0.25,0.0003125,uM,uM,trichostatina,nitd609,6.261265,1,9,5
0.5,0.0003125,uM,uM,trichostatina,nitd609,1.082556,1,10,5
0.0,0.000625,uM,uM,trichostatina,nitd609,87.89243,1,1,6
0.001953125,0.000625,uM,uM,trichostatina,nitd609,104.74358,1,2,6
0.00390625,0.000625,uM,uM,trichostatina,nitd609,103.012215,1,3,6
0.0078125,0.000625,uM,uM,trichostatina,nitd609,100.365974,1,4,6
0.015625,0.000625,uM,uM,trichostatina,nitd609,94.41663,1,5,6
0.03125,0.000625,uM,uM,trichostatina,nitd609,80.320335,1,6,6
0.0625,0.000625,uM,uM,trichostatina,nitd609,38.95324,1,7,6
0.125,0.000625,uM,uM,trichostatina,nitd609,13.898141,1,8,6
0.25,0.000625,uM,uM,trichostatina,nitd609,5.484443,1,9,6
0.5,0.000625,uM,uM,trichostatina,nitd609,1.084806,1,10,6
0.0,0.00125,uM,uM,trichostatina,nitd609,68.843796,1,1,7
0.001953125,0.00125,uM,uM,trichostatina,nitd609,31.842323,1,2,7
0.00390625,0.00125,uM,uM,trichostatina,nitd609,46.286633,1,3,7
0.0078125,0.00125,uM,uM,trichostatina,nitd609,77.61693000000002,1,4,7
0.015625,0.00125,uM,uM,trichostatina,nitd609,77.77125,1,5,7
0.03125,0.00125,uM,uM,trichostatina,nitd609,48.15964,1,6,7
0.0625,0.00125,uM,uM,trichostatina,nitd609,29.715640000000004,1,7,7
0.125,0.00125,uM,uM,trichostatina,nitd609,5.647459,1,8,7
0.25,0.00125,uM,uM,trichostatina,nitd609,4.364541,1,9,7
0.5,0.00125,uM,uM,trichostatina,nitd609,0.578624,1,10,7
0.0,0.0025,uM,uM,trichostatina,nitd609,0.563738,1,1,8
0.001953125,0.0025,uM,uM,trichostatina,nitd609,0.813951,1,2,8
0.00390625,0.0025,uM,uM,trichostatina,nitd609,0.668419,1,3,8
0.0078125,0.0025,uM,uM,trichostatina,nitd609,0.7795479999999999,1,4,8
0.015625,0.0025,uM,uM,trichostatina,nitd609,0.8779540000000001,1,5,8
0.03125,0.0025,uM,uM,trichostatina,nitd609,0.43439,1,6,8
0.0625,0.0025,uM,uM,trichostatina,nitd609,0.828318,1,7,8
0.125,0.0025,uM,uM,trichostatina,nitd609,0.575292,1,8,8
0.25,0.0025,uM,uM,trichostatina,nitd609,0.30993200000000004,1,9,8
0.5,0.0025,uM,uM,trichostatina,nitd609,-0.044746,1,10,8
0.0,0.005,uM,uM,trichostatina,nitd609,-0.339056,1,1,9
0.001953125,0.005,uM,uM,trichostatina,nitd609,-0.44205,1,2,9
0.00390625,0.005,uM,uM,trichostatina,nitd609,-0.274534,1,3,9
